n,w,l,to,wr,wrr,symbol,tf,mode
257,159,98,0,61.9,61.9,BTC,5m,cardwell_only
0,0,0,0,,,BTC,5m,gate_near
49,25,24,0,51.0,51.0,BTC,5m,gate_magnet
49,25,24,0,51.0,51.0,BTC,5m,gate_or
0,0,0,0,,,BTC,5m,gate_and
83,52,31,0,62.7,62.7,BTC,15m,cardwell_only
0,0,0,0,,,BTC,15m,gate_near
29,19,10,0,65.5,65.5,BTC,15m,gate_magnet
29,19,10,0,65.5,65.5,BTC,15m,gate_or
0,0,0,0,,,BTC,15m,gate_and
33,23,10,0,69.7,69.7,BTC,1h,cardwell_only
0,0,0,0,,,BTC,1h,gate_near
10,6,4,0,60.0,60.0,BTC,1h,gate_magnet
10,6,4,0,60.0,60.0,BTC,1h,gate_or
0,0,0,0,,,BTC,1h,gate_and
211,129,82,0,61.1,61.1,EURUSD,5m,cardwell_only
0,0,0,0,,,EURUSD,5m,gate_near
11,7,4,0,63.6,63.6,EURUSD,5m,gate_magnet
11,7,4,0,63.6,63.6,EURUSD,5m,gate_or
0,0,0,0,,,EURUSD,5m,gate_and
65,42,23,0,64.6,64.6,EURUSD,15m,cardwell_only
0,0,0,0,,,EURUSD,15m,gate_near
2,2,0,0,100.0,100.0,EURUSD,15m,gate_magnet
2,2,0,0,100.0,100.0,EURUSD,15m,gate_or
0,0,0,0,,,EURUSD,15m,gate_and
27,17,10,0,63.0,63.0,EURUSD,1h,cardwell_only
0,0,0,0,,,EURUSD,1h,gate_near
0,0,0,0,,,EURUSD,1h,gate_magnet
0,0,0,0,,,EURUSD,1h,gate_or
0,0,0,0,,,EURUSD,1h,gate_and
184,132,52,0,71.7,71.7,XAU,5m,cardwell_only
2,1,1,0,50.0,50.0,XAU,5m,gate_near
88,61,27,0,69.3,69.3,XAU,5m,gate_magnet
89,62,27,0,69.7,69.7,XAU,5m,gate_or
1,0,1,0,0.0,0.0,XAU,5m,gate_and
61,46,15,0,75.4,75.4,XAU,15m,cardwell_only
0,0,0,0,,,XAU,15m,gate_near
29,20,9,0,69.0,69.0,XAU,15m,gate_magnet
29,20,9,0,69.0,69.0,XAU,15m,gate_or
0,0,0,0,,,XAU,15m,gate_and
28,15,13,0,53.6,53.6,XAU,1h,cardwell_only
0,0,0,0,,,XAU,1h,gate_near
8,5,3,0,62.5,62.5,XAU,1h,gate_magnet
8,5,3,0,62.5,62.5,XAU,1h,gate_or
0,0,0,0,,,XAU,1h,gate_and
