trades,wins,losses,timeouts,wr,wr_res,avg_bars,symbol,tf,gate,exit
257,159,98,0,61.87,61.87,6.09,BTC,5m,cardwell_only,atr_hiwr
260,121,139,0,46.54,46.54,6.42,BTC,5m,cardwell_only,atr_bal
32,3,8,21,9.38,27.27,482.56,BTC,5m,cardwell_only,pct
92,50,42,0,54.35,54.35,6.33,BTC,5m,near,atr_hiwr
93,41,52,0,44.09,44.09,6.39,BTC,5m,near,atr_bal
24,1,9,14,4.17,10.0,443.79,BTC,5m,near,pct
49,25,24,0,51.02,51.02,5.39,BTC,5m,magnet,atr_hiwr
49,20,29,0,40.82,40.82,5.31,BTC,5m,magnet,atr_bal
17,1,4,12,5.88,20.0,483.12,BTC,5m,magnet,pct
114,61,53,0,53.51,53.51,6.24,BTC,5m,near_or_magnet,atr_hiwr
115,49,66,0,42.61,42.61,6.23,BTC,5m,near_or_magnet,atr_bal
25,1,9,15,4.0,10.0,447.92,BTC,5m,near_or_magnet,pct
27,14,13,0,51.85,51.85,5.0,BTC,5m,near_and_magnet,atr_hiwr
27,12,15,0,44.44,44.44,5.11,BTC,5m,near_and_magnet,atr_bal
15,1,4,10,6.67,20.0,464.87,BTC,5m,near_and_magnet,pct
83,52,31,0,62.65,62.65,7.22,BTC,15m,cardwell_only,atr_hiwr
81,36,45,0,44.44,44.44,8.95,BTC,15m,cardwell_only,atr_bal
30,2,11,17,6.67,15.38,133.8,BTC,15m,cardwell_only,pct
36,23,13,0,63.89,63.89,8.08,BTC,15m,near,atr_hiwr
35,15,20,0,42.86,42.86,8.71,BTC,15m,near,atr_bal
18,1,7,10,5.56,12.5,152.56,BTC,15m,near,pct
29,19,10,0,65.52,65.52,6.38,BTC,15m,magnet,atr_hiwr
28,14,14,0,50.0,50.0,5.96,BTC,15m,magnet,atr_bal
15,1,6,8,6.67,14.29,134.33,BTC,15m,magnet,pct
42,27,15,0,64.29,64.29,7.57,BTC,15m,near_or_magnet,atr_hiwr
41,18,23,0,43.9,43.9,7.95,BTC,15m,near_or_magnet,atr_bal
20,1,8,11,5.0,11.11,149.5,BTC,15m,near_or_magnet,pct
23,15,8,0,65.22,65.22,6.87,BTC,15m,near_and_magnet,atr_hiwr
22,11,11,0,50.0,50.0,6.64,BTC,15m,near_and_magnet,atr_bal
13,1,5,7,7.69,16.67,136.23,BTC,15m,near_and_magnet,pct
33,23,10,0,69.7,69.7,8.24,BTC,1h,cardwell_only,atr_hiwr
34,22,12,0,64.71,64.71,7.32,BTC,1h,cardwell_only,atr_bal
16,2,6,8,12.5,25.0,79.19,BTC,1h,cardwell_only,pct
9,4,5,0,44.44,44.44,12.67,BTC,1h,near,atr_hiwr
10,3,7,0,30.0,30.0,7.5,BTC,1h,near,atr_bal
8,1,5,2,12.5,16.67,52.0,BTC,1h,near,pct
10,6,4,0,60.0,60.0,12.5,BTC,1h,magnet,atr_hiwr
11,6,5,0,54.55,54.55,8.0,BTC,1h,magnet,atr_bal
7,1,3,3,14.29,25.0,73.86,BTC,1h,magnet,pct
12,7,5,0,58.33,58.33,11.08,BTC,1h,near_or_magnet,atr_hiwr
13,6,7,0,46.15,46.15,7.69,BTC,1h,near_or_magnet,atr_bal
9,1,5,3,11.11,16.67,59.56,BTC,1h,near_or_magnet,pct
7,3,4,0,42.86,42.86,15.14,BTC,1h,near_and_magnet,atr_hiwr
8,3,5,0,37.5,37.5,7.88,BTC,1h,near_and_magnet,atr_bal
6,1,3,2,16.67,25.0,66.17,BTC,1h,near_and_magnet,pct
9,5,3,1,55.56,62.5,6.89,BTC,4h,cardwell_only,atr_hiwr
9,3,6,0,33.33,33.33,8.89,BTC,4h,cardwell_only,atr_bal
7,4,3,0,57.14,57.14,22.0,BTC,4h,cardwell_only,pct
3,2,0,1,66.67,100.0,4.0,BTC,4h,near,atr_hiwr
3,1,2,0,33.33,33.33,7.33,BTC,4h,near,atr_bal
3,1,1,1,33.33,50.0,12.0,BTC,4h,near,pct
4,3,0,1,75.0,100.0,4.25,BTC,4h,magnet,atr_hiwr
4,1,3,0,25.0,25.0,9.0,BTC,4h,magnet,atr_bal
3,1,2,0,33.33,33.33,17.0,BTC,4h,magnet,pct
4,3,0,1,75.0,100.0,4.25,BTC,4h,near_or_magnet,atr_hiwr
4,1,3,0,25.0,25.0,9.0,BTC,4h,near_or_magnet,atr_bal
3,1,2,0,33.33,33.33,17.0,BTC,4h,near_or_magnet,pct
3,2,0,1,66.67,100.0,4.0,BTC,4h,near_and_magnet,atr_hiwr
3,1,2,0,33.33,33.33,7.33,BTC,4h,near_and_magnet,atr_bal
3,1,1,1,33.33,50.0,12.0,BTC,4h,near_and_magnet,pct
211,129,82,0,61.14,61.14,5.23,EURUSD,5m,cardwell_only,atr_hiwr
221,107,114,0,48.42,48.42,5.37,EURUSD,5m,cardwell_only,atr_bal
209,102,107,0,48.8,48.8,8.97,EURUSD,5m,cardwell_only,pip5
91,53,38,0,58.24,58.24,5.33,EURUSD,5m,near,atr_hiwr
94,42,52,0,44.68,44.68,5.07,EURUSD,5m,near,atr_bal
87,42,45,0,48.28,48.28,8.95,EURUSD,5m,near,pip5
11,7,4,0,63.64,63.64,6.82,EURUSD,5m,magnet,atr_hiwr
11,5,6,0,45.45,45.45,8.45,EURUSD,5m,magnet,atr_bal
11,7,4,0,63.64,63.64,20.82,EURUSD,5m,magnet,pip5
94,55,39,0,58.51,58.51,5.49,EURUSD,5m,near_or_magnet,atr_hiwr
