trades,wins,losses,timeouts,wr,wr_res,avg_bars,symbol,tf,gate
257,159,98,0,61.87,61.87,6.09,BTC,5m,cardwell_only
114,61,53,0,53.51,53.51,6.24,BTC,5m,near_or_magnet
30,13,17,0,43.33,43.33,5.67,BTC,5m,pre_only
131,68,63,0,51.91,51.91,6.29,BTC,5m,sd_or_pre
13,6,7,0,46.15,46.15,4.38,BTC,5m,sd_and_pre
83,52,31,0,62.65,62.65,7.22,BTC,15m,cardwell_only
42,27,15,0,64.29,64.29,7.57,BTC,15m,near_or_magnet
7,5,2,0,71.43,71.43,10.86,BTC,15m,pre_only
46,30,16,0,65.22,65.22,7.89,BTC,15m,sd_or_pre
3,2,1,0,66.67,66.67,10.33,BTC,15m,sd_and_pre
33,23,10,0,69.7,69.7,8.24,BTC,1h,cardwell_only
12,7,5,0,58.33,58.33,11.08,BTC,1h,near_or_magnet
5,4,1,0,80.0,80.0,5.4,BTC,1h,pre_only
16,10,6,0,62.5,62.5,9.94,BTC,1h,sd_or_pre
1,1,0,0,100.0,100.0,1.0,BTC,1h,sd_and_pre
9,5,3,1,55.56,62.5,6.89,BTC,4h,cardwell_only
4,3,0,1,75.0,100.0,4.25,BTC,4h,near_or_magnet
1,1,0,0,100.0,100.0,8.0,BTC,4h,pre_only
4,3,0,1,75.0,100.0,4.25,BTC,4h,sd_or_pre
1,1,0,0,100.0,100.0,8.0,BTC,4h,sd_and_pre
211,129,82,0,61.14,61.14,5.23,EURUSD,5m,cardwell_only
94,55,39,0,58.51,58.51,5.49,EURUSD,5m,near_or_magnet
29,20,9,0,68.97,68.97,4.45,EURUSD,5m,pre_only
100,58,42,0,58.0,58.0,5.44,EURUSD,5m,sd_or_pre
23,17,6,0,73.91,73.91,4.39,EURUSD,5m,sd_and_pre
65,42,23,0,64.62,64.62,5.63,EURUSD,15m,cardwell_only
19,13,6,0,68.42,68.42,3.32,EURUSD,15m,near_or_magnet
9,8,1,0,88.89,88.89,3.56,EURUSD,15m,pre_only
26,20,6,0,76.92,76.92,3.46,EURUSD,15m,sd_or_pre
2,1,1,0,50.0,50.0,2.5,EURUSD,15m,sd_and_pre
27,17,10,0,62.96,62.96,5.59,EURUSD,1h,cardwell_only
11,6,5,0,54.55,54.55,5.82,EURUSD,1h,near_or_magnet
6,2,4,0,33.33,33.33,7.83,EURUSD,1h,pre_only
14,8,6,0,57.14,57.14,6.64,EURUSD,1h,sd_or_pre
3,0,3,0,0.0,0.0,6.0,EURUSD,1h,sd_and_pre
7,3,4,0,42.86,42.86,11.43,EURUSD,4h,cardwell_only
2,2,0,0,100.0,100.0,5.5,EURUSD,4h,near_or_magnet
0,0,0,0,,,,EURUSD,4h,pre_only
2,2,0,0,100.0,100.0,5.5,EURUSD,4h,sd_or_pre
0,0,0,0,,,,EURUSD,4h,sd_and_pre
184,132,52,0,71.74,71.74,5.45,XAU,5m,cardwell_only
119,87,32,0,73.11,73.11,5.45,XAU,5m,near_or_magnet
21,17,4,0,80.95,80.95,5.76,XAU,5m,pre_only
122,88,34,0,72.13,72.13,5.58,XAU,5m,sd_or_pre
18,16,2,0,88.89,88.89,4.89,XAU,5m,sd_and_pre
61,46,15,0,75.41,75.41,10.36,XAU,15m,cardwell_only
38,27,11,0,71.05,71.05,10.37,XAU,15m,near_or_magnet
7,5,2,0,71.43,71.43,14.57,XAU,15m,pre_only
38,27,11,0,71.05,71.05,10.37,XAU,15m,sd_or_pre
7,5,2,0,71.43,71.43,14.57,XAU,15m,sd_and_pre
28,15,13,0,53.57,53.57,6.29,XAU,1h,cardwell_only
13,8,5,0,61.54,61.54,5.38,XAU,1h,near_or_magnet
4,4,0,0,100.0,100.0,6.25,XAU,1h,pre_only
15,10,5,0,66.67,66.67,5.87,XAU,1h,sd_or_pre
2,2,0,0,100.0,100.0,3.5,XAU,1h,sd_and_pre
7,6,1,0,85.71,85.71,6.57,XAU,4h,cardwell_only
6,6,0,0,100.0,100.0,5.33,XAU,4h,near_or_magnet
2,2,0,0,100.0,100.0,10.0,XAU,4h,pre_only
6,6,0,0,100.0,100.0,5.33,XAU,4h,sd_or_pre
2,2,0,0,100.0,100.0,10.0,XAU,4h,sd_and_pre
