trades,wins,losses,timeouts,win_rate,win_rate_resolved,avg_bars,symbol,tf,indicator,pip,flip_within_N
760,52,708,0,6.84,6.84,1.0,XAU,5m,Cardwell_pip0.01,0.01,
254,11,243,0,4.33,4.33,1.0,XAU,15m,Cardwell_pip0.01,0.01,
80,2,78,0,2.5,2.5,1.0,XAU,1h,Cardwell_pip0.01,0.01,
17,0,17,0,0.0,0.0,1.0,XAU,4h,Cardwell_pip0.01,0.01,
760,111,649,0,14.61,14.61,1.0,XAU,5m,Cardwell_pip0.1,0.1,
254,21,233,0,8.27,8.27,1.0,XAU,15m,Cardwell_pip0.1,0.1,
80,4,76,0,5.0,5.0,1.0,XAU,1h,Cardwell_pip0.1,0.1,
17,0,17,0,0.0,0.0,1.0,XAU,4h,Cardwell_pip0.1,0.1,
651,363,287,1,55.76,55.85,3.03,XAU,5m,Cardwell_pip1.0,1.0,
246,108,138,0,43.9,43.9,1.58,XAU,15m,Cardwell_pip1.0,1.0,
80,25,54,1,31.25,31.65,1.05,XAU,1h,Cardwell_pip1.0,1.0,
17,3,14,0,17.65,17.65,1.0,XAU,4h,Cardwell_pip1.0,1.0,
198,95,102,1,47.98,48.22,44.6,XAU,5m,Cardwell_pip5.0,5.0,
112,62,50,0,55.36,55.36,17.64,XAU,15m,Cardwell_pip5.0,5.0,
62,35,26,1,56.45,57.38,4.35,XAU,1h,Cardwell_pip5.0,5.0,
17,11,6,0,64.71,64.71,1.65,XAU,4h,Cardwell_pip5.0,5.0,
26,4,12,10,15.38,25.0,545.27,BTC,5m,EWO_RSI_fixed,,0.0
13,1,6,6,7.69,14.29,197.15,BTC,15m,EWO_RSI_fixed,,0.0
11,2,6,3,18.18,25.0,95.0,BTC,1h,EWO_RSI_fixed,,0.0
3,1,2,0,33.33,33.33,23.0,BTC,4h,EWO_RSI_fixed,,0.0
86,35,51,0,40.7,40.7,3.49,XAU,5m,EWO_RSI_fixed,,0.0
35,18,17,0,51.43,51.43,1.17,XAU,15m,EWO_RSI_fixed,,0.0
5,1,4,0,20.0,20.0,1.0,XAU,1h,EWO_RSI_fixed,,0.0
4,0,4,0,0.0,0.0,1.0,XAU,4h,EWO_RSI_fixed,,0.0
177,82,95,0,46.33,46.33,9.44,EURUSD,5m,EWO_RSI_fixed,,0.0
68,31,37,0,45.59,45.59,3.47,EURUSD,15m,EWO_RSI_fixed,,0.0
17,7,10,0,41.18,41.18,1.29,EURUSD,1h,EWO_RSI_fixed,,0.0
2,1,1,0,50.0,50.0,2.5,EURUSD,4h,EWO_RSI_fixed,,0.0
28,6,10,12,21.43,37.5,595.71,BTC,5m,Cardwell_base,,31.69
15,3,4,8,20.0,42.86,628.6,BTC,5m,Cardwell_improved,,0.0
27,8,8,11,29.63,50.0,197.59,BTC,15m,Cardwell_base,,20.59
11,2,2,7,18.18,50.0,247.09,BTC,15m,Cardwell_improved,,0.0
22,7,11,4,31.82,38.89,76.59,BTC,1h,Cardwell_base,,13.76
13,5,7,1,38.46,41.67,86.23,BTC,1h,Cardwell_improved,,0.0
13,5,7,1,38.46,41.67,14.85,BTC,4h,Cardwell_base,,13.04
6,2,3,1,33.33,40.0,14.83,BTC,4h,Cardwell_improved,,0.0
651,363,287,1,55.76,55.85,3.03,XAU,5m,Cardwell_base,,30.17
20,12,8,0,60.0,60.0,2.3,XAU,5m,Cardwell_improved,,0.0
246,108,138,0,43.9,43.9,1.58,XAU,15m,Cardwell_base,,24.51
11,6,5,0,54.55,54.55,1.45,XAU,15m,Cardwell_improved,,0.0
80,25,54,1,31.25,31.65,1.05,XAU,1h,Cardwell_base,,11.39
16,5,11,0,31.25,31.25,1.0,XAU,1h,Cardwell_improved,,0.0
17,3,14,0,17.65,17.65,1.0,XAU,4h,Cardwell_base,,0.0
8,1,7,0,12.5,12.5,1.0,XAU,4h,Cardwell_improved,,0.0
612,265,346,1,43.3,43.37,8.85,EURUSD,5m,Cardwell_base,,34.43
32,17,15,0,53.12,53.12,9.72,EURUSD,5m,Cardwell_improved,,0.0
236,118,117,1,50.0,50.21,3.28,EURUSD,15m,Cardwell_base,,25.62
15,9,6,0,60.0,60.0,2.13,EURUSD,15m,Cardwell_improved,,0.0
84,36,48,0,42.86,42.86,1.25,EURUSD,1h,Cardwell_base,,16.47
16,7,9,0,43.75,43.75,1.31,EURUSD,1h,Cardwell_improved,,0.0
29,8,21,0,27.59,27.59,1.0,EURUSD,4h,Cardwell_base,,3.57
6,2,4,0,33.33,33.33,1.0,EURUSD,4h,Cardwell_improved,,0.0
