trades,wins,losses,timeouts,wr,wr_res,avg_bars,avg_score,symbol,tf,config,signal,exit
290,39,250,1,13.45,13.49,17.73,7.78,BTC,5m,magnet_native,magnet,native
442,142,300,0,32.13,32.13,4.92,7.74,BTC,5m,bounce_native,bounce,native
328,52,275,1,15.85,15.9,16.36,7.8,BTC,5m,both_native,both,native
373,158,215,0,42.36,42.36,6.99,7.72,BTC,5m,magnet_atr,magnet,atr
432,279,153,0,64.58,64.58,4.58,7.69,BTC,5m,magnet_atr_hiWR,magnet,atr
473,302,171,0,63.85,63.85,4.56,7.69,BTC,5m,bounce_atr_hiWR,bounce,atr
36,3,15,18,8.33,16.67,426.06,7.48,BTC,5m,magnet_btc_pct,magnet,pct
106,12,93,1,11.32,11.43,11.63,7.99,BTC,15m,magnet_native,magnet,native
190,54,136,0,28.42,28.42,5.87,7.92,BTC,15m,bounce_native,bounce,native
161,32,129,0,19.88,19.88,8.94,7.92,BTC,15m,both_native,both,native
131,50,81,0,38.17,38.17,7.42,8.05,BTC,15m,magnet_atr,magnet,atr
150,89,61,0,59.33,59.33,5.06,8.0,BTC,15m,magnet_atr_hiWR,magnet,atr
208,125,83,0,60.1,60.1,4.64,7.87,BTC,15m,bounce_atr_hiWR,bounce,atr
29,3,8,18,10.34,27.27,150.62,8.04,BTC,15m,magnet_btc_pct,magnet,pct
16,6,10,0,37.5,37.5,17.5,8.18,BTC,1h,magnet_native,magnet,native
64,23,41,0,35.94,35.94,6.05,8.11,BTC,1h,bounce_native,bounce,native
57,16,41,0,28.07,28.07,8.56,8.13,BTC,1h,both_native,both,native
23,13,10,0,56.52,56.52,8.87,8.07,BTC,1h,magnet_atr,magnet,atr
28,23,5,0,82.14,82.14,3.04,8.15,BTC,1h,magnet_atr_hiWR,magnet,atr
65,40,25,0,61.54,61.54,5.0,8.13,BTC,1h,bounce_atr_hiWR,bounce,atr
10,0,5,5,0.0,0.0,94.8,8.26,BTC,1h,magnet_btc_pct,magnet,pct
0,0,0,0,,,,,BTC,4h,magnet_native,magnet,native
17,6,11,0,35.29,35.29,4.71,8.18,BTC,4h,bounce_native,bounce,native
17,6,11,0,35.29,35.29,4.71,8.18,BTC,4h,both_native,both,native
0,0,0,0,,,,,BTC,4h,magnet_atr,magnet,atr
0,0,0,0,,,,,BTC,4h,magnet_atr_hiWR,magnet,atr
17,11,6,0,64.71,64.71,4.94,8.13,BTC,4h,bounce_atr_hiWR,bounce,atr
0,0,0,0,,,,,BTC,4h,magnet_btc_pct,magnet,pct
149,24,125,0,16.11,16.11,13.51,7.08,EURUSD,5m,magnet_native,magnet,native
206,66,140,0,32.04,32.04,4.67,7.08,EURUSD,5m,bounce_native,bounce,native
192,36,156,0,18.75,18.75,11.25,7.08,EURUSD,5m,both_native,both,native
162,66,96,0,40.74,40.74,5.98,7.09,EURUSD,5m,magnet_atr,magnet,atr
168,107,61,0,63.69,63.69,4.78,7.09,EURUSD,5m,magnet_atr_hiWR,magnet,atr
209,131,78,0,62.68,62.68,4.84,7.08,EURUSD,5m,bounce_atr_hiWR,bounce,atr
153,76,77,0,49.67,49.67,10.43,7.08,EURUSD,5m,magnet_fx_pip5,magnet,pip
51,8,43,0,15.69,15.69,9.45,6.97,EURUSD,15m,magnet_native,magnet,native
71,23,48,0,32.39,32.39,6.24,6.94,EURUSD,15m,bounce_native,bounce,native
66,15,51,0,22.73,22.73,9.14,6.95,EURUSD,15m,both_native,both,native
56,18,38,0,32.14,32.14,6.62,6.95,EURUSD,15m,magnet_atr,magnet,atr
55,35,20,0,63.64,63.64,5.44,6.95,EURUSD,15m,magnet_atr_hiWR,magnet,atr
72,46,26,0,63.89,63.89,5.14,6.94,EURUSD,15m,bounce_atr_hiWR,bounce,atr
58,26,32,0,44.83,44.83,3.72,6.95,EURUSD,15m,magnet_fx_pip5,magnet,pip
7,2,5,0,28.57,28.57,10.71,6.83,EURUSD,1h,magnet_native,magnet,native
21,9,12,0,42.86,42.86,5.95,6.94,EURUSD,1h,bounce_native,bounce,native
20,7,13,0,35.0,35.0,8.4,6.93,EURUSD,1h,both_native,both,native
8,5,3,0,62.5,62.5,10.0,6.87,EURUSD,1h,magnet_atr,magnet,atr
8,5,3,0,62.5,62.5,7.62,6.87,EURUSD,1h,magnet_atr_hiWR,magnet,atr
21,15,6,0,71.43,71.43,7.1,6.94,EURUSD,1h,bounce_atr_hiWR,bounce,atr
8,3,5,0,37.5,37.5,1.12,6.87,EURUSD,1h,magnet_fx_pip5,magnet,pip
0,0,0,0,,,,,EURUSD,4h,magnet_native,magnet,native
4,2,2,0,50.0,50.0,11.0,7.02,EURUSD,4h,bounce_native,bounce,native
4,2,2,0,50.0,50.0,11.0,7.02,EURUSD,4h,both_native,both,native
0,0,0,0,,,,,EURUSD,4h,magnet_atr,magnet,atr
0,0,0,0,,,,,EURUSD,4h,magnet_atr_hiWR,magnet,atr
5,5,0,0,100.0,100.0,3.8,6.94,EURUSD,4h,bounce_atr_hiWR,bounce,atr
0,0,0,0,,,,,EURUSD,4h,magnet_fx_pip5,magnet,pip
283,47,236,0,16.61,16.61,18.52,8.15,XAU,5m,magnet_native,magnet,native
482,146,336,0,30.29,30.29,6.78,8.04,XAU,5m,bounce_native,bounce,native
364,66,298,0,18.13,18.13,15.6,8.05,XAU,5m,both_native,both,native
389,163,226,0,41.9,41.9,8.48,8.12,XAU,5m,magnet_atr,magnet,atr
481,310,171,0,64.45,64.45,6.1,8.02,XAU,5m,magnet_atr_hiWR,magnet,atr
564,364,200,0,64.54,64.54,5.76,7.9,XAU,5m,bounce_atr_hiWR,bounce,atr
580,260,320,0,44.83,44.83,2.84,7.98,XAU,5m,magnet_fx_pip5,magnet,pip
80,8,71,1,10.0,10.13,16.81,8.2,XAU,15m,magnet_native,magnet,native
152,49,103,0,32.24,32.24,7.16,8.07,XAU,15m,bounce_native,bounce,native
126,21,104,1,16.67,16.8,12.19,8.08,XAU,15m,both_native,both,native
114,47,67,0,41.23,41.23,7.58,8.18,XAU,15m,magnet_atr,magnet,atr
114,74,40,0,64.91,64.91,6.67,8.19,XAU,15m,magnet_atr_hiWR,magnet,atr
158,104,53,1,65.82,66.24,6.54,8.01,XAU,15m,bounce_atr_hiWR,bounce,atr
167,70,97,0,41.92,41.92,1.27,7.97,XAU,15m,magnet_fx_pip5,magnet,pip
13,1,12,0,7.69,7.69,8.54,8.34,XAU,1h,magnet_native,magnet,native
46,8,38,0,17.39,17.39,4.07,8.07,XAU,1h,bounce_native,bounce,native
41,5,36,0,12.2,12.2,5.73,8.08,XAU,1h,both_native,both,native
17,8,9,0,47.06,47.06,7.53,8.22,XAU,1h,magnet_atr,magnet,atr
18,10,8,0,55.56,55.56,4.72,8.15,XAU,1h,magnet_atr_hiWR,magnet,atr
50,32,18,0,64.0,64.0,5.26,7.96,XAU,1h,bounce_atr_hiWR,bounce,atr
19,5,14,0,26.32,26.32,1.0,8.16,XAU,1h,magnet_fx_pip5,magnet,pip
0,0,0,0,,,,,XAU,4h,magnet_native,magnet,native
12,4,7,1,33.33,36.36,2.58,8.19,XAU,4h,bounce_native,bounce,native
12,4,7,1,33.33,36.36,2.58,8.19,XAU,4h,both_native,both,native
0,0,0,0,,,,,XAU,4h,magnet_atr,magnet,atr
0,0,0,0,,,,,XAU,4h,magnet_atr_hiWR,magnet,atr
13,7,5,1,53.85,58.33,4.31,8.17,XAU,4h,bounce_atr_hiWR,bounce,atr
0,0,0,0,,,,,XAU,4h,magnet_fx_pip5,magnet,pip
