symbol,tf,mode,exit_mode,direction,entry_time,exit_time,entry,exit,sl,tp,outcome,bars_held,score,signal
BTC,5m,magnet,native,-1,2026-05-19 05:40:00+00:00,2026-05-19 06:25:00+00:00,76845.7890625,76970.95411064642,76970.95411064642,76428.1171875,loss,9,7.079318480388215,magnet
BTC,5m,magnet,native,1,2026-05-19 11:40:00+00:00,2026-05-19 13:25:00+00:00,76594.7265625,76547.53657780247,76547.53657780247,77242.40625,loss,21,7.738920366170088,magnet
BTC,5m,magnet,native,-1,2026-05-19 20:55:00+00:00,2026-05-19 22:15:00+00:00,76953.3515625,76664.4375,77022.30358389708,76664.4375,win,16,6.690093701447902,magnet
BTC,5m,magnet,native,1,2026-05-20 01:35:00+00:00,2026-05-20 05:05:00+00:00,76529.9921875,76907.7265625,76409.91106878172,76907.7265625,win,42,7.166666666666668,magnet
BTC,5m,magnet,native,-1,2026-05-20 05:30:00+00:00,2026-05-20 06:20:00+00:00,77151.296875,77272.13988205149,77272.13988205149,76075.9765625,loss,10,9.166666666666668,magnet
BTC,5m,magnet,native,-1,2026-05-20 10:10:00+00:00,2026-05-20 10:20:00+00:00,77516.03125,77547.06216899853,77547.06216899853,77121.9921875,loss,2,8.370058418555786,magnet
BTC,5m,magnet,native,-1,2026-05-20 12:55:00+00:00,2026-05-20 13:25:00+00:00,77549.3125,77245.9609375,77604.40604664577,77245.9609375,win,6,7.166666666666668,magnet
BTC,5m,magnet,native,1,2026-05-20 13:30:00+00:00,2026-05-20 13:35:00+00:00,77169.4296875,77097.37942736248,77097.37942736248,77583.84375,loss,1,6.967329598112038,magnet
BTC,5m,magnet,native,-1,2026-05-20 15:15:00+00:00,2026-05-21 00:45:00+00:00,77546.0234375,77709.51027174736,77709.51027174736,76819.8515625,loss,114,9.166666666666668,magnet
BTC,5m,magnet,native,-1,2026-05-21 04:05:00+00:00,2026-05-21 05:45:00+00:00,77901.2109375,77720.0234375,78116.20951229063,77720.0234375,win,20,7.503462845314135,magnet
BTC,5m,magnet,native,-1,2026-05-21 08:15:00+00:00,2026-05-21 10:25:00+00:00,77961.75,77441.203125,78116.75524571996,77441.203125,win,26,6.969874485310205,magnet
BTC,5m,magnet,native,1,2026-05-21 12:20:00+00:00,2026-05-21 12:25:00+00:00,77050.140625,77020.04930755436,77020.04930755436,78086.0078125,loss,1,7.773448394603644,magnet
BTC,5m,magnet,native,1,2026-05-21 13:30:00+00:00,2026-05-21 13:35:00+00:00,77138.0,76977.82836045329,76977.82836045329,78086.0078125,loss,1,7.70700360776938,magnet
BTC,5m,magnet,native,-1,2026-05-21 15:45:00+00:00,2026-05-21 17:10:00+00:00,77262.0,77329.35571221936,77329.35571221936,76641.9921875,loss,17,7.417561579136902,magnet
BTC,5m,magnet,native,-1,2026-05-22 02:20:00+00:00,2026-05-22 03:05:00+00:00,77586.421875,77703.33077905382,77703.33077905382,77239.90625,loss,9,8.967958433994918,magnet
BTC,5m,magnet,native,1,2026-05-22 07:00:00+00:00,2026-05-22 07:05:00+00:00,77255.640625,77212.75267512661,77212.75267512661,77829.1484375,loss,1,6.6804658942851525,magnet
BTC,5m,magnet,native,1,2026-05-22 08:35:00+00:00,2026-05-22 08:40:00+00:00,77220.0078125,77177.20347930478,77177.20347930478,77829.1484375,loss,1,9.166666666666668,magnet
BTC,5m,magnet,native,1,2026-05-22 08:50:00+00:00,2026-05-22 08:55:00+00:00,77242.0,77177.46545268352,77177.46545268352,77829.1484375,loss,1,8.333333333333334,magnet
BTC,5m,magnet,native,1,2026-05-22 14:05:00+00:00,2026-05-22 14:15:00+00:00,77008.0078125,76872.78938924104,76872.78938924104,78016.828125,loss,2,8.472131957243684,magnet
BTC,5m,magnet,native,-1,2026-05-22 16:50:00+00:00,2026-05-22 17:25:00+00:00,76901.5390625,76967.6402107061,76967.6402107061,76491.3515625,loss,7,9.166666666666668,magnet
BTC,5m,magnet,native,1,2026-05-22 18:35:00+00:00,2026-05-22 18:45:00+00:00,76617.8984375,76453.04139192693,76453.04139192693,76995.4296875,loss,2,6.8271635067181835,magnet
BTC,5m,magnet,native,1,2026-05-22 22:40:00+00:00,2026-05-22 23:45:00+00:00,75557.7578125,75528.54562073377,75528.54562073377,75994.6015625,loss,13,9.166666666666668,magnet
BTC,5m,magnet,native,1,2026-05-23 07:25:00+00:00,2026-05-23 07:30:00+00:00,75202.0,75100.81830853042,75100.81830853042,75573.921875,loss,1,9.166666666666668,magnet
BTC,5m,magnet,native,-1,2026-05-23 14:55:00+00:00,2026-05-23 18:10:00+00:00,75443.71875,75594.50583358557,75594.50583358557,74577.53125,loss,39,6.567952201354583,magnet
BTC,5m,magnet,native,-1,2026-05-23 19:30:00+00:00,2026-05-23 20:10:00+00:00,75828.8203125,75919.77921003742,75919.77921003742,75307.8203125,loss,8,8.42346356639652,magnet
