trades,wins,losses,timeouts,win_rate,win_rate_resolved,avg_bars,flip_within_N,symbol,tf,indicator,bars,flip_proxy
28,6,10,12,21.43,37.5,595.71,31.69,BTC,5m,Cardwell,17223,
29,2,14,13,6.9,12.5,584.69,29.77,BTC,5m,MACD,17223,
19,5,6,8,26.32,45.45,621.79,0.0,BTC,5m,EWO_RSI,17223,
31,6,15,10,19.35,28.57,543.68,18.98,BTC,5m,Elliott_ZZ,17223,
27,8,8,11,29.63,50.0,197.59,20.59,BTC,15m,Cardwell,5741,
28,4,13,11,14.29,23.53,195.79,19.49,BTC,15m,MACD,5741,
13,1,6,6,7.69,14.29,197.15,0.0,BTC,15m,EWO_RSI,5741,
27,6,10,11,22.22,37.5,201.85,8.97,BTC,15m,Elliott_ZZ,5741,
22,7,11,4,31.82,38.89,76.59,13.76,BTC,1h,Cardwell,2155,
28,3,20,5,10.71,13.04,67.46,21.88,BTC,1h,MACD,2155,
11,2,6,3,18.18,25.0,95.0,0.0,BTC,1h,EWO_RSI,2155,
25,5,15,5,20.0,25.0,75.08,11.49,BTC,1h,Elliott_ZZ,2155,
13,5,7,1,38.46,41.67,14.85,13.04,BTC,4h,Cardwell,540,
15,4,10,1,26.67,28.57,25.27,12.82,BTC,4h,MACD,540,
3,1,2,0,33.33,33.33,23.0,0.0,BTC,4h,EWO_RSI,540,
14,3,10,1,21.43,23.08,25.79,8.82,BTC,4h,Elliott_ZZ,540,
760,52,708,0,6.84,6.84,1.0,30.17,XAU,5m,Cardwell,13760,
1088,61,1027,0,5.61,5.61,1.0,33.16,XAU,5m,MACD,13760,
90,2,88,0,2.22,2.22,1.0,0.0,XAU,5m,EWO_RSI,13760,
1187,62,1125,0,5.22,5.22,1.0,21.56,XAU,5m,Elliott_ZZ,13760,
254,11,243,0,4.33,4.33,1.0,24.51,XAU,15m,Cardwell,4593,
366,10,356,0,2.73,2.73,1.0,22.05,XAU,15m,MACD,4593,
36,1,35,0,2.78,2.78,1.0,0.0,XAU,15m,EWO_RSI,4593,
405,8,397,0,1.98,1.98,1.0,10.26,XAU,15m,Elliott_ZZ,4593,
80,2,78,0,2.5,2.5,1.0,11.39,XAU,1h,Cardwell,1425,
114,1,113,0,0.88,0.88,1.0,19.83,XAU,1h,MACD,1425,
5,0,5,0,0.0,0.0,1.0,0.0,XAU,1h,EWO_RSI,1425,
114,2,112,0,1.75,1.75,1.0,6.56,XAU,1h,Elliott_ZZ,1425,
17,0,17,0,0.0,0.0,1.0,0.0,XAU,4h,Cardwell,374,
30,0,29,1,0.0,0.0,0.97,6.9,XAU,4h,MACD,374,
4,0,4,0,0.0,0.0,1.0,0.0,XAU,4h,EWO_RSI,374,
30,0,30,0,0.0,0.0,1.0,0.0,XAU,4h,Elliott_ZZ,374,
612,265,346,1,43.3,43.37,8.85,34.43,EURUSD,5m,Cardwell,16971,
863,425,437,1,49.25,49.3,9.05,33.51,EURUSD,5m,MACD,16971,
0,0,0,0,,,,,EURUSD,5m,EWO_RSI,16971,
1009,477,531,1,47.27,47.32,9.06,20.18,EURUSD,5m,Elliott_ZZ,16971,
236,118,117,1,50.0,50.21,3.28,25.62,EURUSD,15m,Cardwell,5657,
378,163,214,1,43.12,43.24,3.45,20.52,EURUSD,15m,MACD,5657,
0,0,0,0,,,,,EURUSD,15m,EWO_RSI,5657,
463,208,255,0,44.92,44.92,3.78,10.95,EURUSD,15m,Elliott_ZZ,5657,
84,36,48,0,42.86,42.86,1.25,16.47,EURUSD,1h,Cardwell,1538,
114,53,61,0,46.49,46.49,1.3,11.76,EURUSD,1h,MACD,1538,
0,0,0,0,,,,,EURUSD,1h,EWO_RSI,1538,
126,61,64,1,48.41,48.8,1.48,6.08,EURUSD,1h,Elliott_ZZ,1538,
29,8,21,0,27.59,27.59,1.0,3.57,EURUSD,4h,Cardwell,401,
33,11,22,0,33.33,33.33,1.03,8.82,EURUSD,4h,MACD,401,
0,0,0,0,,,,,EURUSD,4h,EWO_RSI,401,
37,17,20,0,45.95,45.95,1.14,0.0,EURUSD,4h,Elliott_ZZ,401,
