symbol,tf,indicator,direction,entry_time,exit_time,entry,exit,sl,tp,outcome,bars_held
BTC,5m,Cardwell,-1,2026-05-19 04:20:00+00:00,2026-05-22 04:20:00+00:00,76665.3984375,77729.40625,78965.360390625,72832.128515625,timeout,864
BTC,5m,Cardwell,-1,2026-05-22 04:50:00+00:00,2026-05-25 04:50:00+00:00,77560.53125,77278.6015625,79887.3471875,73682.5046875,timeout,864
BTC,5m,Cardwell,-1,2026-05-25 07:20:00+00:00,2026-05-28 03:35:00+00:00,77167.96875,73309.5703125,79483.0078125,73309.5703125,win,819
BTC,5m,Cardwell,-1,2026-05-28 04:10:00+00:00,2026-05-31 04:10:00+00:00,72958.15625,74007.3125,75146.9009375,69310.2484375,timeout,864
BTC,5m,Cardwell,-1,2026-05-31 05:40:00+00:00,2026-06-02 02:05:00+00:00,73992.1328125,70292.526171875,76211.896796875,70292.526171875,win,533
BTC,5m,Cardwell,-1,2026-06-02 02:15:00+00:00,2026-06-02 19:30:00+00:00,70148.75,66641.3125,72253.2125,66641.3125,win,207
BTC,5m,Cardwell,-1,2026-06-02 20:15:00+00:00,2026-06-04 00:25:00+00:00,67031.25,63679.6875,69042.1875,63679.6875,win,338
BTC,5m,Cardwell,-1,2026-06-04 02:10:00+00:00,2026-06-04 03:30:00+00:00,62325.58984375,64195.3575390625,64195.3575390625,59209.3103515625,loss,16
BTC,5m,Cardwell,-1,2026-06-04 06:55:00+00:00,2026-06-05 13:55:00+00:00,63961.01953125,60762.9685546875,65879.8501171875,60762.9685546875,win,372
BTC,5m,Cardwell,-1,2026-06-05 16:30:00+00:00,2026-06-07 08:35:00+00:00,60742.69140625,62564.9721484375,62564.9721484375,57705.5568359375,loss,481
BTC,5m,Cardwell,1,2026-06-07 09:05:00+00:00,2026-06-09 16:05:00+00:00,62775.26171875,60892.0038671875,60892.0038671875,65914.0248046875,loss,660
BTC,5m,Cardwell,1,2026-06-09 17:20:00+00:00,2026-06-12 17:20:00+00:00,61705.21875,63741.30078125,59854.0621875,64790.4796875,timeout,864
BTC,5m,Cardwell,-1,2026-06-12 18:10:00+00:00,2026-06-14 23:25:00+00:00,63774.2109375,65687.437265625,65687.437265625,60585.500390625,loss,639
BTC,5m,Cardwell,1,2026-06-15 01:35:00+00:00,2026-06-18 01:35:00+00:00,65674.2578125,64564.4609375,63704.030078125,68957.970703125,timeout,864
BTC,5m,Cardwell,-1,2026-06-18 03:10:00+00:00,2026-06-21 03:10:00+00:00,64458.21875,64220.83984375,66391.9653125,61235.3078125,timeout,864
BTC,5m,Cardwell,1,2026-06-21 03:15:00+00:00,2026-06-23 08:20:00+00:00,64227.98828125,62301.1486328125,62301.1486328125,67439.3876953125,loss,637
BTC,5m,Cardwell,-1,2026-06-23 08:35:00+00:00,2026-06-24 17:45:00+00:00,62274.7109375,59160.975390625,64142.952265625,59160.975390625,win,398
BTC,5m,Cardwell,1,2026-06-24 20:00:00+00:00,2026-06-25 13:55:00+00:00,60140.1484375,58335.943984375,58335.943984375,63147.155859375,loss,215
