trades,wins,losses,timeouts,wr,wr_res,symbol,tf,cfg
17,1,2,14,5.9,33.3,BTC,5m,old_hybrid_pct
17,7,10,0,41.2,41.2,BTC,5m,atr_bal
10,9,1,0,90.0,90.0,BTC,5m,atr_hiWR
12,7,5,0,58.3,58.3,BTC,5m,atr_hiWR2
9,3,2,4,33.3,60.0,BTC,15m,old_hybrid_pct
7,3,4,0,42.9,42.9,BTC,15m,atr_bal
5,3,2,0,60.0,60.0,BTC,15m,atr_hiWR
7,5,2,0,71.4,71.4,BTC,15m,atr_hiWR2
6,3,3,0,50.0,50.0,BTC,1h,old_hybrid_pct
4,4,0,0,100.0,100.0,BTC,1h,atr_bal
4,3,1,0,75.0,75.0,BTC,1h,atr_hiWR
5,4,1,0,80.0,80.0,BTC,1h,atr_hiWR2
8,3,5,0,37.5,37.5,BTC,4h,old_hybrid_pct
1,0,1,0,0.0,0.0,BTC,4h,atr_bal
1,1,0,0,100.0,100.0,BTC,4h,atr_hiWR
1,1,0,0,100.0,100.0,BTC,4h,atr_hiWR2
17,9,8,0,52.9,52.9,EURUSD,5m,atr_bal
10,6,4,0,60.0,60.0,EURUSD,5m,atr_hiWR
13,11,2,0,84.6,84.6,EURUSD,5m,atr_hiWR2
18,12,6,0,66.7,66.7,EURUSD,5m,pip5_hiWR
18,11,7,0,61.1,61.1,EURUSD,5m,pip10_hiWR
10,5,5,0,50.0,50.0,EURUSD,15m,atr_bal
6,4,2,0,66.7,66.7,EURUSD,15m,atr_hiWR
6,6,0,0,100.0,100.0,EURUSD,15m,atr_hiWR2
8,4,4,0,50.0,50.0,EURUSD,15m,pip5_hiWR
8,6,2,0,75.0,75.0,EURUSD,15m,pip10_hiWR
2,2,0,0,100.0,100.0,EURUSD,1h,atr_bal
3,1,2,0,33.3,33.3,EURUSD,1h,atr_hiWR
2,1,1,0,50.0,50.0,EURUSD,1h,atr_hiWR2
3,2,1,0,66.7,66.7,EURUSD,1h,pip5_hiWR
3,2,1,0,66.7,66.7,EURUSD,1h,pip10_hiWR
1,1,0,0,100.0,100.0,EURUSD,4h,atr_bal
1,1,0,0,100.0,100.0,EURUSD,4h,atr_hiWR
1,1,0,0,100.0,100.0,EURUSD,4h,atr_hiWR2
1,0,1,0,0.0,0.0,EURUSD,4h,pip5_hiWR
1,0,1,0,0.0,0.0,EURUSD,4h,pip10_hiWR
6,5,1,0,83.3,83.3,XAU,5m,atr_bal
6,5,1,0,83.3,83.3,XAU,5m,atr_hiWR
10,5,5,0,50.0,50.0,XAU,5m,atr_hiWR2
6,4,2,0,66.7,66.7,XAU,5m,pip5_hiWR
6,5,1,0,83.3,83.3,XAU,5m,pip10_hiWR
7,3,4,0,42.9,42.9,XAU,15m,atr_bal
4,4,0,0,100.0,100.0,XAU,15m,atr_hiWR
2,2,0,0,100.0,100.0,XAU,15m,atr_hiWR2
8,5,3,0,62.5,62.5,XAU,15m,pip5_hiWR
8,8,0,0,100.0,100.0,XAU,15m,pip10_hiWR
3,1,2,0,33.3,33.3,XAU,1h,atr_bal
3,2,1,0,66.7,66.7,XAU,1h,atr_hiWR
1,1,0,0,100.0,100.0,XAU,1h,atr_hiWR2
3,0,3,0,0.0,0.0,XAU,1h,pip5_hiWR
3,1,2,0,33.3,33.3,XAU,1h,pip10_hiWR
1,1,0,0,100.0,100.0,XAU,4h,atr_bal
1,1,0,0,100.0,100.0,XAU,4h,atr_hiWR
1,1,0,0,100.0,100.0,XAU,4h,atr_hiWR2
1,1,0,0,100.0,100.0,XAU,4h,pip5_hiWR
1,1,0,0,100.0,100.0,XAU,4h,pip10_hiWR
