code_id,code_name,symbol,timeframe,risk_model,period_start,period_end,is_oos,trades,win_rate_pct,profit_factor,net_profit_pct,max_dd_pct,avg_r,verdict,notes
1,utbot,BTCUSDT,5m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,57,31.6,0.69,-13.9,-15.87,-0.253,fail,"1-month window, costs included"
1,utbot,BTCUSDT,5m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,25,28.0,1.23,4.47,-9.11,0.2,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,5m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,21,71.4,1.41,7.51,-6.3,0.124,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,5m,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,13,46.2,1.02,-0.39,-8.86,0.01,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,5m,native_flip,2026-06-11,2026-07-11,IS,1201,16.8,0.24,-90.33,-90.28,,fail,"1-month window, costs included"
2,alphatrend,BTCUSDT,5m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,56,25.0,0.5,-22.69,-24.05,-0.45,fail,"1-month window, costs included"
2,alphatrend,BTCUSDT,5m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,34,14.7,0.55,-15.09,-18.2,-0.465,fail,"1-month window, costs included"
2,alphatrend,BTCUSDT,5m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,19,57.9,0.77,-6.19,-10.34,-0.102,insufficient_n,"1-month window, costs included"
2,alphatrend,BTCUSDT,5m,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,10,50.0,1.19,2.41,-11.78,0.1,insufficient_n,"1-month window, costs included"
2,alphatrend,BTCUSDT,5m,native_flip,2026-06-11,2026-07-11,IS,281,20.3,0.37,-49.67,-49.66,,fail,"1-month window, costs included"
3,macross,BTCUSDT,5m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,32,31.2,0.68,-8.35,-15.15,-0.263,fail,"1-month window, costs included"
3,macross,BTCUSDT,5m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,26,11.5,0.41,-15.28,-20.41,-0.623,insufficient_n,"1-month window, costs included"
3,macross,BTCUSDT,5m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,16,56.2,0.72,-6.49,-14.47,-0.129,insufficient_n,"1-month window, costs included"
3,macross,BTCUSDT,5m,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,8,37.5,0.71,-4.95,-11.78,-0.192,insufficient_n,"1-month window, costs included"
3,macross,BTCUSDT,5m,native_flip,2026-06-11,2026-07-11,IS,178,20.2,0.4,-36.46,-36.36,,fail,"1-month window, costs included"
1,utbot,BTCUSDT,15m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,56,39.3,0.97,-1.78,-8.25,-0.021,borderline,"1-month window, costs included"
1,utbot,BTCUSDT,15m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,27,29.6,1.33,7.14,-9.21,0.281,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,15m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,19,68.4,1.22,3.75,-7.66,0.074,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,15m,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,9,55.6,1.48,5.8,-8.86,0.23,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,15m,native_flip,2026-06-11,2026-07-11,IS,364,24.5,0.45,-48.66,-48.85,,fail,"1-month window, costs included"
2,alphatrend,BTCUSDT,15m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,37,29.7,0.63,-11.1,-12.07,-0.308,fail,"1-month window, costs included"
2,alphatrend,BTCUSDT,15m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,24,12.5,0.45,-13.21,-12.25,-0.575,insufficient_n,"1-month window, costs included"
2,alphatrend,BTCUSDT,15m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,16,50.0,0.56,-11.08,-14.74,-0.233,insufficient_n,"1-month window, costs included"
