time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781193600,long,9.4947,flip,0.4435,,13,1.7415,True,True,0.86,True
1781197500,short,9.5558,flip,-1.9183,,7,2.1668,True,True,1.59,False
1781199600,long,9.72,flip,-2.6506,,6,2.1914,True,True,0.65,True
1781201400,short,9.4818,flip,-2.0193,,8,2.0717,True,False,1.31,False
1781203800,long,9.6543,flip,0.9767,,11,1.859,True,True,1.3,True
1781207100,short,9.7679,flip,-1.967,,4,1.9399,True,True,1.08,False
1781208300,long,9.9405,flip,0.2537,,22,2.1004,True,True,0.98,True
1781214900,short,9.9856,flip,-2.0226,,4,2.6007,True,True,2.83,False
1781216100,long,10.1676,flip,-1.634,,12,2.4752,True,True,1.11,True
1781219700,short,10.0218,flip,7.141,,3,1.9119,True,True,0.67,False
1781220600,long,9.2861,flip,-0.4714,,2,2.9587,True,False,2.81,True
1781221200,short,9.2609,flip,2.0752,,5,3.2558,False,False,1.12,True
1781222700,long,9.0502,flip,-3.9833,,2,4.7836,False,False,2.34,False
1781223300,short,8.7078,flip,-5.5653,,16,5.0476,False,False,1.2,True
1781228100,long,9.175,flip,-3.5548,,2,3.3336,False,False,1.05,False
1781228700,short,8.8672,flip,-1.3559,,5,3.4626,False,False,1.24,True
1781230200,long,8.9697,flip,-2.6538,,16,3.0699,False,False,0.59,False
1781235000,short,8.7496,flip,8.0598,,16,2.3056,False,False,1.24,True
1781239800,long,8.0269,flip,-4.1579,,6,3.0962,False,False,1.95,False
1781241600,short,7.7092,flip,-5.9957,,17,3.0816,False,False,0.82,True
1781246700,long,8.156,flip,0.1053,,7,3.9381,False,True,2.88,False
1781248800,short,8.1809,flip,-0.1267,,12,3.7697,False,True,0.64,True
1781252400,long,8.1749,flip,4.5988,,17,3.2222,False,True,0.89,False
1781257500,short,8.5672,flip,-1.5867,,29,2.8674,False,True,1.53,True
1781266200,long,8.686,flip,-2.6902,,4,2.2935,True,True,1.45,True
1781267400,short,8.4697,flip,-0.8907,,7,2.1227,False,True,0.39,True
1781269500,long,8.5282,flip,-1.3409,,10,1.9726,False,True,0.62,False
