time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781199000,long,63012.4,tp,3.8,3.8,305,0.4038,True,True,0.85,True
1781484300,short,65543.7,sl,-1.2,-1.2,42,0.3835,True,True,1.1,False
1781531100,short,66578.0,sl,-1.2,-1.2,8,0.3108,True,True,2.36,False
1781538300,long,66910.6,sl,-1.2,-1.2,26,0.2878,True,True,0.68,True
1781568900,long,66393.5,sl,-1.2,-1.2,10,0.244,True,False,0.59,True
1781580600,long,65975.9,sl,-1.2,-1.2,113,0.2894,True,False,0.89,True
1781696700,long,64790.9,sl,-1.2,-1.2,32,0.2577,False,False,0.56,False
1781739000,long,64495.1,sl,-1.2,-1.2,18,0.4532,False,False,0.36,False
1781765100,long,64093.9,sl,-1.2,-1.2,34,0.2893,False,False,0.95,False
1781801100,long,62723.6,tp,3.8,3.8,371,0.4871,False,False,0.62,False
1782137700,short,65296.1,tp,3.8,3.8,64,0.3589,True,True,1.43,False
1782198900,long,63031.6,sl,-1.2,-1.2,4,0.3203,False,False,0.9,False
1782202500,short,62673.2,tp,3.8,3.8,130,0.3103,False,False,1.69,True
1782329400,long,59818.5,sl,-1.2,-1.2,73,0.5459,False,False,0.54,False
1782395100,short,60080.9,sl,-1.2,-1.2,70,0.461,False,False,3.46,True
1782461700,short,60273.4,sl,-1.2,-1.2,123,0.4705,False,True,1.72,True
1782577800,short,60714.4,tp,3.8,3.8,276,0.204,True,True,0.45,False
1782828000,long,58734.5,sl,-1.2,-1.2,44,0.3638,False,False,2.35,False
1782867600,long,58576.5,tp,3.8,3.8,85,0.2712,False,False,0.81,False
1782945000,short,60557.0,sl,-1.2,-1.2,44,0.3949,True,True,3.62,False
1783002600,short,61674.9,sl,-1.2,-1.2,98,0.4469,True,True,0.87,False
1783093500,short,61841.3,sl,-1.2,-1.2,17,0.3188,True,True,0.83,False
1783119600,short,62574.5,sl,-1.2,-1.2,75,0.2479,True,True,0.53,False
1783190700,short,63121.4,sl,-1.2,-1.2,111,0.2198,True,True,0.5,False
1783294200,short,63676.0,sl,-1.2,-1.2,86,0.2965,True,True,2.25,False
1783377000,short,64216.2,tp,3.8,3.8,157,0.3933,True,True,0.31,False
1783520100,long,62043.0,tp,3.8,3.8,183,0.3248,False,False,1.82,False
1783687500,short,64360.1,open,0.1992,0.199,107,0.2196,True,True,0.98,False
