time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781194500,long,62820.6,flip,-0.5247,,2,0.2229,True,False,0.55,True
1781195100,short,62616.6,flip,-0.8321,,13,0.2215,False,False,0.19,True
1781199000,long,63012.4,flip,0.3843,,8,0.2606,True,True,1.72,True
1781201400,short,63380.6,flip,-0.5978,,14,0.324,True,True,1.39,False
1781205600,long,63632.7,flip,-0.2977,,10,0.2424,True,True,0.96,True
1781208600,short,63570.5,flip,0.0709,,9,0.2187,True,True,1.3,False
1781211300,long,63398.3,flip,0.0574,,18,0.1736,True,True,0.33,True
1781216700,short,63561.5,flip,-0.125,,14,0.1239,True,True,0.17,False
1781220900,long,63513.8,flip,-0.0111,,9,0.1169,True,True,0.91,True
1781223600,short,63633.8,flip,-0.2531,,4,0.1372,True,True,1.19,False
1781224800,long,63667.6,flip,-0.446,,5,0.1449,True,True,1.04,True
1781226300,short,63511.0,flip,-0.0942,,9,0.1436,True,False,0.64,False
1781229000,long,63443.8,flip,-0.0312,,8,0.1288,True,False,1.28,True
1781231400,short,63550.9,flip,-0.2801,,2,0.1433,True,True,0.63,False
1781232000,long,63601.8,flip,-0.3093,,7,0.1464,True,True,1.14,True
1781234100,short,63532.3,flip,-0.1503,,4,0.1233,True,False,0.41,False
1781235300,long,63500.7,flip,0.1104,,17,0.1219,True,False,1.29,True
1781240400,short,63697.8,flip,0.0749,,4,0.1131,True,True,0.45,False
1781241600,long,63522.7,flip,-0.4154,,4,0.1293,True,False,3.72,True
1781242800,short,63385.9,flip,0.2518,,17,0.1258,True,False,1.04,False
1781247900,long,63099.5,flip,-0.3854,,2,0.1439,False,False,1.04,False
1781248500,short,62982.5,flip,-0.3769,,9,0.1467,False,False,0.84,True
1781251200,long,63093.9,flip,0.2619,,9,0.1374,False,False,1.27,False
1781253900,short,63385.3,flip,-0.4111,,5,0.1507,True,True,0.34,False
1781255400,long,63519.1,flip,0.2227,,9,0.1412,True,True,0.51,True
1781258100,short,63787.6,flip,-0.2439,,3,0.1485,True,True,0.91,False
1781259000,long,63815.6,flip,-0.5137,,4,0.1466,True,True,0.56,True
1781260200,short,63615.4,flip,-0.3723,,1,0.1578,True,True,0.65,False
1781260500,long,63725.0,flip,-0.1702,,12,0.1586,True,True,1.34,True
1781264100,short,63744.0,flip,-0.2742,,2,0.1438,True,True,0.86,False
1781264700,long,63791.3,flip,-0.3938,,4,0.1418,True,True,0.67,True
1781265900,short,63667.7,flip,-0.0258,,6,0.1398,True,True,0.71,False
1781267700,long,63556.8,flip,-0.4196,,1,0.1392,True,False,1.94,True
1781268000,short,63417.2,flip,-0.1407,,12,0.1483,False,False,1.86,True
1781271600,long,63379.6,flip,-0.5747,,1,0.1706,False,False,3.5,False
1781271900,short,63142.1,flip,-0.5917,,4,0.1999,False,False,2.69,True
1781273100,long,63389.4,flip,-0.0079,,8,0.2189,False,False,1.17,False
1781275500,short,63511.2,flip,-0.8759,,2,0.2484,True,True,1.25,False
1781276100,long,63940.5,flip,0.1108,,7,0.2717,True,True,1.07,True
1781278200,short,64139.2,flip,0.2443,,9,0.2876,True,True,0.78,False
1781280900,long,63854.2,flip,-0.2025,,13,0.3137,True,True,0.79,True
1781284800,short,63852.6,flip,-0.1563,,16,0.2368,True,True,0.45,False
1781289600,long,63824.7,flip,-0.409,,4,0.1691,True,True,0.96,True
1781290800,short,63691.3,flip,0.0079,,26,0.1609,True,False,0.89,False
1781298600,long,63558.9,flip,-0.2782,,4,0.1233,False,False,0.6,False
1781299800,short,63509.2,flip,-0.2622,,8,0.11,False,False,0.34,True
