time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781199000,long,1.1530035734176636,flip,0.21,,2,0.0555,False,False,,False
1781200800,short,1.1555349826812744,flip,-0.2064,,5,0.082,True,True,,False
1781205300,long,1.157809495925903,flip,0.0021,,19,0.0804,True,True,,True
1781222400,short,1.1579434871673584,flip,0.0484,,9,0.0493,True,True,,False
1781230500,long,1.157273530960083,flip,0.0136,,11,0.0461,True,True,,True
1781240400,short,1.1575413942337036,flip,0.0483,,5,0.0352,True,True,,False
1781244900,long,1.1568717956542969,flip,-0.0095,,4,0.0384,True,True,,True
1781248500,short,1.1568717956542969,flip,-0.0211,,3,0.0416,True,False,,False
1781251200,long,1.1570056676864624,flip,0.0484,,10,0.0443,True,True,,True
1781260200,short,1.1576753854751587,flip,-0.0327,,12,0.0524,True,True,,False
1781271000,long,1.1579434871673584,flip,-0.0789,,1,0.051,True,True,,True
1781271900,short,1.157139539718628,flip,-0.0442,,5,0.0548,True,False,,False
1781276400,long,1.1575413942337036,flip,0.0021,,4,0.0568,True,True,,True
1781280000,short,1.1576753854751587,flip,-0.2881,,23,0.0549,True,True,,False
1781478900,long,1.1609008312225342,flip,-0.0791,,7,0.0499,True,True,,True
1781485200,short,1.160092830657959,flip,-0.0443,,10,0.0454,True,True,,False
1781494200,long,1.160496711730957,flip,0.1067,,9,0.0352,True,True,,True
1781502300,short,1.1618449687957764,flip,0.0834,,14,0.0335,True,True,,False
1781514900,long,1.1607661247253418,flip,0.0254,,9,0.0419,True,True,,True
1781523000,short,1.161170482635498,flip,-0.0676,,5,0.0371,True,True,,False
1781527500,long,1.1618449687957764,flip,-0.0791,,8,0.0398,True,True,,True
1781534700,short,1.161035656929016,flip,0.0253,,6,0.0409,True,True,,False
1781540100,long,1.1606314182281494,flip,-0.0327,,2,0.0412,True,False,,True
1781541900,short,1.1603620052337646,flip,-0.0443,,1,0.0412,True,False,,False
1781542800,long,1.1607661247253418,flip,-0.0559,,4,0.0424,True,False,,True
1781546400,short,1.1602274179458618,flip,0.0717,,10,0.0373,True,False,,False
1781555400,long,1.1592857837677002,flip,-0.0327,,7,0.0344,True,False,,True
1781561700,short,1.1590172052383425,flip,-0.0559,,5,0.043,True,False,,False
1781566200,long,1.1595547199249268,flip,-0.0327,,3,0.0356,True,False,,True
1781568900,short,1.1592857837677002,flip,-0.0443,,3,0.0331,True,False,,False
1781571600,long,1.15968918800354,flip,-0.0443,,3,0.0327,True,False,,True
1781574300,short,1.1592857837677002,flip,0.0484,,20,0.0316,True,False,,False
1781592300,long,1.1586142778396606,flip,0.1646,,11,0.0286,False,False,,False
1781602200,short,1.1606314182281494,flip,-0.0559,,3,0.0359,True,True,,False
1781604900,long,1.161170482635498,flip,-0.0443,,5,0.0358,True,True,,True
1781609400,short,1.1607661247253418,flip,0.0253,,5,0.0363,True,True,,False
1781613900,long,1.1603620052337646,flip,-0.0443,,5,0.0394,True,True,,True
1781618400,short,1.1599582433700562,flip,-0.0095,,3,0.0417,True,False,,False
1781621100,long,1.1599582433700562,flip,0.095,,16,0.0457,True,True,,True
1781635500,short,1.161170482635498,flip,-0.0443,,1,0.0357,True,True,,False
1781636400,long,1.1615750789642334,flip,-0.0443,,3,0.0357,True,True,,True
1781639100,short,1.161170482635498,flip,-0.0443,,7,0.0333,True,True,,False
1781645400,long,1.1615750789642334,flip,-0.0327,,10,0.0315,True,True,,True
1781654400,short,1.16130530834198,flip,-0.0443,,1,0.0265,True,True,,False
1781655300,long,1.1617100238800049,flip,-0.0443,,11,0.0271,True,True,,True
1781665200,short,1.16130530834198,flip,-0.0443,,5,0.0232,True,True,,False
1781669700,long,1.1617100238800049,flip,-0.0327,,8,0.0205,True,True,,True
1781676900,short,1.161440134048462,flip,-0.0327,,4,0.023,True,True,,False
