time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781208000,long,1.1582117080688477,sl,-0.0527,-1.22,1,0.2245,False,True,,False
1781553600,short,1.1587486267089844,sl,-0.0526,-1.22,1,0.1855,False,True,,True
1781625600,long,1.1617100238800049,sl,-0.0525,-1.22,1,0.1807,False,True,,False
1781697600,short,1.1595547199249268,tp,0.0336,0.78,1,0.1584,False,True,,True
1781755200,long,1.1528706550598145,sl,-0.0529,-1.22,1,0.2133,False,False,,False
1781784000,short,1.1458691358566284,sl,-0.0532,-1.22,1,0.2343,False,False,,True
1781899200,long,1.1478420495986938,sl,-0.0531,-1.22,1,0.2157,False,False,,False
1782115200,short,1.1449507474899292,sl,-0.0533,-1.22,1,0.1943,False,False,,True
1782360000,long,1.1373976469039917,sl,-0.0536,-1.22,1,0.1824,False,False,,False
1782388800,short,1.1340440511703491,sl,-0.0538,-1.22,1,0.1964,False,False,,True
1782403200,long,1.1385631561279297,sl,-0.0536,-1.22,1,0.2132,False,False,,False
1782792000,short,1.1401208639144895,tp,0.0342,0.78,1,0.1798,False,False,,True
1782835200,long,1.1420739889144895,sl,-0.0534,-1.22,1,0.1954,False,False,,False
1782878400,short,1.1407711505889893,tp,0.0342,0.78,1,0.1808,False,False,,True
1782979200,long,1.1411616802215576,sl,-0.0535,-1.22,1,0.1832,False,False,,False
1783324800,short,1.142987847328186,tp,0.0341,0.78,1,0.1622,False,True,,True
1783368000,long,1.144426703453064,sl,-0.0533,-1.22,1,0.1609,False,True,,False
1783440000,short,1.1427265405654907,tp,0.0341,0.78,1,0.1484,False,False,,True
1783497600,long,1.1428571939468384,sl,-0.0534,-1.22,1,0.1555,False,True,,False
1783512000,short,1.1402509212493896,sl,-0.0535,-1.22,1,0.166,False,False,,True
1783540800,long,1.142987847328186,sl,-0.0534,-1.22,1,0.1767,False,True,,False
1783713600,short,1.1419435739517212,open,-0.0096,-0.22,0,0.1734,False,False,,True
