time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781199000,long,1.1530035734176636,tp,0.0338,0.78,1,0.0265,False,True,,False
1781200200,short,1.155401587486267,tp,0.0338,0.78,2,0.0477,True,True,,False
1781201700,long,1.1555349826812744,tp,0.0338,0.78,1,0.0516,True,True,,True
1781210700,short,1.158077597618103,sl,-0.0527,-1.22,6,0.0245,True,True,,False
1781213400,short,1.1576753854751587,sl,-0.0527,-1.22,1,0.0284,True,True,,False
1781214000,long,1.1579434871673584,tp,0.0337,0.78,4,0.0325,True,True,,True
1781215800,short,1.1582117080688477,tp,0.0337,0.78,3,0.0309,True,True,,False
1781217900,long,1.1582117080688477,tp,0.0337,0.78,2,0.025,True,True,,True
1781220000,short,1.1583458185195925,tp,0.0337,0.78,6,0.0214,True,True,,False
1781223300,long,1.1574074029922483,sl,-0.0527,-1.22,10,0.02,True,False,,True
1781226900,long,1.1568717956542969,tp,0.0337,0.78,27,0.0205,True,False,,True
1781236200,short,1.1574074029922483,tp,0.0337,0.78,17,0.0156,True,True,,False
1781244300,long,1.1566041707992554,tp,0.0337,0.78,1,0.0169,True,False,,True
1781246100,short,1.157139539718628,sl,-0.0527,-1.22,4,0.0168,True,False,,False
1781247900,short,1.157273530960083,tp,0.0337,0.78,1,0.0205,True,True,,False
1781250300,long,1.156336784362793,tp,0.0337,0.78,2,0.0256,False,False,,False
1781253000,short,1.1579434871673584,sl,-0.0527,-1.22,1,0.035,True,True,,False
1781253600,long,1.1584800481796265,sl,-0.0527,-1.22,3,0.035,True,True,,True
1781254500,short,1.1579434871673584,sl,-0.0527,-1.22,4,0.0341,True,True,,False
1781256000,long,1.1584800481796265,tp,0.0337,0.78,1,0.0324,True,True,,True
1781257800,short,1.1586142778396606,tp,0.0337,0.78,6,0.0295,True,True,,False
1781260500,long,1.158077597618103,sl,-0.0527,-1.22,4,0.0283,True,True,,True
1781261700,short,1.157809495925903,sl,-0.0527,-1.22,10,0.0263,True,False,,False
1781265600,short,1.1574074029922483,tp,0.0337,0.78,4,0.0247,True,False,,False
1781269500,long,1.157139539718628,tp,0.0337,0.78,3,0.0226,False,False,,False
1781270400,long,1.1575413942337036,tp,0.0337,0.78,2,0.0244,True,False,,True
1781271900,short,1.157139539718628,sl,-0.0527,-1.22,3,0.0289,True,False,,False
1781273100,long,1.158077597618103,sl,-0.0527,-1.22,2,0.0308,True,True,,True
1781273700,short,1.1576753854751587,tp,0.0337,0.78,1,0.029,True,True,,False
1781276100,long,1.158077597618103,sl,-0.0527,-1.22,1,0.0284,True,True,,True
1781278800,short,1.1582117080688477,tp,0.0337,0.78,3,0.0251,True,True,,False
1781279700,long,1.1579434871673584,sl,-0.0527,-1.22,2,0.0248,True,True,,True
1781285100,long,1.157809495925903,sl,-0.0527,-1.22,29,0.0202,True,True,,True
1781297400,long,1.157273530960083,tp,0.0337,0.78,8,0.0119,False,False,,False
1781481600,short,1.1609008312225342,sl,-0.0525,-1.22,2,0.0228,True,True,,False
1781482200,long,1.161170482635498,sl,-0.0525,-1.22,8,0.0236,True,True,,True
1781486700,long,1.160092830657959,tp,0.0336,0.78,26,0.0191,True,True,,True
1781496300,short,1.1607661247253418,sl,-0.0526,-1.22,5,0.0107,True,True,,False
