time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781199000,long,56.997,tp,1.8,0.6,1,0.9049,True,True,1.27,True
1781201700,short,57.855,sl,-3.2,-1.067,5,1.0858,True,True,1.0,False
1781208000,short,58.701,tp,1.8,0.6,42,1.0778,True,True,1.1,False
1781252100,long,57.789,tp,1.8,0.6,5,0.7987,True,False,1.33,True
1781260200,short,58.746,sl,-3.2,-1.067,7,0.7765,True,True,0.87,False
1781271900,short,59.551,sl,-3.2,-1.067,11,0.8637,True,True,1.1,False
1781281800,long,60.897,tp,1.8,0.6,3,1.1319,True,True,0.55,True
1781290800,short,61.197,tp,1.8,0.6,16,1.105,True,True,0.59,False
1781317800,long,59.583,sl,-3.2,-1.067,10,0.6712,True,False,0.52,True
1781330400,long,57.878,tp,1.8,0.6,9,0.7055,False,False,0.82,False
1781343000,short,58.631,sl,-3.2,-1.067,22,0.617,False,False,1.22,True
1781365500,short,59.82,sl,-3.2,-1.067,118,0.6528,True,True,1.57,False
1781486100,short,63.637,sl,-3.2,-1.067,11,0.8597,True,True,1.34,False
1781498700,short,64.808,sl,-3.2,-1.067,21,0.7588,True,True,1.28,False
1781531100,short,67.207,sl,-3.2,-1.067,54,0.7783,True,True,1.04,False
1781595000,short,71.951,sl,-3.2,-1.067,11,0.9937,True,True,2.57,False
1781609400,short,74.894,tp,1.8,0.6,12,1.0403,True,True,0.39,False
1781625600,long,74.907,sl,-3.2,-1.067,10,1.291,True,True,0.8,True
1781634600,short,73.467,tp,1.8,0.6,66,1.3135,True,False,0.69,False
1781701200,long,71.437,tp,1.8,0.6,10,0.8486,True,False,0.93,True
1781715600,short,75.332,tp,1.8,0.6,4,1.0961,True,True,0.56,False
1781721900,long,75.071,sl,-3.2,-1.067,2,1.2661,True,True,1.28,True
1781735400,long,71.415,tp,1.8,0.6,10,1.373,False,False,0.58,False
1781747100,short,72.756,tp,1.8,0.6,7,1.0365,True,True,0.56,False
1781762400,long,69.73,tp,1.8,0.6,3,1.0798,False,False,1.22,False
