time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781199000,long,56.997,flip,1.3053,,3,0.9049,True,True,1.27,True
1781201700,short,57.855,flip,-1.3563,,2,1.0858,True,True,1.0,False
1781203500,long,58.524,flip,0.1024,,5,1.0692,True,True,0.84,True
1781208000,short,58.701,flip,-0.7264,,5,1.0778,True,True,1.1,False
1781212500,long,59.01,flip,-0.2763,,16,1.0292,True,True,0.6,True
1781226900,short,58.965,flip,-0.183,,5,0.8389,True,True,1.08,False
1781231400,long,58.955,flip,-0.2933,,7,0.8465,True,True,0.61,True
1781237700,short,58.9,flip,1.6862,,16,0.7744,True,True,0.89,False
1781252100,long,57.789,flip,1.456,,9,0.7987,True,False,1.33,True
1781260200,short,58.746,flip,-1.2213,,4,0.7765,True,True,0.87,False
1781263800,long,59.346,flip,0.1454,,9,0.7326,True,True,1.64,True
1781271900,short,59.551,flip,-1.7701,,5,0.8637,True,True,1.1,False
1781276400,long,60.486,flip,-0.5373,,3,0.962,True,True,0.86,True
1781279100,short,60.282,flip,-1.2202,,3,1.0381,True,True,1.23,False
1781281800,long,60.897,flip,0.2926,,10,1.1319,True,True,0.55,True
1781290800,short,61.197,flip,2.4374,,30,1.105,True,True,0.59,False
1781317800,long,59.583,flip,-0.8545,,3,0.6712,True,False,0.52,True
1781320500,short,59.193,flip,2.0215,,11,0.6467,True,False,0.89,False
1781330400,long,57.878,flip,1.101,,14,0.7055,False,False,0.82,False
1781343000,short,58.631,flip,0.1224,,8,0.617,False,False,1.22,True
1781350200,long,58.442,flip,0.7959,,10,0.6005,False,False,1.3,False
1781359200,short,59.024,flip,-1.2826,,1,0.592,True,True,1.46,False
1781360100,long,59.663,flip,0.0631,,6,0.6275,True,True,1.19,True
1781365500,short,59.82,flip,-0.7851,,5,0.6528,True,True,1.57,False
1781370000,long,60.17,flip,-1.601,,1,0.6572,True,True,0.85,True
1781370900,short,59.327,flip,-0.8489,,5,0.7396,True,False,1.15,False
1781375400,long,59.712,flip,0.7244,,18,0.7342,True,True,0.42,True
1781391600,short,60.264,flip,-1.2006,,3,0.4951,True,True,0.58,False
1781394300,long,60.867,flip,-0.6748,,8,0.5036,True,True,1.07,True
1781401500,short,60.578,flip,-0.7926,,2,0.4767,True,True,1.1,False
1781403300,long,60.937,flip,-0.6792,,4,0.4801,True,True,0.57,True
1781406900,short,60.645,flip,0.4233,,12,0.4968,True,True,1.39,False
1781417700,long,60.267,flip,-1.0661,,2,0.4763,True,True,1.22,True
1781419500,short,59.745,flip,-1.4202,,3,0.4937,True,False,1.0,False
1781422200,long,60.474,flip,-1.1211,,1,0.5001,True,True,1.1,True
1781423100,short,59.917,flip,-0.8042,,5,0.5486,True,False,1.08,False
1781427600,long,60.279,flip,0.6743,,15,0.5342,True,True,1.1,True
1781441100,short,60.806,flip,-0.8578,,4,0.6499,True,True,1.62,False
1781444700,long,61.206,flip,-1.6165,,2,0.6538,True,True,1.57,True
1781446500,short,60.339,flip,-0.5232,,4,0.7151,True,False,0.94,False
1781450100,long,60.534,flip,-0.7666,,6,0.6962,True,True,0.87,True
1781455500,short,60.191,flip,-0.1801,,8,0.6163,True,False,0.71,False
1781462700,long,60.179,flip,5.5462,,26,0.5975,True,False,1.44,True
1781486100,short,63.637,flip,-0.9134,,5,0.8597,True,True,1.34,False
1781490600,long,64.091,flip,0.9187,,9,0.8045,True,True,0.73,True
1781498700,short,64.808,flip,-0.8049,,9,0.7588,True,True,1.28,False
1781506800,long,65.2,flip,2.8782,,27,0.6704,True,True,1.58,True
1781531100,short,67.207,flip,-1.3829,,5,0.7783,True,True,1.04,False
