time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781244000,short,58.102,tp,1.8,0.6,1,1.7662,False,True,0.94,True
1781254800,long,58.659,tp,1.8,0.6,3,1.8282,False,True,1.09,False
1781301600,short,60.526,tp,1.8,0.6,1,1.8722,True,True,0.51,False
1781341200,long,58.921,tp,1.8,0.6,5,1.5719,False,True,0.63,False
1781373600,short,59.051,sl,-3.2,-1.067,5,1.5476,False,True,0.96,True
1781413200,short,60.129,sl,-3.2,-1.067,16,1.2285,True,True,0.99,False
1781474400,long,63.03,tp,1.8,0.6,4,1.4219,True,True,1.17,True
1781532000,short,66.988,sl,-3.2,-1.067,13,1.4998,True,True,1.12,False
1781582400,long,69.753,tp,1.8,0.6,1,1.5675,True,True,1.38,True
1781622000,short,73.438,tp,1.8,0.6,20,2.1171,True,True,1.42,False
1781712000,long,74.43,sl,-3.2,-1.067,3,1.9442,True,True,1.12,True
1781722800,short,73.669,tp,1.8,0.6,1,2.1614,True,True,1.42,False
1781766000,long,71.244,tp,1.8,0.6,1,2.2449,True,False,1.22,True
1781791200,short,70.686,tp,1.8,0.6,1,2.2098,True,False,1.18,False
1781816400,long,68.864,sl,-3.2,-1.067,4,2.1744,True,False,0.62,True
1781841600,short,66.8,sl,-3.2,-1.067,9,2.0136,False,False,1.09,True
1781917200,short,69.26,sl,-3.2,-1.067,11,1.8313,True,False,0.65,False
1781964000,short,69.607,tp,1.8,0.6,18,1.477,True,False,1.09,False
1782057600,long,68.729,sl,-3.2,-1.067,7,1.121,True,False,1.08,True
1782093600,long,68.461,sl,-3.2,-1.067,1,1.2086,True,False,1.33,True
1782097200,short,67.418,tp,1.8,0.6,1,1.2727,False,False,0.81,True
1782115200,long,67.316,tp,1.8,0.6,4,1.3729,False,False,1.2,False
1782140400,short,67.995,tp,1.8,0.6,6,1.4039,True,False,1.47,False
1782165600,short,66.752,tp,1.8,0.6,7,1.5903,False,False,0.57,True
1782262800,long,62.893,sl,-3.2,-1.067,2,1.4137,False,False,0.52,False
1782270000,short,61.596,tp,1.8,0.6,10,1.4797,False,False,0.68,True
1782309600,short,60.863,tp,1.8,0.6,2,1.5874,False,False,1.72,True
1782327600,long,60.36,tp,1.8,0.6,1,1.7429,False,False,1.31,False
1782378000,short,63.478,tp,1.8,0.6,4,1.5106,False,True,0.75,True
1782399600,long,60.85,tp,1.8,0.6,1,2.1713,False,False,3.17,False
1782442800,short,61.657,sl,-3.2,-1.067,1,2.2892,False,False,1.14,True
1782446400,long,63.859,tp,1.8,0.6,4,2.3213,False,True,1.06,False
1782468000,short,62.67,tp,1.8,0.6,2,2.3435,False,False,0.78,True
1782482400,long,63.811,tp,1.8,0.6,1,2.324,False,True,1.15,False
1782525600,short,63.472,tp,1.8,0.6,18,1.8783,False,False,0.3,True
1782633600,long,62.653,sl,-3.2,-1.067,13,1.1049,False,False,0.62,False
1782694800,long,61.715,tp,1.8,0.6,4,1.255,False,False,1.46,False
1782781200,short,66.025,tp,1.8,0.6,11,1.5853,True,True,0.77,False
1782824400,short,64.577,tp,1.8,0.6,12,1.3886,True,False,1.19,False
1782867600,short,64.273,tp,1.8,0.6,9,1.3426,False,False,1.23,True
1782914400,long,64.106,sl,-3.2,-1.067,6,1.4298,False,False,1.5,False
1782936000,short,63.021,sl,-3.2,-1.067,15,1.5396,False,False,1.29,True
1783040400,short,66.068,sl,-3.2,-1.067,8,1.3358,True,True,1.49,False
1783130400,short,70.266,tp,1.8,0.6,23,1.1849,True,True,1.05,False
1783256400,long,69.215,tp,1.8,0.6,7,0.8933,True,True,0.89,True
1783310400,short,71.61,tp,1.8,0.6,4,1.0187,True,True,2.35,False
1783353600,long,70.731,tp,1.8,0.6,20,1.1627,True,True,0.85,True
1783432800,short,71.283,tp,1.8,0.6,5,1.078,True,True,1.33,False
1783450800,short,70.227,tp,1.8,0.6,6,1.2516,True,False,1.23,False
1783512000,long,68.871,sl,-3.2,-1.067,3,1.2564,True,False,0.92,True
1783558800,long,67.811,tp,1.8,0.6,32,1.1517,False,False,0.76,False
1783688400,short,68.401,tp,1.8,0.6,6,0.8584,True,True,1.42,False
1783771200,long,67.013,open,0.4417,0.147,2,0.6789,False,False,0.42,False
