time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781244000,short,58.102,flip,-1.1587,,3,1.7662,False,True,0.94,True
1781254800,long,58.659,flip,2.9828,,13,1.8282,False,True,1.09,False
1781301600,short,60.526,flip,2.4518,,11,1.8722,True,True,0.51,False
1781341200,long,58.921,flip,0.0206,,9,1.5719,False,True,0.63,False
1781373600,short,59.051,flip,-2.7199,,4,1.5476,False,True,0.96,True
1781388000,long,60.539,flip,-0.8772,,7,1.3908,True,True,0.65,True
1781413200,short,60.129,flip,-1.4008,,5,1.2285,True,True,0.99,False
1781431200,long,60.851,flip,-1.0315,,5,1.1816,True,True,1.17,True
1781449200,short,60.345,flip,-4.6494,,7,1.2924,True,True,1.53,False
1781474400,long,63.03,flip,6.0795,,16,1.4219,True,True,1.17,True
1781532000,short,66.988,flip,-2.272,,3,1.4998,True,True,1.12,False
1781542800,long,68.376,flip,-1.9418,,3,1.4955,True,True,0.93,True
1781553600,short,67.185,flip,-4.0223,,8,1.491,True,True,0.9,False
1781582400,long,69.753,flip,5.0829,,11,1.5675,True,True,1.38,True
1781622000,short,73.438,flip,-1.4745,,11,2.1171,True,True,1.42,False
1781661600,long,74.374,flip,-2.8528,,7,2.0202,True,True,0.55,True
1781686800,short,72.401,flip,-3.0024,,7,1.8415,True,True,1.18,False
1781712000,long,74.43,flip,-1.2224,,3,1.9442,True,True,1.12,True
1781722800,short,73.669,flip,3.0918,,12,2.1614,True,True,1.42,False
1781766000,long,71.244,flip,-0.9832,,7,2.2449,True,False,1.22,True
1781791200,short,70.686,flip,2.3776,,7,2.2098,True,False,1.18,False
1781816400,long,68.864,flip,-3.1972,,7,2.1744,True,False,0.62,True
1781841600,short,66.8,flip,-1.5189,,3,2.0136,False,False,1.09,True
1781852400,long,67.681,flip,2.133,,18,2.0132,True,False,1.02,True
1781917200,short,69.26,flip,-1.3695,,4,1.8313,True,False,0.65,False
1781931600,long,70.07,flip,-0.8608,,9,1.7063,True,True,0.5,True
1781964000,short,69.607,flip,-1.9039,,1,1.477,True,False,1.09,False
1781967600,long,70.793,flip,-1.5236,,2,1.5924,True,True,1.42,True
1781974800,short,69.856,flip,-1.5012,,7,1.6017,True,True,0.79,False
1782000000,long,70.765,flip,-1.4337,,3,1.2536,True,True,0.47,True
1782010800,short,69.892,flip,1.464,,13,1.1912,True,False,0.47,False
1782057600,long,68.729,flip,-1.3713,,2,1.121,True,False,1.08,True
1782064800,short,67.924,flip,-0.9906,,8,1.1341,False,False,0.51,True
1782093600,long,68.461,flip,-1.7235,,1,1.2086,True,False,1.33,True
1782097200,short,67.418,flip,-0.0487,,5,1.2727,False,False,0.81,True
1782115200,long,67.316,flip,0.8087,,7,1.3729,False,False,1.2,False
1782140400,short,67.995,flip,-0.4265,,3,1.4039,True,False,1.47,False
1782151200,long,68.149,flip,-2.2499,,4,1.4813,True,False,2.29,True
1782165600,short,66.752,flip,5.5811,,27,1.5903,False,False,0.57,True
1782262800,long,62.893,flip,-2.2622,,2,1.4137,False,False,0.52,False
1782270000,short,61.596,flip,-1.2569,,3,1.4797,False,False,0.68,True
1782280800,long,62.247,flip,-2.4234,,8,1.5243,False,False,0.83,False
1782309600,short,60.863,flip,0.6264,,5,1.5874,False,False,1.72,True
1782327600,long,60.36,flip,4.9657,,14,1.7429,False,False,1.31,False
1782378000,short,63.478,flip,3.94,,6,1.5106,False,True,0.75,True
1782399600,long,60.85,flip,1.1262,,12,2.1713,False,False,3.17,False
1782442800,short,61.657,flip,-3.7714,,1,2.2892,False,False,1.14,True
1782446400,long,63.859,flip,-2.0619,,6,2.3213,False,True,1.06,False
1782468000,short,62.67,flip,-2.0206,,4,2.3435,False,False,0.78,True
1782482400,long,63.811,flip,-0.7313,,12,2.324,False,True,1.15,False
1782525600,short,63.472,flip,-0.7719,,13,1.8783,False,False,0.3,True
1782572400,long,63.835,flip,-1.3733,,3,1.3523,False,True,0.74,False
1782583200,short,63.086,flip,0.4864,,14,1.3664,False,False,1.14,True
1782633600,long,62.653,flip,-0.9853,,11,1.1049,False,False,0.62,False
1782673200,short,62.161,flip,0.5175,,6,1.1301,False,False,1.01,True
1782694800,long,61.715,flip,6.7837,,24,1.255,False,False,1.46,False
1782781200,short,66.025,flip,-0.3121,,10,1.5853,True,True,0.77,False
1782817200,long,66.099,flip,-2.5026,,2,1.3214,True,True,0.7,True
1782824400,short,64.577,flip,-1.6231,,7,1.3886,True,False,1.19,False
1782849600,long,65.496,flip,-2.0673,,5,1.3813,True,True,1.04,True
1782867600,short,64.273,flip,-2.011,,2,1.3426,False,False,1.23,True
1782874800,long,65.437,flip,-1.0084,,4,1.4257,True,True,1.52,True
1782889200,short,64.908,flip,1.0356,,7,1.3537,True,True,0.89,False
1782914400,long,64.106,flip,-1.8925,,6,1.4298,False,False,1.5,False
1782936000,short,63.021,flip,-0.922,,2,1.5396,False,False,1.29,True
1782943200,long,63.476,flip,-2.0007,,3,1.6617,False,False,1.0,False
1782954000,short,62.333,flip,-2.3016,,3,1.7189,False,False,0.97,True
1782964800,long,63.643,flip,3.6103,,21,1.6041,False,False,0.79,False
1783040400,short,66.068,flip,-2.1026,,5,1.3358,True,True,1.49,False
1783058400,long,67.325,flip,4.1684,,20,1.2551,True,True,1.29,True
1783130400,short,70.266,flip,-1.7498,,2,1.1849,True,True,1.05,False
