time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781195100,short,4109.2998046875,tp,0.0134,1.1,1,0.2168,True,True,1.3,False
1781199000,long,4122.60009765625,tp,0.0133,1.1,1,0.1982,True,True,4.95,True
1781200800,short,4173.2001953125,tp,0.0132,1.1,1,0.2989,True,True,0.74,False
1781202000,long,4181.60009765625,sl,-0.0227,-1.9,1,0.3132,True,True,1.13,True
1781216700,short,4227.2001953125,sl,-0.0225,-1.9,1,0.1557,True,True,0.58,False
1781217000,long,4235.5,sl,-0.0224,-1.9,1,0.1598,True,True,0.9,True
1781219100,short,4247.39990234375,sl,-0.0224,-1.9,1,0.2099,True,True,2.15,False
1781229000,long,4213.0,sl,-0.0225,-1.9,1,0.2231,True,False,0.87,True
1781231400,short,4210.60009765625,sl,-0.0226,-1.9,1,0.1845,True,False,0.45,False
1781232600,long,4212.60009765625,sl,-0.0226,-1.9,1,0.1841,True,False,0.55,True
1781237400,short,4217.89990234375,tp,0.013,1.1,1,0.1446,True,False,0.79,False
1781244300,long,4202.7001953125,tp,0.0131,1.1,1,0.1425,True,False,2.41,True
1781246700,short,4198.2001953125,sl,-0.0226,-1.9,1,0.1323,True,False,1.09,False
1781247600,long,4205.5,sl,-0.0226,-1.9,1,0.1316,True,False,1.05,True
1781247900,short,4199.0,sl,-0.0226,-1.9,1,0.1374,True,False,0.88,False
1781250300,long,4204.7001953125,sl,-0.0226,-1.9,1,0.1316,True,False,1.55,True
1781250600,short,4196.5,sl,-0.0226,-1.9,1,0.1378,True,False,1.49,False
1781251200,long,4215.89990234375,tp,0.013,1.1,1,0.1554,True,True,3.58,True
1781259600,short,4238.60009765625,tp,0.013,1.1,1,0.1406,True,True,1.45,False
1781260500,long,4236.0,tp,0.013,1.1,1,0.1612,True,True,1.12,True
1781262300,short,4227.0,sl,-0.0225,-1.9,1,0.1409,True,False,0.84,False
1781264700,long,4230.89990234375,sl,-0.0225,-1.9,1,0.136,True,True,1.29,True
1781265600,short,4227.89990234375,sl,-0.0225,-1.9,1,0.1391,True,False,0.71,False
1781266500,long,4235.39990234375,sl,-0.0224,-1.9,1,0.1361,True,True,1.26,True
1781267100,short,4224.2998046875,tp,0.013,1.1,1,0.1408,True,False,1.91,False
1781269800,long,4221.2998046875,sl,-0.0225,-1.9,1,0.1564,True,False,0.93,True
1781271900,short,4211.10009765625,sl,-0.0226,-1.9,1,0.1942,True,False,3.79,False
1781273400,long,4218.7998046875,sl,-0.0225,-1.9,1,0.2154,True,False,1.0,True
1781274300,short,4207.7998046875,sl,-0.0226,-1.9,1,0.2162,False,False,1.0,True
1781276100,long,4228.10009765625,sl,-0.0225,-1.9,1,0.2468,True,True,2.36,True
