time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781225100,short,8.7718,sl,-3.2,-1.067,1,6.2375,True,False,0.8,False
1781255700,long,8.5995,tp,1.8,0.6,1,5.4015,True,True,0.57,True
1781294400,short,8.7023,tp,1.8,0.6,1,7.7567,True,False,0.8,False
1781320500,long,7.9475,tp,1.8,0.6,2,5.879,False,False,0.8,False
1781352000,short,8.3756,sl,-3.2,-1.067,1,4.4146,True,False,1.29,False
1781396100,long,8.0208,tp,1.8,0.6,1,3.3644,False,True,2.02,False
1781406900,short,7.3476,tp,1.8,0.6,1,3.597,False,False,0.73,True
1781499600,long,5.6371,tp,1.8,0.6,1,3.1267,False,True,1.49,False
1781508600,short,4.888,tp,1.8,0.6,1,4.021,False,False,2.18,True
1781575200,long,4.1648,tp,1.8,0.6,1,2.5762,False,True,0.79,False
1781589600,short,3.7222,tp,1.8,0.6,2,3.8288,False,False,1.75,True
1781667000,long,2.7244,tp,1.8,0.6,1,5.1771,False,True,0.55,False
1781675100,short,2.1944,tp,1.8,0.6,1,7.6884,False,False,2.44,True
1781736300,long,1.7214,tp,1.8,0.6,1,3.8303,False,False,1.21,False
1781761500,short,1.678,tp,1.8,0.6,1,5.5459,False,False,0.79,True
1781789400,long,1.6286,tp,1.8,0.6,1,3.7584,False,False,1.24,False
1781820900,short,1.6995,tp,1.8,0.6,1,3.8839,False,False,0.41,True
1781841600,long,1.8386,tp,1.8,0.6,1,3.1856,False,True,3.0,False
1781855100,short,1.6924,tp,1.8,0.6,1,6.288,False,False,1.25,True
1781870400,long,2.0082,sl,-3.2,-1.067,1,5.4889,True,True,1.81,True
1781897400,short,1.7954,tp,1.8,0.6,1,3.9712,False,False,0.59,True
1781921700,long,1.9559,sl,-3.2,-1.067,1,2.9451,True,True,2.48,True
1781942400,short,1.8499,sl,-3.2,-1.067,1,3.1656,False,False,1.52,True
1781979300,long,1.8668,tp,1.8,0.6,8,2.5469,False,True,1.03,False
1781991900,short,1.7853,tp,1.8,0.6,4,2.273,False,False,0.44,True
1782050400,long,1.7767,tp,1.8,0.6,3,2.2069,False,True,2.47,False
1782129600,short,1.7201,tp,1.8,0.6,1,1.6242,False,False,2.21,True
1782174600,long,1.6799,tp,1.8,0.6,10,1.5587,False,False,0.82,False
1782289800,short,2.3643,tp,1.8,0.6,1,4.4986,True,True,1.24,False
1782332100,long,1.7325,sl,-3.2,-1.067,4,3.5358,False,False,0.69,False
1782362700,short,1.6285,sl,-3.2,-1.067,2,3.6228,False,False,1.37,True
1782367200,long,1.7935,sl,-3.2,-1.067,1,3.1812,False,True,1.11,False
1782414900,short,1.8713,tp,1.8,0.6,3,4.2395,False,False,0.84,True
1782427500,long,2.0655,tp,1.8,0.6,6,3.065,True,True,0.94,True
1782539100,short,2.489,tp,1.8,0.6,1,2.1409,True,False,1.28,False
1782557100,long,2.348,tp,1.8,0.6,1,3.9047,True,True,1.69,True
1782582300,short,2.3761,sl,-3.2,-1.067,14,3.7376,True,False,0.6,False
1782600300,long,2.5286,tp,1.8,0.6,1,2.528,True,True,1.47,True
1782646200,short,2.5492,tp,1.8,0.6,1,3.5243,True,False,0.88,False
1782681300,long,2.5447,tp,1.8,0.6,1,1.8365,True,True,1.6,True
1782715500,short,2.5072,sl,-3.2,-1.067,4,2.3641,False,False,1.57,True
1782725400,long,2.7009,sl,-3.2,-1.067,1,2.1924,True,True,0.99,True
1782758700,short,2.6928,sl,-3.2,-1.067,11,2.1473,True,False,0.48,False
1782772200,long,2.8132,sl,-3.2,-1.067,5,1.6938,True,True,1.22,True
1782833400,short,2.6823,sl,-3.2,-1.067,1,1.6391,False,False,2.54,True
1782848700,long,2.8729,tp,1.8,0.6,2,1.6057,True,True,1.07,True
1782886500,short,3.1192,tp,1.8,0.6,1,4.374,True,True,1.57,False
1782914400,long,2.5222,tp,1.8,0.6,1,3.9461,False,False,1.49,False
1782962100,short,2.6836,tp,1.8,0.6,1,2.7706,False,False,2.78,True
1782968400,long,2.8389,tp,1.8,0.6,5,3.0185,True,True,0.79,True
1783059300,short,3.0434,tp,1.8,0.6,1,2.0691,True,False,0.76,False
1783111500,long,2.8372,sl,-3.2,-1.067,3,1.6768,False,True,0.7,False
1783122300,short,2.7006,tp,1.8,0.6,1,1.6854,False,False,0.56,True
1783146600,long,2.8414,tp,1.8,0.6,1,1.8996,True,True,3.14,True
1783202400,short,2.9158,tp,1.8,0.6,10,1.3746,True,False,0.57,False
1783246500,long,2.8007,tp,1.8,0.6,13,1.547,False,False,0.4,False
1783269000,short,2.7412,tp,1.8,0.6,8,1.5352,False,False,1.64,True
1783286100,long,2.812,tp,1.8,0.6,3,1.2537,False,True,0.87,False
1783300500,short,2.7706,tp,1.8,0.6,9,1.2875,False,False,0.34,True
1783365300,long,2.51,tp,1.8,0.6,4,1.9195,False,True,0.59,False
1783401300,short,2.5672,tp,1.8,0.6,3,1.8724,False,False,1.72,True
1783413000,long,2.6576,sl,-3.2,-1.067,4,1.7742,True,True,1.19,True
1783428300,short,2.4534,sl,-3.2,-1.067,2,1.7447,False,False,1.3,True
1783462500,long,2.4928,sl,-3.2,-1.067,5,1.4577,False,True,1.72,False
1783476900,short,2.3863,tp,1.8,0.6,4,1.3957,False,False,0.69,True
1783531800,long,2.3071,tp,1.8,0.6,3,2.4641,False,True,1.19,False
1783557000,short,2.261,tp,1.8,0.6,19,1.8306,False,False,0.68,True
