time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781225100,short,8.7718,flip,1.7642,,34,6.2375,True,False,0.8,False
1781255700,long,8.5995,flip,0.9954,,43,5.4015,True,True,0.57,True
1781294400,short,8.7023,flip,8.4736,,29,7.7567,True,False,0.8,False
1781320500,long,7.9475,flip,5.1866,,35,5.879,False,False,0.8,False
1781352000,short,8.3756,flip,4.0361,,49,4.4146,True,False,1.29,False
1781396100,long,8.0208,flip,-8.5932,,12,3.3644,False,True,2.02,False
1781406900,short,7.3476,flip,23.0797,,103,3.597,False,False,0.73,True
1781499600,long,5.6371,flip,-13.4887,,10,3.1267,False,True,1.49,False
1781508600,short,4.888,flip,14.5954,,74,4.021,False,False,2.18,True
1781575200,long,4.1648,flip,-10.8272,,16,2.5762,False,True,0.79,False
1781589600,short,3.7222,flip,26.6067,,86,3.8288,False,False,1.75,True
1781667000,long,2.7244,flip,-19.6538,,9,5.1771,False,True,0.55,False
1781675100,short,2.1944,flip,21.3549,,68,7.6884,False,False,2.44,True
1781736300,long,1.7214,flip,-2.7212,,28,3.8303,False,False,1.21,False
1781761500,short,1.678,flip,2.744,,31,5.5459,False,False,0.79,True
1781789400,long,1.6286,flip,4.1534,,35,3.7584,False,False,1.24,False
1781820900,short,1.6995,flip,-8.3848,,23,3.8839,False,False,0.41,True
1781841600,long,1.8386,flip,-8.1517,,15,3.1856,False,True,3.0,False
1781855100,short,1.6924,flip,-18.8599,,17,6.288,False,False,1.25,True
1781870400,long,2.0082,flip,-10.7966,,30,5.4889,True,True,1.81,True
1781897400,short,1.7954,flip,-9.1395,,27,3.9712,False,False,0.59,True
1781921700,long,1.9559,flip,-5.6195,,23,2.9451,True,True,2.48,True
1781942400,short,1.8499,flip,-1.1136,,41,3.1656,False,False,1.52,True
1781979300,long,1.8668,flip,-4.5658,,14,2.5469,False,True,1.03,False
1781991900,short,1.7853,flip,0.2817,,65,2.273,False,False,0.44,True
1782050400,long,1.7767,flip,-3.3857,,88,2.2069,False,True,2.47,False
1782129600,short,1.7201,flip,2.1371,,50,1.6242,False,False,2.21,True
1782174600,long,1.6799,flip,40.5405,,128,1.5587,False,False,0.82,False
1782289800,short,2.3643,flip,26.5225,,47,4.4986,True,True,1.24,False
1782332100,long,1.7325,flip,-6.2029,,34,3.5358,False,False,0.69,False
1782362700,short,1.6285,flip,-10.332,,5,3.6228,False,False,1.37,True
1782367200,long,1.7935,flip,4.1379,,53,3.1812,False,True,1.11,False
1782414900,short,1.8713,flip,-10.5778,,14,4.2395,False,False,0.84,True
1782427500,long,2.0655,flip,20.3035,,124,3.065,True,True,0.94,True
1782539100,short,2.489,flip,5.4649,,20,2.1409,True,False,1.28,False
1782557100,long,2.348,flip,0.9968,,28,3.9047,True,True,1.69,True
1782582300,short,2.3761,flip,-6.6181,,20,3.7376,True,False,0.6,False
1782600300,long,2.5286,flip,0.6147,,51,2.528,True,True,1.47,True
1782646200,short,2.5492,flip,-0.0235,,39,3.5243,True,False,0.88,False
1782681300,long,2.5447,flip,-1.6737,,38,1.8365,True,True,1.6,True
1782715500,short,2.5072,flip,-7.9257,,11,2.3641,False,False,1.57,True
1782725400,long,2.7009,flip,-0.4999,,37,2.1924,True,True,0.99,True
1782758700,short,2.6928,flip,-4.6712,,15,2.1473,True,False,0.48,False
1782772200,long,2.8132,flip,-4.8531,,68,1.6938,True,True,1.22,True
1782833400,short,2.6823,flip,-7.3058,,17,1.6391,False,False,2.54,True
1782848700,long,2.8729,flip,8.3732,,42,1.6057,True,True,1.07,True
1782886500,short,3.1192,flip,18.9395,,31,4.374,True,True,1.57,False
1782914400,long,2.5222,flip,6.1992,,53,3.9461,False,False,1.49,False
1782962100,short,2.6836,flip,-5.987,,7,2.7706,False,False,2.78,True
1782968400,long,2.8389,flip,7.0035,,101,3.0185,True,True,0.79,True
1783059300,short,3.0434,flip,6.5753,,58,2.0691,True,False,0.76,False
1783111500,long,2.8372,flip,-5.0146,,12,1.6768,False,True,0.7,False
1783122300,short,2.7006,flip,-5.4137,,27,1.6854,False,False,0.56,True
1783146600,long,2.8414,flip,2.4184,,62,1.8996,True,True,3.14,True
1783202400,short,2.9158,flip,3.7475,,49,1.3746,True,False,0.57,False
1783246500,long,2.8007,flip,-2.3245,,25,1.547,False,False,0.4,False
1783269000,short,2.7412,flip,-2.7828,,19,1.5352,False,False,1.64,True
1783286100,long,2.812,flip,-1.6723,,16,1.2537,False,True,0.87,False
1783300500,short,2.7706,flip,9.2059,,72,1.2875,False,False,0.34,True
1783365300,long,2.51,flip,2.0789,,40,1.9195,False,True,0.59,False
1783401300,short,2.5672,flip,-3.7213,,13,1.8724,False,False,1.72,True
1783413000,long,2.6576,flip,-7.8836,,17,1.7742,True,True,1.19,True
1783428300,short,2.4534,flip,-1.8059,,38,1.7447,False,False,1.3,True
1783462500,long,2.4928,flip,-4.4723,,16,1.4577,False,True,1.72,False
1783476900,short,2.3863,flip,3.1189,,61,1.3957,False,False,0.69,True
1783531800,long,2.3071,flip,-2.1982,,28,2.4641,False,True,1.19,False
1783557000,short,2.261,flip,2.1839,,82,1.8306,False,False,0.68,True
1783630800,long,2.2071,flip,-0.7165,,37,1.1362,False,True,1.11,False
1783664100,short,2.1957,flip,-3.9209,,13,1.6037,False,False,2.03,True
1783675800,long,2.2774,flip,21.6758,,117,1.3946,True,True,1.22,True
1783781100,short,2.7756,open,8.4828,,3,2.716,True,False,1.79,False
