time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781305200,short,7.3259,sl,-3.2,-1.067,1,14.1231,True,False,0.65,False
1781344800,long,9.4782,sl,-3.2,-1.067,1,8.243,True,True,0.93,True
1781370000,short,7.11,sl,-3.2,-1.067,1,10.8973,True,False,0.41,False
1781845200,long,1.8863,tp,1.8,0.6,1,6.9255,False,False,0.77,False
1782036000,short,1.7138,tp,1.8,0.6,1,4.5761,False,False,0.87,True
1782216000,long,1.7632,tp,1.8,0.6,1,2.8448,False,True,1.62,False
1782306000,short,1.9636,tp,1.8,0.6,1,8.5492,False,False,1.19,True
1782406800,long,2.087,sl,-3.2,-1.067,1,6.233,False,True,1.73,False
1782547200,short,2.1814,tp,1.8,0.6,1,6.6001,False,False,1.87,True
1782568800,long,2.6159,sl,-3.2,-1.067,1,6.1077,True,True,1.3,True
1782900000,short,2.5381,tp,1.8,0.6,1,8.6585,False,False,1.58,True
1782946800,long,2.9231,sl,-3.2,-1.067,1,6.2771,True,True,0.2,True
1783072800,short,2.7943,tp,1.8,0.6,1,4.7092,True,False,0.9,False
1783159200,long,3.0024,sl,-3.2,-1.067,1,3.8742,True,True,1.43,True
1783227600,short,2.7048,sl,-3.2,-1.067,1,3.4628,False,False,0.7,True
1783396800,long,2.6922,sl,-3.2,-1.067,1,2.9813,False,True,0.64,False
1783447200,short,2.4144,sl,-3.2,-1.067,4,3.7591,False,False,1.06,True
1783688400,long,2.3795,tp,1.8,0.6,2,2.8959,False,True,2.15,False
