time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781199300,long,63280.3,tp,1.8,0.6,625,0.2988,True,True,4.67,True
1781406300,short,64486.9,sl,-3.2,-1.067,403,0.0596,True,False,0.27,False
1781532300,short,66356.8,tp,1.8,0.6,510,0.2124,True,True,0.75,False
1781698200,long,64853.0,tp,1.8,0.6,51,0.1181,False,False,1.07,False
1781719800,short,65476.8,tp,1.8,0.6,18,0.3496,False,False,5.44,True
1781739000,long,64495.1,sl,-3.2,-1.067,196,0.184,False,True,0.51,False
1781812500,long,63003.5,tp,1.8,0.6,520,0.1753,False,True,1.22,False
1781977500,short,63867.7,tp,1.8,0.6,727,0.1574,True,False,3.17,False
1782214200,long,62546.3,sl,-3.2,-1.067,337,0.135,False,False,1.4,False
1782331800,long,60702.6,tp,1.8,0.6,137,0.341,False,True,2.36,False
1782384000,short,61520.5,tp,1.8,0.6,36,0.0881,True,False,0.95,False
1782404100,long,59763.6,sl,-3.2,-1.067,1547,0.5492,False,False,0.78,False
1782870300,long,58900.0,tp,1.8,0.6,150,0.3091,True,True,1.13,True
1782925200,short,59919.7,sl,-3.2,-1.067,242,0.2294,True,True,0.4,False
1783009500,short,61491.4,sl,-3.2,-1.067,593,0.2466,True,False,0.08,False
1783204200,short,63216.0,tp,1.8,0.6,450,0.0905,True,False,0.94,False
1783339500,short,61927.7,sl,-3.2,-1.067,49,0.2042,False,False,6.42,True
1783360800,short,63589.2,tp,1.8,0.6,460,0.2242,True,True,0.53,False
1783499400,short,62088.6,sl,-3.2,-1.067,507,0.2099,False,False,2.82,True
1783664700,short,63924.5,open,-0.4656,-0.155,400,0.1098,True,True,0.13,False
