time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781199900,long,1.1564704179763794,flip,0.0368,,28,0.0785,True,True,,True
1781225100,short,1.1570056676864624,flip,-0.1369,,32,0.0479,True,True,,False
1781253900,long,1.1584800481796265,flip,-0.1252,,14,0.0502,True,True,,True
1781266500,short,1.157139539718628,flip,-0.137,,13,0.0496,True,False,,False
1781278200,long,1.1586142778396606,flip,-0.1483,,21,0.0554,True,True,,True
1781297100,short,1.1570056676864624,flip,-0.3462,,4,0.0322,True,False,,False
1781478900,long,1.1609008312225342,flip,-0.0443,,39,0.0499,True,True,,True
1781514000,short,1.160496711730957,flip,-0.0908,,9,0.0398,True,True,,False
1781522100,long,1.161440134048462,flip,-0.1255,,18,0.0363,True,True,,True
1781538300,short,1.160092830657959,flip,0.0717,,62,0.043,True,False,,False
1781594100,long,1.159151554107666,flip,0.0601,,20,0.0302,True,True,,True
1781612100,short,1.1599582433700562,flip,-0.1954,,16,0.0382,True,True,,False
1781626500,long,1.1621150970458984,flip,-0.114,,58,0.0539,True,True,,True
1781678700,short,1.1609008312225342,flip,0.0369,,26,0.0246,True,False,,False
1781702100,long,1.1603620052337646,flip,-0.4715,,20,0.036,True,False,,True
1781720100,short,1.155001163482666,flip,0.2209,,28,0.0612,False,False,,True
1781745300,long,1.152339220046997,flip,-0.1016,,25,0.0551,False,False,,False
1781767800,short,1.1512778997421265,flip,0.2431,,31,0.0448,False,False,,True
1781795700,long,1.148369312286377,flip,-0.1472,,14,0.0691,False,False,,False
1781808300,short,1.1467890739440918,flip,0.1621,,50,0.0513,False,False,,True
1781853300,long,1.144819736480713,flip,0.1739,,56,0.0486,False,False,,False
1781903700,short,1.1469204425811768,flip,0.0477,,47,0.0411,False,False,,True
1782124200,long,1.1462632417678833,flip,-0.147,,11,0.0456,False,True,,False
1782134100,short,1.144688606262207,flip,0.1047,,53,0.0512,False,False,,True
1782181800,long,1.143379807472229,flip,-0.0896,,11,0.0314,False,False,,False
1782191700,short,1.1424654722213743,flip,-0.1126,,9,0.0296,False,False,,True
1782199800,long,1.1436413526535034,flip,-0.1923,,2,0.0374,False,True,,False
1782201600,short,1.1415525674819946,flip,0.5692,,121,0.0517,False,False,,True
1782310500,long,1.1349449157714844,flip,0.013,,42,0.0611,False,False,,False
1782348300,short,1.1352026462554932,flip,-0.1461,,3,0.0323,False,False,,True
1782351000,long,1.1367511749267578,flip,-0.0665,,21,0.0372,False,True,,False
1782369900,short,1.1361054182052612,flip,-0.112,,8,0.0297,False,False,,True
1782377100,long,1.137268304824829,flip,-0.146,,7,0.041,False,True,,False
1782383400,short,1.1357183456420898,flip,-0.112,,12,0.0426,False,False,,True
1782394200,long,1.1368803977966309,flip,0.0017,,39,0.0605,False,True,,False
1782429300,short,1.1370097398757937,flip,-0.0438,,19,0.0381,False,False,,True
1782446400,long,1.1373976469039917,flip,0.264,,45,0.0339,True,True,,True
1782486900,short,1.1405109167099,flip,0.0587,,53,0.0698,True,True,,False
1782712800,long,1.1397310495376587,flip,0.1845,,73,0.0296,True,True,,True
1782778500,short,1.1419435739517212,flip,0.1044,,27,0.025,True,False,,False
1782802800,long,1.1406410932540894,flip,-0.1008,,6,0.0372,True,False,,True
1782808200,short,1.1396011114120483,flip,-0.1809,,24,0.0413,False,False,,True
1782829800,long,1.1415525674819946,flip,0.0018,,38,0.054,True,True,,True
1782864000,short,1.1416828632354736,flip,0.1272,,56,0.0315,True,False,,False
1782914400,long,1.1401208639144895,flip,-0.1917,,18,0.0713,False,False,,False
1782930600,short,1.138044834136963,flip,-0.078,,32,0.0574,False,False,,True
1782959400,long,1.1388224363327026,flip,0.1158,,39,0.0311,False,True,,False
1782994500,short,1.1402509212493896,flip,-0.4678,,3,0.0427,True,True,,False
1782997200,long,1.1454753875732422,flip,-0.204,,19,0.0893,True,True,,True
1783014300,short,1.1432491540908811,flip,-0.0783,,30,0.0645,True,True,,False
1783041300,long,1.1440337896347046,flip,0.0476,,49,0.0387,True,True,,True
1783085400,short,1.144688606262207,flip,0.1504,,100,0.0383,True,False,,False
1783353600,long,1.1428571939468384,flip,0.0933,,48,0.0385,False,True,,False
1783396800,short,1.1440337896347046,flip,-0.0096,,35,0.0266,True,False,,False
1783428300,long,1.1440337896347046,flip,-0.1239,,13,0.0373,True,True,,True
1783440000,short,1.1427265405654907,flip,0.0589,,45,0.0388,False,False,,True
1783480500,long,1.1419435739517212,flip,-0.0325,,22,0.0331,False,True,,False
1783500300,short,1.1416828632354736,flip,-0.021,,33,0.0467,False,False,,True
1783530000,long,1.1418131589889526,flip,0.0132,,16,0.0508,False,True,,False
1783544400,short,1.1420739889144895,flip,-0.1125,,14,0.0394,False,True,,True
1783557000,long,1.1432491540908811,flip,-0.0325,,34,0.0319,True,True,,True
1783587600,short,1.142987847328186,flip,-0.124,,20,0.037,True,False,,False
1783605600,long,1.1442956924438477,flip,-0.1239,,23,0.0396,True,True,,True
1783626300,short,1.142987847328186,flip,-0.124,,21,0.0319,True,False,,False
1783645200,long,1.1442956924438477,flip,0.0133,,15,0.0305,True,True,,True
1783658700,short,1.1445575952529907,flip,0.0133,,46,0.0331,True,True,,False
1783700100,long,1.1442956924438477,flip,-0.1696,,6,0.0455,True,True,,True
1783705500,short,1.1424654722213743,open,0.0361,,14,0.0437,False,False,,True
