time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781244900,short,57.783,sl,-3.2,-1.067,20,0.7494,True,False,1.39,False
1781301600,short,60.526,tp,1.8,0.6,7,0.8743,True,True,0.59,False
1781334000,long,58.779,tp,1.8,0.6,29,0.6903,False,False,1.08,False
1781412300,short,60.151,sl,-3.2,-1.067,67,0.4956,True,False,1.8,False
1781473500,long,62.976,tp,1.8,0.6,10,0.7678,True,True,1.29,True
1781622900,short,73.944,tp,1.8,0.6,15,1.3046,True,True,1.23,False
1781667000,long,74.86,sl,-3.2,-1.067,21,0.8459,True,True,0.87,True
1781710200,long,72.721,tp,1.8,0.6,1,0.8866,True,True,0.78,True
1781725500,short,71.251,sl,-3.2,-1.067,21,1.6375,False,False,0.96,True
1781746200,long,73.353,sl,-3.2,-1.067,8,1.0198,True,True,0.8,True
1781755200,short,70.988,tp,1.8,0.6,1,1.007,False,False,1.08,True
1781768700,long,71.094,tp,1.8,0.6,3,1.0318,False,False,0.97,False
1781793900,short,69.326,tp,1.8,0.6,2,1.1639,False,False,1.44,True
1781874900,long,68.02,tp,1.8,0.6,2,0.9154,False,True,1.3,False
1781917200,short,69.26,sl,-3.2,-1.067,44,0.7647,False,False,1.02,True
1781963100,short,69.637,tp,1.8,0.6,72,0.6644,False,False,1.07,True
1782055800,long,68.666,sl,-3.2,-1.067,48,0.5241,False,True,0.69,False
1782100800,short,65.495,sl,-3.2,-1.067,14,0.883,False,False,1.64,True
1782113400,long,67.251,tp,1.8,0.6,20,0.669,False,True,1.37,False
1782144900,short,67.075,sl,-3.2,-1.067,7,0.7936,False,False,1.85,True
1782153000,long,69.043,sl,-3.2,-1.067,5,0.7621,True,True,1.2,True
1782158400,short,67.427,tp,1.8,0.6,9,0.8606,False,False,0.76,True
1782332100,long,61.338,tp,1.8,0.6,1,0.9519,False,True,0.75,False
1782386100,short,62.77,tp,1.8,0.6,9,0.6026,False,False,2.78,True
1782412200,long,63.21,tp,1.8,0.6,12,1.3486,True,True,0.34,True
1782438300,short,62.95,tp,1.8,0.6,2,1.0123,False,False,1.1,True
1782457200,long,63.74,tp,1.8,0.6,3,0.9978,True,True,1.23,True
1782468900,short,62.391,tp,1.8,0.6,12,1.0027,False,False,1.23,True
1782483300,long,63.8,tp,1.8,0.6,5,1.0625,True,True,0.84,True
1782521100,short,63.462,tp,1.8,0.6,77,0.7524,False,False,0.84,True
1782637200,long,63.109,sl,-3.2,-1.067,51,0.5281,True,True,1.76,True
1782698400,long,61.988,tp,1.8,0.6,33,0.693,False,True,1.19,False
1782782100,short,65.658,tp,1.8,0.6,60,0.7092,True,False,1.16,False
1782879300,long,65.496,sl,-3.2,-1.067,16,0.6749,True,True,0.26,True
1782915300,long,64.675,sl,-3.2,-1.067,24,0.7446,True,True,2.28,True
1782964800,long,63.643,tp,1.8,0.6,30,0.6498,False,True,0.6,False
1783031400,short,65.61,sl,-3.2,-1.067,28,0.5888,True,True,0.46,False
1783158300,short,70.822,tp,1.8,0.6,59,0.4872,True,False,1.21,False
1783257300,long,69.342,tp,1.8,0.6,30,0.4132,True,True,0.85,True
1783316700,short,70.873,tp,1.8,0.6,25,0.5704,True,False,1.01,False
1783344600,short,68.848,sl,-3.2,-1.067,10,0.6373,False,False,0.99,True
1783353600,long,70.731,tp,1.8,0.6,80,0.6781,True,True,0.89,True
1783451700,short,69.948,tp,1.8,0.6,25,0.7678,False,False,2.44,True
1783555200,long,67.639,tp,1.8,0.6,129,0.4985,False,True,0.83,False
1783693800,short,67.793,tp,1.8,0.6,59,0.5215,False,False,1.53,True
1783773000,long,67.025,open,-0.1731,-0.058,12,0.263,False,True,1.54,False
