time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781326800,short,57.979,sl,-3.2,-1.067,9,1.7017,False,False,0.56,True
1781388000,long,60.539,tp,1.8,0.6,23,1.3908,True,True,0.65,True
1781697600,short,71.054,sl,-3.2,-1.067,3,1.8439,True,False,1.36,False
1781895600,long,70.673,sl,-3.2,-1.067,7,1.8718,True,True,0.51,True
1782032400,short,67.746,tp,1.8,0.6,18,1.2515,False,False,1.17,True
1782136800,long,69.329,sl,-3.2,-1.067,1,1.3256,True,True,1.57,True
1782198000,short,64.326,tp,1.8,0.6,1,1.7251,False,False,2.15,True
1782363600,long,63.73,sl,-3.2,-1.067,8,1.6055,False,True,0.84,False
1782594000,short,62.424,tp,1.8,0.6,24,1.3073,False,False,0.8,True
1782738000,long,63.809,tp,1.8,0.6,3,1.2995,False,True,2.05,False
1782896400,short,64.03,tp,1.8,0.6,1,1.4024,False,False,1.26,True
1782997200,long,65.154,tp,1.8,0.6,1,1.3535,True,True,1.34,True
1783216800,short,68.994,sl,-3.2,-1.067,19,0.9913,True,False,1.7,False
1783288800,long,71.036,tp,1.8,0.6,2,0.8591,True,True,1.85,True
1783342800,short,69.122,sl,-3.2,-1.067,3,1.0991,True,False,1.85,False
1783429200,long,72.091,sl,-3.2,-1.067,6,1.0449,True,True,1.51,True
1783465200,short,69.752,tp,1.8,0.6,2,1.2883,True,False,0.83,False
1783677600,long,69.053,sl,-3.2,-1.067,10,0.8603,True,True,1.11,True
1783713600,short,67.312,open,-0.3946,-0.132,18,0.923,False,False,0.55,True
