time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781326800,short,57.979,flip,-4.6154,,17,1.7017,False,False,0.56,True
1781388000,long,60.539,flip,17.169,,86,1.3908,True,True,0.65,True
1781697600,short,71.054,flip,0.3362,,55,1.8439,True,False,1.36,False
1781895600,long,70.673,flip,-4.3416,,38,1.8718,True,True,0.51,True
1782032400,short,67.746,flip,-2.5367,,29,1.2515,False,False,1.17,True
1782136800,long,69.329,flip,-7.4163,,17,1.3256,True,True,1.57,True
1782198000,short,64.326,flip,0.7265,,46,1.7251,False,False,2.15,True
1782363600,long,63.73,flip,-2.2493,,64,1.6055,False,True,0.84,False
1782594000,short,62.424,flip,-2.4187,,40,1.3073,False,False,0.8,True
1782738000,long,63.809,flip,0.1463,,44,1.2995,False,True,2.05,False
1782896400,short,64.03,flip,-1.9554,,28,1.4024,False,False,1.26,True
1782997200,long,65.154,flip,5.6937,,61,1.3535,True,True,1.34,True
1783216800,short,68.994,flip,-3.1597,,20,0.9913,True,False,1.7,False
1783288800,long,71.036,flip,-2.8944,,15,0.8591,True,True,1.85,True
1783342800,short,69.122,flip,-4.4953,,24,1.0991,True,False,1.85,False
1783429200,long,72.091,flip,-3.4445,,10,1.0449,True,True,1.51,True
1783465200,short,69.752,flip,0.8021,,59,1.2883,True,False,0.83,False
1783677600,long,69.053,flip,-2.7213,,10,0.8603,True,True,1.11,True
1783713600,short,67.312,open,-0.3946,,18,0.923,False,False,0.55,True
