time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781199300,long,57.645,flip,1.0768,,37,0.6199,True,True,1.7,True
1781210400,short,58.381,flip,-1.2483,,8,0.5676,True,True,0.64,False
1781212800,long,58.993,flip,-0.734,,49,0.4855,True,True,0.89,True
1781227500,short,58.678,flip,-1.5361,,16,0.4087,True,False,1.02,False
1781232300,long,59.462,flip,-1.4445,,27,0.4267,True,True,1.64,True
1781240400,short,58.722,flip,1.3888,,39,0.358,True,False,0.98,False
1781252100,long,57.789,flip,2.8369,,74,0.4623,False,False,1.08,False
1781274300,short,59.544,flip,-2.5562,,11,0.669,True,False,0.11,False
1781277600,long,60.947,flip,-2.0967,,9,0.7196,True,True,2.11,True
1781280300,short,59.791,flip,-2.8626,,7,0.7107,True,False,0.76,False
1781282400,long,61.383,flip,-0.547,,29,0.8287,True,True,1.06,True
1781291100,short,61.17,flip,2.3944,,89,0.5699,True,False,0.9,False
1781317800,long,59.583,flip,-1.7055,,11,0.3093,False,True,0.76,False
1781321100,short,58.686,flip,0.5872,,33,0.3609,False,False,2.01,True
1781331000,long,58.224,flip,0.0748,,45,0.3931,False,False,2.2,False
1781344500,short,58.384,flip,-0.2993,,19,0.3291,False,False,2.76,True
1781350200,long,58.442,flip,1.7643,,59,0.3058,False,True,1.22,False
1781367900,short,59.59,flip,-0.596,,27,0.4151,True,False,0.24,False
1781376000,long,59.826,flip,1.057,,85,0.3614,True,True,0.9,True
1781401500,short,60.578,flip,-1.1607,,11,0.275,True,True,0.62,False
1781404800,long,61.16,flip,-1.0339,,9,0.2906,True,True,1.23,True
1781407500,short,60.65,flip,0.1726,,48,0.286,True,False,1.35,False
1781421900,long,60.424,flip,0.3627,,45,0.2806,True,True,1.57,True
1781435400,short,60.764,flip,0.0403,,97,0.3662,True,True,2.11,False
1781464500,long,60.618,flip,6.7121,,114,0.3108,True,True,1.01,True
1781498700,short,64.808,flip,-0.8049,,27,0.3679,True,True,0.74,False
1781506800,long,65.2,flip,2.8782,,81,0.3322,True,True,1.77,True
1781531100,short,67.207,flip,-1.3413,,16,0.4902,True,False,1.49,False
1781535900,long,67.974,flip,-1.2651,,57,0.4972,True,True,1.01,True
1781553000,short,67.25,flip,-1.5368,,25,0.3964,True,False,1.65,False
1781560500,long,68.149,flip,-2.6373,,13,0.335,True,True,2.6,True
1781564400,short,66.488,flip,-1.0829,,15,0.4371,False,False,0.88,True
1781568900,long,67.075,flip,10.9606,,169,0.4064,True,False,0.92,True
1781619600,short,74.561,flip,-0.318,,46,0.8348,True,False,0.89,False
1781633400,long,74.649,flip,-1.9951,,6,0.6902,True,True,0.83,True
1781635200,short,73.309,flip,-0.2464,,31,0.6292,True,False,0.93,False
1781644500,long,73.343,flip,-0.5259,,19,0.4639,True,True,1.15,True
1781650200,short,73.104,flip,-1.0317,,17,0.4023,True,False,0.58,False
1781655300,long,73.712,flip,-1.4617,,9,0.3909,True,True,0.93,True
1781658000,short,72.782,flip,-1.9298,,9,0.4099,False,False,1.93,True
1781660700,long,74.041,flip,-0.6781,,42,0.4879,True,True,2.12,True
1781673300,short,73.687,flip,2.3758,,101,0.4611,True,False,1.09,False
1781703600,long,71.789,flip,2.9244,,50,0.5106,False,True,1.0,False
1781718600,short,74.032,flip,2.4421,,78,0.7356,True,False,1.65,False
1781742000,long,72.076,flip,0.0442,,19,0.467,False,True,1.15,False
1781747700,short,72.252,flip,2.3314,,55,0.5205,False,False,1.45,True
1781764200,long,70.423,flip,1.1518,,44,0.5893,False,True,1.4,False
1781777400,short,71.375,flip,-0.6806,,34,0.4814,False,False,0.98,True
1781787600,long,71.718,flip,-1.8732,,8,0.4764,True,True,0.75,True
1781790000,short,70.518,flip,3.3055,,58,0.5588,False,False,1.5,True
1781807400,long,68.046,flip,-0.1221,,34,0.6235,False,True,1.16,False
