time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781220600,short,9.2861,flip,10.2414,,102,2.9587,True,False,2.81,False
1781251200,long,8.3165,flip,-5.6181,,2,2.8536,False,True,0.34,False
1781251800,short,7.8659,flip,-4.8276,,6,3.1638,False,False,1.04,True
1781253600,long,8.2299,flip,10.9751,,124,3.0247,False,True,0.87,False
1781290800,short,9.1496,flip,15.4422,,85,5.7924,False,False,0.66,True
1781316300,long,7.7184,flip,7.825,,117,3.4437,False,True,0.49,False
1781351400,short,8.3378,flip,10.5235,,118,3.2738,False,False,1.4,True
1781386800,long,7.4437,flip,-1.1404,,50,1.9821,False,True,1.17,False
1781401800,short,7.3737,flip,25.4683,,243,2.3994,False,False,0.74,True
1781474700,long,5.481,flip,-5.8741,,32,2.3739,False,True,1.22,False
1781484300,short,5.17,flip,-7.0008,,9,2.099,False,False,1.83,True
1781487000,long,5.5216,flip,-2.9438,,65,1.9701,False,True,0.76,False
1781506500,short,5.3701,flip,22.5668,,142,1.7621,False,False,0.85,True
1781549100,long,4.1475,flip,-6.0927,,15,2.5221,False,True,1.39,False
1781553600,short,3.9031,flip,-3.6921,,8,2.3426,False,False,0.64,True
1781556000,long,4.0394,flip,-2.5023,,19,2.1152,False,True,0.74,False
1781561700,short,3.9464,flip,-4.7915,,25,1.7261,False,False,0.94,True
1781569200,long,4.1276,flip,-3.398,,43,1.3605,False,True,1.23,False
1781582100,short,3.9956,flip,33.4896,,211,2.073,False,False,0.37,True
1781645400,long,2.6495,flip,-3.812,,6,2.2668,False,True,0.38,False
1781647200,short,2.5538,flip,-13.5761,,52,2.2098,False,False,0.51,True
1781662800,long,2.8954,flip,-21.0054,,38,3.2862,True,True,4.73,True
1781674200,short,2.293,flip,15.561,,116,4.563,False,False,1.72,True
1781709000,long,1.9316,flip,-7.4893,,12,2.7472,False,True,0.73,False
1781712600,short,1.7908,flip,0.766,,76,2.5762,False,False,0.7,True
1781735400,long,1.7735,flip,-0.7526,,54,1.8319,False,True,2.19,False
1781751600,short,1.7637,flip,-7.1626,,9,2.3991,False,False,0.32,True
1781754300,long,1.8865,flip,-10.685,,22,2.1527,True,True,2.8,True
1781760900,short,1.6887,flip,3.4122,,94,3.193,False,False,0.56,True
1781789100,long,1.6277,flip,5.6979,,100,2.3628,False,True,0.95,False
1781819100,short,1.7237,flip,-3.7447,,62,2.1009,False,False,0.47,True
1781837700,long,1.7848,flip,-5.3771,,58,1.6569,True,True,1.6,True
1781855100,short,1.6924,flip,-8.4309,,46,4.1273,False,False,1.02,True
1781868900,long,1.8317,flip,-1.6522,,69,3.0228,True,True,1.49,True
1781889600,short,1.8051,flip,-4.9975,,55,3.0028,False,False,1.51,True
1781906100,long,1.8917,flip,-4.9576,,21,1.6307,True,True,3.06,True
1781912400,short,1.8017,flip,-5.4284,,8,1.3703,False,False,0.8,True
1781914800,long,1.8959,flip,-2.5208,,87,1.4368,True,True,1.08,True
1781940900,short,1.8519,flip,1.2742,,107,1.9316,False,False,1.93,True
1781973000,long,1.8246,flip,-2.2498,,61,1.4614,False,True,1.53,False
1781991300,short,1.7872,flip,-1.0617,,62,1.236,False,False,0.69,True
1782009900,long,1.8026,flip,-4.7656,,16,1.1763,True,True,1.28,True
1782014700,short,1.7203,flip,-2.8391,,5,1.0997,False,False,3.34,True
1782016200,long,1.7657,flip,-1.2024,,1,1.1721,False,True,0.46,False
1782016500,short,1.748,flip,-1.819,,33,1.1984,False,False,0.53,True
1782026400,long,1.7763,flip,-2.8516,,14,1.1282,False,True,0.65,False
1782030600,short,1.7292,flip,-0.7378,,51,1.1235,False,False,0.87,True
1782045900,long,1.7385,flip,-0.5336,,46,0.9176,False,True,1.07,False
1782059700,short,1.7327,flip,-5.0133,,13,1.3229,False,False,1.04,True
1782063600,long,1.8161,flip,-3.0357,,65,1.2677,True,True,1.9,True
1782083100,short,1.7646,flip,-1.6168,,25,0.8318,False,False,1.25,True
1782090600,long,1.7896,flip,-0.6526,,2,0.8911,True,True,0.89,True
1782091200,short,1.7815,flip,-1.1543,,1,0.8756,True,False,1.02,False
1782091500,long,1.7985,flip,-1.7402,,6,0.9058,True,True,0.5,True
1782093300,short,1.7708,flip,-0.6235,,40,0.8786,False,False,2.98,True
1782105300,long,1.7783,flip,-1.2066,,61,0.7622,True,True,0.73,True
1782123600,short,1.7604,flip,1.5439,,92,0.8972,False,False,1.18,True
1782151200,long,1.7297,flip,-1.8246,,9,0.7552,False,True,1.13,False
1782153900,short,1.7016,flip,1.8451,,56,0.7156,False,False,1.69,True
1782170700,long,1.6668,flip,0.4359,,93,0.9008,False,True,0.34,False
1782198600,short,1.6774,flip,-2.6323,,23,0.8027,False,False,1.27,True
1782205500,long,1.7182,flip,-1.2592,,6,0.9053,True,True,1.27,True
1782207300,short,1.7,flip,-1.4294,,8,0.8469,True,False,0.81,False
1782209700,long,1.7209,flip,28.0004,,203,0.7507,True,True,0.76,True
1782270600,short,2.2062,flip,-4.2296,,20,2.4418,True,False,1.47,False
1782276600,long,2.2951,flip,-0.8536,,48,1.6894,True,True,1.77,True
1782291000,short,2.2801,flip,24.0796,,136,3.2134,True,False,1.11,False
1782331800,long,1.7265,flip,-1.9145,,21,1.5684,False,True,1.03,False
1782338100,short,1.6969,flip,-2.8283,,4,1.4212,False,False,0.63,True
1782339300,long,1.7415,flip,-2.8988,,19,1.3537,False,True,1.4,False
1782345000,short,1.6945,flip,-7.683,,17,1.0665,False,False,0.79,True
1782350100,long,1.8213,flip,-11.1976,,39,1.632,True,True,2.23,True
1782361800,short,1.621,flip,-10.0334,,17,2.292,False,False,1.65,True
1782366900,long,1.7804,flip,-1.6547,,37,1.8147,False,True,0.86,False
1782378000,short,1.7545,flip,-3.312,,10,2.7855,False,False,0.52,True
1782381000,long,1.8091,flip,6.7703,,109,2.0541,True,True,0.68,True
1782413700,short,1.9352,flip,-4.0962,,38,2.8699,True,False,0.51,False
1782425100,long,2.0106,flip,13.6118,,173,1.7123,True,True,0.79,True
1782477000,short,2.2883,flip,-7.0566,,39,1.5632,True,False,5.99,False
1782488700,long,2.4452,flip,-6.5021,,26,2.4345,True,True,2.04,True
1782496500,short,2.2911,flip,-7.1617,,13,2.1788,False,False,0.57,True
1782500400,long,2.4506,flip,2.734,,119,1.835,True,True,0.7,True
1782536100,short,2.5225,flip,3.9824,,72,1.1664,True,False,1.08,False
1782557700,long,2.417,flip,0.8261,,70,2.7377,True,True,1.49,True
1782578700,short,2.4418,flip,-0.073,,58,1.9398,False,False,0.83,True
1782596100,long,2.4387,flip,6.2994,,97,1.3613,True,True,2.23,True
1782625200,short,2.5972,flip,-3.0415,,4,1.4523,True,False,0.71,False
1782626400,long,2.671,flip,-2.0532,,3,1.3794,True,True,0.78,True
1782627300,short,2.6215,flip,-2.1531,,4,1.358,True,False,0.33,False
1782628500,long,2.6727,flip,-0.2486,,38,1.309,True,True,0.78,True
1782639900,short,2.6714,flip,5.8717,,126,2.4951,True,False,1.89,False
1782677700,long,2.5092,flip,5.3077,,98,0.8387,False,True,0.84,False
1782707100,short,2.6474,flip,-0.9479,,56,1.2007,True,False,1.1,False
1782723900,long,2.6672,flip,-2.5995,,21,1.3593,True,True,1.16,True
1782730200,short,2.6032,flip,-3.1348,,6,1.3702,False,False,0.81,True
1782732000,long,2.6796,flip,1.3711,,77,1.3171,True,True,1.96,True
1782755100,short,2.7217,flip,-1.5631,,45,1.2912,True,False,0.23,False
1782768600,long,2.7588,flip,-0.4392,,61,0.8272,True,True,1.97,True
1782786900,short,2.7522,flip,-1.875,,7,1.0348,True,False,1.18,False
1782789000,long,2.7983,flip,-0.6288,,40,0.9473,True,True,0.83,True
1782801000,short,2.7863,flip,-1.4418,,27,0.8492,True,False,0.94,False
1782809100,long,2.8209,flip,-1.4159,,57,0.7577,True,True,1.7,True
1782826200,short,2.7866,flip,-0.7849,,62,0.7738,True,False,1.62,False
1782844800,long,2.8029,flip,0.485,,142,0.9103,True,True,5.54,True
1782887400,short,2.8221,flip,6.5326,,95,4.2922,False,False,1.94,True
1782915900,long,2.6321,flip,5.3203,,121,2.2906,False,True,1.13,False
1782952200,short,2.7774,flip,-2.4143,,54,1.2359,False,False,1.23,True
1782968400,long,2.8389,flip,-1.0665,,48,1.7384,True,True,0.46,True
1782982800,short,2.8143,flip,-1.0777,,14,1.2631,True,False,0.43,False
1782987000,long,2.839,flip,-1.7217,,24,1.0038,True,True,0.26,True
1782994200,short,2.7958,flip,-2.9327,,5,1.1903,False,False,1.76,True
1782995700,long,2.8722,flip,7.9157,,185,1.19,True,True,1.35,True
1783051200,short,3.1053,flip,9.3321,,185,0.9935,True,False,1.07,False
1783106700,long,2.8093,flip,-2.6988,,32,0.9058,False,True,2.27,False
1783116300,short,2.7391,flip,-0.6125,,63,0.8769,False,False,0.73,True
1783135200,long,2.7504,flip,8.6133,,164,1.1347,False,True,0.67,False
1783184400,short,2.9928,flip,4.7987,,168,1.181,True,False,0.42,False
1783234800,long,2.8432,flip,-1.8284,,109,1.0996,True,True,1.14,True
1783267500,short,2.7969,flip,0.2541,,55,0.9048,False,False,0.98,True
1783284000,long,2.7842,flip,-0.8932,,45,0.6841,False,True,1.14,False
1783297500,short,2.7649,flip,9.2253,,214,0.7579,False,False,0.6,True
1783361700,long,2.5043,flip,2.5113,,128,1.2053,False,True,1.97,False
