time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781248500,short,62982.5,flip,-1.4426,,9,0.2609,True,False,1.29,False
1781256600,long,63765.1,flip,-0.6604,,50,0.2764,True,True,0.97,True
1781301600,short,63471.5,flip,-0.7603,,16,0.2572,True,False,0.47,False
1781316000,long,63827.1,flip,-0.662,,8,0.184,True,True,1.94,True
1781323200,short,63532.2,flip,-0.5209,,12,0.1714,True,False,0.41,False
1781334000,long,63736.1,flip,0.4613,,126,0.1411,True,True,0.9,True
1781447400,short,64157.6,flip,-2.0045,,30,0.1555,True,False,1.3,False
1781474400,long,65315.3,flip,1.2263,,108,0.3314,True,True,5.04,True
1781571600,short,66246.9,flip,-0.6581,,30,0.254,True,False,0.94,False
1781598600,long,66550.4,flip,-0.9494,,22,0.2406,True,True,0.65,True
1781618400,short,66051.7,flip,-0.5093,,106,0.3028,True,False,2.16,False
1781713800,long,66256.0,flip,-3.3322,,13,0.3941,True,True,0.68,True
1781725500,short,64180.7,flip,1.1904,,171,0.695,False,False,2.21,True
1781879400,long,63288.3,flip,0.9931,,189,0.3234,False,True,0.44,False
1782049500,short,64043.4,flip,-0.4681,,9,0.1887,True,False,0.33,False
1782057600,long,64215.1,flip,-0.3163,,1,0.1823,True,True,0.57,True
1782058500,short,64140.4,flip,-0.2956,,15,0.1844,True,False,0.43,False
1782072000,long,64201.7,flip,-0.2665,,1,0.1635,True,True,0.57,True
1782072900,short,64159.0,flip,-0.8122,,24,0.1677,True,False,0.69,False
1782094500,long,64551.8,flip,-0.3826,,75,0.3942,True,True,1.13,True
1782162000,short,64433.9,flip,2.0918,,111,0.2704,True,False,0.48,False
1782261900,long,62957.2,flip,-0.8504,,39,0.242,False,True,2.03,False
1782297000,short,62547.7,flip,1.2554,,75,0.1877,False,False,0.64,True
1782364500,long,61637.4,flip,-2.7253,,34,0.3403,False,True,3.47,False
1782395100,short,60080.9,flip,-0.699,,68,0.461,False,False,3.46,True
1782456300,long,60380.7,flip,-1.6953,,18,0.5183,False,True,0.99,False
1782472500,short,59477.8,flip,-1.6268,,19,0.4342,False,False,1.12,True
1782489600,long,60326.4,flip,-1.2191,,20,0.7044,False,True,1.05,False
1782507600,short,59711.6,flip,-0.7193,,3,0.4492,False,False,0.67,True
1782510300,long,60021.7,flip,0.202,,92,0.4109,False,True,0.43,False
1782593100,short,60263.0,flip,-0.388,,52,0.2007,False,False,0.42,True
1782639900,long,60376.3,flip,-0.6066,,4,0.2053,True,True,0.62,True
1782643500,short,60130.8,flip,-0.4801,,4,0.2085,False,False,1.21,True
1782647100,long,60299.2,flip,-0.5783,,9,0.2081,True,True,1.07,True
1782655200,short,60071.1,flip,0.0324,,57,0.2268,False,False,1.64,True
1782706500,long,59931.5,flip,-1.6143,,40,0.4914,False,True,0.47,False
1782742500,short,59083.9,flip,-2.6648,,13,0.5903,False,False,1.96,True
1782754200,long,60540.2,flip,-1.3673,,33,0.5505,True,True,1.33,True
1782783900,short,59833.5,flip,1.315,,103,0.2928,False,False,1.4,True
1782876600,long,58927.0,flip,-0.7133,,20,0.3793,False,True,0.54,False
1782894600,short,58624.5,flip,-0.766,,3,0.3127,False,False,0.47,True
1782897300,long,58956.3,flip,-0.5567,,5,0.334,False,True,1.4,False
1782901800,short,58746.0,flip,-2.28,,15,0.3031,False,False,0.55,True
1782915300,long,59967.9,flip,4.2584,,338,0.4348,True,True,2.12,True
1783219500,short,62641.5,flip,-0.6497,,75,0.2111,True,False,0.89,False
1783287000,long,62923.2,flip,-0.1433,,39,0.1595,True,True,2.37,True
1783322100,short,62958.9,flip,-1.4237,,39,0.242,True,False,1.02,False
1783357200,long,63729.3,flip,-0.9296,,46,0.526,True,True,0.43,True
1783398600,short,63264.3,flip,-0.5324,,34,0.2838,True,False,0.48,False
1783429200,long,63474.6,flip,-0.4221,,1,0.2669,True,True,0.9,True
1783430100,short,63333.6,flip,-1.0057,,10,0.2726,True,False,1.26,False
1783439100,long,63843.9,flip,-0.9445,,33,0.4336,True,True,1.54,True
1783468800,short,63368.6,flip,-0.6119,,5,0.2981,True,False,0.46,False
1783473300,long,63629.6,flip,-0.5186,,1,0.2984,True,True,1.63,True
1783474200,short,63426.9,flip,1.435,,96,0.3018,True,False,0.97,False
1783560600,long,62389.9,flip,-0.6477,,1,0.2771,False,True,2.37,False
1783561500,short,62110.6,flip,-0.6316,,16,0.2995,False,False,1.65,True
1783575900,long,62378.7,flip,2.2749,,147,0.3003,False,True,0.63,False
1783708200,short,63922.5,flip,-0.503,,19,0.2822,True,False,0.32,False
1783725300,long,64116.2,open,-0.2203,,65,0.1918,True,True,0.71,True
