time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781248500,short,57.274,sl,-3.2,-1.067,9,0.7618,False,False,1.05,True
1781257500,long,59.216,tp,1.8,0.6,10,0.7873,True,True,1.09,True
1781310600,short,59.012,tp,1.8,0.6,18,0.8119,True,False,1.82,False
1781360100,long,59.663,tp,1.8,0.6,37,0.6275,True,True,1.19,True
1781424900,short,59.911,sl,-3.2,-1.067,52,0.5506,True,False,2.5,False
1781471700,long,60.635,tp,1.8,0.6,1,0.5438,True,True,0.9,True
1781684100,short,73.037,tp,1.8,0.6,11,0.8033,True,False,1.45,False
1781713800,long,76.405,sl,-3.2,-1.067,4,1.0503,True,True,0.73,True
1781729100,short,71.777,tp,1.8,0.6,5,1.4977,True,False,0.66,False
1781780400,long,72.214,sl,-3.2,-1.067,13,0.9554,True,True,0.96,True
1781876700,long,68.931,tp,1.8,0.6,9,0.9485,False,True,1.09,False
1781924400,short,68.536,sl,-3.2,-1.067,12,0.6934,False,False,0.62,True
1781977500,short,69.449,tp,1.8,0.6,57,0.7496,False,False,0.95,True
1782126900,long,67.723,tp,1.8,0.6,8,0.5754,False,True,0.88,False
1782161100,short,67.263,tp,1.8,0.6,8,0.8334,False,False,0.29,True
1782303300,long,62.462,sl,-3.2,-1.067,5,0.7016,False,True,1.22,False
1782336600,long,62.896,tp,1.8,0.6,7,0.9818,False,True,0.7,False
1782395100,short,61.44,tp,1.8,0.6,1,0.7974,False,False,2.56,True
1782416700,long,62.9,tp,1.8,0.6,1,1.2225,False,True,0.53,False
1782442800,short,61.657,sl,-3.2,-1.067,3,1.0596,False,False,0.9,True
1782448200,long,63.53,tp,1.8,0.6,13,1.0905,True,True,0.28,True
1782470700,short,62.194,sl,-3.2,-1.067,13,0.9364,False,False,0.62,True
1782486900,long,64.191,sl,-3.2,-1.067,114,1.0987,True,True,0.93,True
1782638100,long,62.945,sl,-3.2,-1.067,50,0.5294,False,True,2.43,False
1782705600,long,62.707,tp,1.8,0.6,32,0.715,True,True,0.53,True
1782807300,short,65.268,tp,1.8,0.6,67,0.5549,True,False,1.97,False
1782877500,long,65.398,sl,-3.2,-1.067,18,0.7069,True,True,0.94,True
1782926100,long,64.142,sl,-3.2,-1.067,13,0.7772,False,True,1.33,False
1782984600,long,63.83,tp,1.8,0.6,9,0.5706,False,True,0.31,False
1783176300,short,70.715,tp,1.8,0.6,39,0.4215,True,False,0.55,False
1783260900,long,69.133,tp,1.8,0.6,25,0.3924,False,True,0.85,False
1783328400,short,70.306,tp,1.8,0.6,16,0.4967,True,False,0.63,False
1783358100,long,71.33,tp,1.8,0.6,88,0.6211,True,True,0.71,True
1783452600,short,69.915,tp,1.8,0.6,24,0.7732,False,False,1.18,True
1783576800,long,68.006,open,-1.6161,-0.539,230,0.4749,False,True,1.97,False
