time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781218800,long,58.555,flip,15.1155,,161,1.9286,False,True,0.77,False
1781798400,short,67.523,flip,-4.5867,,39,2.3916,True,False,1.89,False
1781938800,long,70.485,flip,-4.0859,,26,1.585,True,True,0.52,True
1782032400,short,67.746,flip,6.3834,,113,1.2515,False,False,1.17,True
1782439200,long,63.286,flip,-2.774,,1,2.1768,False,True,1.01,False
1782442800,short,61.657,flip,-5.7128,,5,2.2892,False,False,1.14,True
1782460800,long,65.056,flip,-4.7499,,4,2.2584,False,True,0.99,False
1782475200,short,62.096,flip,-4.693,,4,2.2002,False,False,0.82,True
1782489600,long,64.886,flip,-3.9943,,29,2.2175,False,True,0.98,False
1782594000,short,62.424,flip,-2.5661,,41,1.3073,False,False,0.8,True
1782741600,long,63.901,flip,-2.0184,,46,1.4029,False,True,2.32,False
1782907200,short,62.739,flip,-4.7522,,27,1.432,False,False,0.91,True
1783004400,long,65.595,flip,5.7181,,130,1.432,True,True,1.59,True
1783472400,short,69.477,flip,1.3487,,60,1.2501,True,False,0.87,False
1783688400,long,68.401,flip,-1.7424,,2,0.8584,True,True,1.42,True
1783695600,short,67.346,open,-0.344,,23,0.9564,False,False,1.81,True
