time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781254800,long,4241.39990234375,flip,1.0339,,82,0.6721,False,True,1.01,False
1781737200,short,4285.7001953125,flip,4.1802,,138,0.6274,False,False,0.0,True
1782489600,long,4106.10009765625,flip,-1.6232,,22,0.5273,False,True,1.6,False
1782745200,short,4039.89990234375,flip,-1.3874,,47,0.5018,False,False,3.68,True
1782921600,long,4095.5,flip,0.3064,,82,0.5742,False,True,1.34,False
1783468800,short,4108.5,flip,-0.7241,,40,0.4482,False,False,0.6,True
1783616400,long,4137.7998046875,flip,-0.8785,,21,0.4094,True,True,1.19,True
1783695600,short,4101.89990234375,flip,-0.5107,,1,0.3832,False,False,3.76,True
1783699200,long,4122.39990234375,flip,-0.3166,,2,0.3932,True,True,1.53,True
1783706400,short,4109.7998046875,open,-0.1059,,2,0.3697,False,False,1.47,True
