sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
334,1781312400,Bear Pennant,short,7.0102,7.8105,8.578784375,0.7358625000000005,6,1,-11.4162,False,41.77,False,tp,1.8,0.6,0
335,1781316000,Bear Flag,short,7.0102,7.8459,8.578784375,0.7358625000000005,6,2,-11.9212,False,41.73,False,sl,-3.2,-1.067,0
380,1781478000,Bull Pennant,long,5.5962,5.4952,4.080949999999999,11.657200000000003,6,1,-1.8048,False,59.74,False,sl,-3.2,-1.067,0
411,1781589600,Bull Pennant,long,4.1648,3.5959,2.707757954545454,9.992968181818181,6,4,-13.6597,False,54.04,False,tp,1.8,0.6,0
434,1781672400,Bull Pennant,long,2.7711,2.2048,0.959482142857143,10.01757142857143,7,1,-20.4359,False,52.58,True,sl,-3.2,-1.067,0
454,1781744400,Bull Pennant,long,1.8632,1.7988,-0.11431666666666662,9.773266666666666,7,1,-3.4564,False,54.85,True,sl,-3.2,-1.067,1
467,1781791200,Bull Flag,long,1.5144,1.7203,0.7875613636363636,4.4217545454545455,7,1,13.5961,False,47.82,True,tp,1.8,0.6,0
546,1782075600,Bull Pennant,long,1.7326,1.808,1.6299303571428572,2.143278571428571,7,8,4.3518,False,60.52,True,sl,-3.2,-1.067,0
569,1782158400,Descending Triangle,short,1.6769,1.6094,1.7352774509803923,1.4433901960784312,9,1,4.0253,True,39.23,True,tp,1.8,0.6,0
701,1782633600,Ascending Triangle,long,2.7171,2.7992,2.4105816315205324,3.943173473917869,9,1,3.0216,True,44.71,True,sl,-3.2,-1.067,0
733,1782748800,Sym Triangle,long,2.811,2.7888,2.584798684210526,3.715805263157895,8,1,-0.7898,True,47.67,False,sl,-3.2,-1.067,0
761,1782849600,Sym Triangle,long,2.8297,2.9267,2.6707,3.4657,9,1,3.4279,True,50.46,True,sl,-3.2,-1.067,0
779,1782914400,Bear Pennant,short,2.9575,2.6209,3.36838984375,1.3139406249999999,9,6,11.3812,True,38.82,True,sl,-3.2,-1.067,0
795,1782972000,Bull Pennant,long,2.707,2.8453,2.36325,4.082000000000001,8,2,5.109,True,56.9,False,sl,-3.2,-1.067,1
802,1782997200,Inv Head & Shoulders,long,2.707,2.8571,2.4496249999999997,3.7365,8,9,5.5449,True,59.97,False,tp,1.8,0.6,0
823,1783072800,Bear Pennant,short,3.0226,2.8028,3.25579,2.0898400000000006,7,4,7.2719,False,45.45,True,tp,1.8,0.6,0
890,1783314000,Sym Triangle,short,2.7633,2.6764,2.920184829059829,2.135760683760684,8,1,3.1448,True,51.17,False,tp,1.8,0.6,0
893,1783324800,Inv Cup & Handle,short,2.6148,2.4759,2.685261111111111,2.3329555555555554,9,1,5.3121,True,31.51,True,sl,-3.2,-1.067,1
985,1783656000,Sym Triangle,long,2.2413,2.2624,2.0535555533279872,2.9922777866880512,6,1,0.9414,False,46.34,False,sl,-3.2,-1.067,0
