sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
305,1781194500,Cup & Handle,long,9.4383,9.8015,8.952205263157895,11.38267894736842,9,2,3.8482,True,35.86,True,sl,-3.2,-1.067,8
391,1781220300,Bear Pennant,short,9.816,9.2861,10.31391569767442,7.8243372093023265,7,1,5.3983,False,29.33,True,sl,-3.2,-1.067,0
395,1781221500,Double Top,short,9.816,8.5625,10.105562500000001,8.65775,7,5,12.77,False,30.48,True,sl,-3.2,-1.067,1
451,1781238300,Double Top,short,8.6442,8.0171,8.7883125,8.067749999999998,7,1,7.2546,False,34.49,True,tp,3.8,1.267,1
472,1781244600,Inv Cup & Handle,short,8.0171,7.2309,8.220884374999999,8.832237499999996,7,20,9.8065,False,49.12,True,tp,3.8,1.267,2
476,1781245800,Inv Cup & Handle,short,8.0269,7.2605,8.255138541666666,8.939854166666663,6,20,9.5479,False,61.91,False,sl,-3.2,-1.067,1
482,1781247600,Double Top,short,7.7092,8.5638,7.798837499999999,8.067749999999998,7,20,-11.0855,False,34.11,True,tp,3.8,1.267,1
510,1781256000,Sym Triangle,long,8.5995,8.7105,7.629759727272729,12.47846109090909,7,1,1.2908,False,38.69,True,sl,-3.2,-1.067,3
524,1781260200,Bear Pennant,short,8.5582,8.3885,9.03326590909091,6.657936363636362,6,1,1.9829,False,60.62,False,sl,-3.2,-1.067,5
567,1781273100,Bull Pennant,long,8.4963,9.1214,8.208410294117648,9.64785882352941,6,1,7.3573,False,35.65,False,tp,3.8,1.267,2
588,1781279400,Bull Pennant,long,9.1214,10.3686,8.70702205882353,10.77891176470588,9,20,13.6733,True,49.39,True,tp,3.8,1.267,11
716,1781317800,Bull Flag,long,7.693,7.9299,6.408460204081633,12.831159183673467,6,1,3.0794,False,54.06,False,tp,3.8,1.267,15
781,1781337300,Bear Pennant,short,8.9019,8.8214,9.580157692307692,6.188869230769231,7,1,0.9043,False,57.23,True,sl,-3.2,-1.067,0
823,1781349900,Bear Pennant,short,9.3378,8.6822,9.696151562499999,7.904393749999999,7,1,7.0209,False,42.34,True,tp,3.8,1.267,0
831,1781352300,Double Top,short,9.3378,8.3883,9.4641,8.8326,7,9,10.1683,False,48.69,True,sl,-3.2,-1.067,3
934,1781383200,Bull Pennant,long,7.3191,7.481,7.049210185185185,8.398659259259258,6,1,2.212,False,54.49,False,tp,3.8,1.267,34
973,1781394900,Double Bottom,long,7.4828,7.739,7.3737,7.9192,7,6,3.4239,False,47.74,True,tp,3.8,1.267,1
991,1781400300,Ascending Triangle,long,7.8247,7.4601,7.774061764705882,8.02725294117647,6,20,-4.6596,False,38.3,False,sl,-3.2,-1.067,4
998,1781402400,Bull Flag,long,8.0542,7.3948,7.93502794117647,8.53088823529412,7,20,-8.187,False,39.21,True,sl,-3.2,-1.067,15
1147,1781447100,Bull Pennant,long,5.4624,5.5434,4.93958423076923,7.553663076923078,7,1,1.4829,False,60.14,True,tp,3.8,1.267,8
1157,1781450100,Double Bottom,long,5.6218,5.7967,5.4845500000000005,6.170800000000002,6,1,3.1111,False,44.2,False,sl,-3.2,-1.067,3
1179,1781456700,Bear Pennant,short,5.4492,5.5154,5.600468181818182,4.844127272727273,8,1,-1.2149,True,53.06,False,tp,3.8,1.267,5
1215,1781467500,Descending Triangle,short,5.268,5.1172,5.466455882352941,4.474176470588235,9,1,2.8626,True,45.28,True,sl,-3.2,-1.067,13
1260,1781481000,Bear Pennant,short,5.4743,5.4552,5.629280769230769,4.854376923076923,8,1,0.3489,True,55.8,False,sl,-3.2,-1.067,2
1273,1781484900,Double Top,short,5.17,5.3038,5.2605249999999995,4.8079,8,2,-2.588,True,41.6,False,sl,-3.2,-1.067,1
1309,1781495700,Bear Pennant,short,5.4293,5.4188,5.571535,4.860359999999999,9,1,0.1934,True,58.23,True,sl,-3.2,-1.067,6
1413,1781526900,Bull Flag,long,4.2086,4.1044,3.7694780219780215,5.9650879120879114,7,8,-2.4759,False,50.51,True,tp,3.8,1.267,3
1440,1781535000,Double Top,short,4.0262,3.965,4.1399375,3.571250000000001,9,1,1.52,True,53.84,True,sl,-3.2,-1.067,3
1485,1781548500,Bull Flag,long,4.0794,4.1706,3.8591279999999992,4.960488000000001,7,1,2.2356,False,43.55,True,sl,-3.2,-1.067,5
1528,1781561400,Triple Top,short,3.9735,3.9464,4.108426315789473,3.4337947368421053,9,1,0.682,True,42.73,True,sl,-3.2,-1.067,22
1556,1781569800,Sym Triangle,long,4.0592,4.0734,3.942091755793226,4.527632976827094,6,1,0.3498,False,45.12,False,tp,3.8,1.267,22
1582,1781577600,Ascending Triangle,long,4.1859,4.3026,4.067210227272728,4.660659090909091,7,1,2.7879,False,42.43,True,sl,-3.2,-1.067,2
1591,1781580300,Bear Pennant,short,4.1427,4.1312,4.254576136363636,3.6951954545454546,8,4,0.2776,True,53.36,False,tp,3.8,1.267,1
1840,1781655000,Bull Pennant,long,2.4765,2.5615,2.2852889705882355,3.241344117647059,7,1,3.4323,False,48.78,True,sl,-3.2,-1.067,3
1848,1781657400,Inv Head & Shoulders,long,2.4765,2.4557,2.3504264705882356,2.9807941176470587,7,9,-0.8399,False,56.83,True,sl,-3.2,-1.067,2
1851,1781658300,Descending Triangle,short,2.4441,2.3633,2.534161446886447,2.0838542124542125,9,1,3.3059,True,37.38,True,sl,-3.2,-1.067,2
1864,1781662200,Inv Cup & Handle,short,2.4077,2.7108,2.4645151785714288,2.1804392857142854,9,13,-12.5888,True,32.23,True,sl,-3.2,-1.067,0
1871,1781664300,Bull Pennant,long,2.4881,2.7305,2.286569871794872,3.2942205128205124,7,8,9.7424,False,35.99,True,sl,-3.2,-1.067,0
1968,1781693400,Bull Pennant,long,1.942,1.8606,1.6712235294117646,3.0251058823529413,6,4,-4.1916,False,58.38,False,sl,-3.2,-1.067,5
1998,1781702400,Inv Cup & Handle,short,1.7413,1.6907,1.814095,1.4501199999999999,9,7,2.9059,True,39.34,True,sl,-3.2,-1.067,0
2008,1781705400,Bull Flag,long,1.7583,1.8387,1.676205,2.0866800000000003,6,4,4.5726,False,39.77,False,sl,-3.2,-1.067,0
2063,1781721900,Head & Shoulders,short,1.6951,1.6615,1.7708976063829789,1.391909574468085,9,1,1.9822,True,37.3,True,tp,3.8,1.267,7
2100,1781733000,Bull Flag,long,1.6507,1.6798,1.5530338235294119,2.0413647058823527,6,1,1.7629,False,49.07,False,tp,3.8,1.267,5
2126,1781740800,Bull Pennant,long,1.8037,1.8894,1.7172098214285716,2.149660714285714,6,1,4.7513,False,43.66,False,tp,3.8,1.267,3
2158,1781750400,Bear Pennant,short,1.7831,1.7704,1.9025821428571428,1.3051714285714286,8,1,0.7122,True,43.75,False,sl,-3.2,-1.067,10
2194,1781761200,Double Top,short,1.6887,1.678,1.7577250000000002,1.4125999999999999,8,1,0.6336,True,24.71,False,sl,-3.2,-1.067,7
2222,1781769600,Bull Pennant,long,1.5204,1.5114,1.3864988095238093,2.056004761904762,6,1,-0.5919,False,43.92,False,tp,3.8,1.267,10
2245,1781776500,Bull Flag,long,1.5573,1.5617,1.419590322580645,2.1081387096774193,6,3,0.2825,False,61.96,False,sl,-3.2,-1.067,20
2267,1781783100,Sym Triangle,short,1.5306,1.5144,1.5595517942583732,1.4147928229665072,8,1,1.0584,True,53.37,False,tp,3.8,1.267,11
2386,1781818800,Bear Pennant,short,1.7254,1.7237,1.8389310344827585,1.2712758620689657,6,1,0.0985,False,33.51,False,tp,3.8,1.267,16
2424,1781830200,Inv Cup & Handle,short,1.6512,1.6839,1.7216231343283583,1.3695074626865669,9,1,-1.9804,True,60.17,True,sl,-3.2,-1.067,22
2468,1781843400,Inv Head & Shoulders,long,1.7742,1.8799,1.7632125,1.81815,7,20,5.9576,False,37.56,True,tp,3.8,1.267,6
2506,1781854800,Bear Pennant,short,1.7468,1.6924,1.8666880434782607,1.2672478260869566,6,1,3.1143,False,32.42,False,tp,3.8,1.267,4
