sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
305,1781194500,Cup & Handle,long,9.4383,9.8015,8.952205263157895,11.38267894736842,9,2,3.8482,True,35.86,True,sl,-4.233,-1.05,8
391,1781220300,Bear Pennant,short,9.816,9.2861,10.31391569767442,7.8243372093023265,7,1,5.3983,False,29.33,True,tp,15.5414,3.949,60
482,1781247600,Double Top,short,7.7092,8.5638,7.798837499999999,8.067749999999998,7,20,-11.0855,False,34.11,True,tp,5.5924,3.862,1
510,1781256000,Sym Triangle,long,8.5995,8.7105,7.629759727272729,12.47846109090909,7,1,1.2908,False,38.69,True,sl,-11.0144,-1.018,139
716,1781317800,Bull Flag,long,7.693,7.9299,6.408460204081633,12.831159183673467,6,1,3.0794,False,54.06,False,sl,-15.6518,-1.013,311
1147,1781447100,Bull Pennant,long,5.4624,5.5434,4.93958423076923,7.553663076923078,7,1,1.4829,False,60.14,True,sl,-9.266,-1.022,66
1215,1781467500,Descending Triangle,short,5.268,5.1172,5.466455882352941,4.474176470588235,9,1,2.8626,True,45.28,True,sl,-3.3415,-1.064,13
1260,1781481000,Bear Pennant,short,5.4743,5.4552,5.629280769230769,4.854376923076923,8,1,0.3489,True,55.8,False,sl,-2.9534,-1.073,2
1273,1781484900,Double Top,short,5.17,5.3038,5.2605249999999995,4.8079,8,2,-2.588,True,41.6,False,sl,-2.5375,-1.086,1
1309,1781495700,Bear Pennant,short,5.4293,5.4188,5.571535,4.860359999999999,9,1,0.1934,True,58.23,True,sl,-2.7764,-1.078,6
1413,1781526900,Bull Flag,long,4.2086,4.1044,3.7694780219780215,5.9650879120879114,7,8,-2.4759,False,50.51,True,sl,-11.5335,-1.018,216
1840,1781655000,Bull Pennant,long,2.4765,2.5615,2.2852889705882355,3.241344117647059,7,1,3.4323,False,48.78,True,sl,-6.8352,-1.03,10
1851,1781658300,Descending Triangle,short,2.4441,2.3633,2.534161446886447,2.0838542124542125,9,1,3.3059,True,37.38,True,sl,-3.1561,-1.068,2
1864,1781662200,Inv Cup & Handle,short,2.4077,2.7108,2.4645151785714288,2.1804392857142854,9,13,-12.5888,True,32.23,True,sl,-5.0912,-1.041,0
1871,1781664300,Bull Pennant,long,2.4881,2.7305,2.286569871794872,3.2942205128205124,7,8,9.7424,False,35.99,True,sl,-5.3613,-1.039,26
1968,1781693400,Bull Pennant,long,1.942,1.8606,1.6712235294117646,3.0251058823529413,6,4,-4.1916,False,58.38,False,sl,-15.8469,-1.013,103
2100,1781733000,Bull Flag,long,1.6507,1.6798,1.5530338235294119,2.0413647058823527,6,1,1.7629,False,49.07,False,tp,21.3243,3.963,30
2158,1781750400,Bear Pennant,short,1.7831,1.7704,1.9025821428571428,1.3051714285714286,8,1,0.7122,True,43.75,False,sl,-6.7695,-1.03,11
2194,1781761200,Double Top,short,1.6887,1.678,1.7577250000000002,1.4125999999999999,8,1,0.6336,True,24.71,False,sl,-4.1541,-1.051,7
2222,1781769600,Bull Pennant,long,1.5204,1.5114,1.3864988095238093,2.056004761904762,6,1,-0.5919,False,43.92,False,tp,35.8331,3.978,266
2506,1781854800,Bear Pennant,short,1.7468,1.6924,1.8666880434782607,1.2672478260869566,6,1,3.1143,False,32.42,False,sl,-6.4803,-1.032,13
2549,1781867700,Sym Triangle,long,1.7909,1.8276,1.625186111111111,2.4537555555555555,7,1,2.0492,False,36.27,True,sl,-8.7653,-1.023,876
