sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
309,1781200800,Double Bottom,long,63331.3,63473.5,62986.575000000004,64710.2,9,1,0.2245,True,40.6,True,sl,-0.6871,-1.411,48
361,1781247600,Double Top,short,63298.0,62982.5,63430.375,62768.5,6,3,0.4984,False,30.65,False,sl,-0.2849,-3.354,0
397,1781280000,Double Bottom,long,63995.8,63854.2,63747.200000000004,64990.2,9,4,-0.2213,True,46.25,True,sl,-0.6448,-1.45,15
441,1781319600,Bear Pennant,short,63627.7,63659.6,63949.923275862064,62338.80689655173,7,1,-0.0501,False,50.89,True,sl,-0.7187,-1.386,37
501,1781373600,Bear Pennant,short,64061.0,64060.7,64300.475,63103.100000000006,7,5,0.0005,False,54.69,True,sl,-0.5737,-1.535,5
516,1781387100,Double Bottom,long,64253.2,64464.6,64099.925,64866.29999999999,8,1,0.329,True,30.75,False,sl,-0.3558,-2.284,27
554,1781421300,Descending Triangle,short,64287.2,64361.8,64568.25055555555,63162.9977777778,7,1,-0.116,False,49.4,True,sl,-0.6656,-1.43,12
579,1781443800,Descending Triangle,short,64357.7,64365.5,64568.55433364399,63514.28266542404,6,1,-0.0121,False,43.4,False,sl,-0.5306,-1.605,30
669,1781524800,Double Bottom,long,65940.7,66285.2,65573.1,67411.09999999999,9,3,0.5224,True,36.08,True,sl,-0.6246,-1.471,56
776,1781621100,Double Top,short,65557.0,65651.9,65905.475,64163.100000000006,7,1,-0.1448,False,33.36,True,sl,-0.7669,-1.353,2
818,1781658900,Inv Head & Shoulders,long,65671.8,65584.0,65389.83181818183,66799.6727272727,6,5,-0.1337,False,58.05,False,sl,-0.6634,-1.432,25
845,1781683200,Double Top,short,65542.9,65339.7,65740.525,64752.40000000001,7,1,0.31,False,40.45,True,tp,0.6988,3.11,11
879,1781713800,Double Bottom,long,65844.8,65968.2,65479.675,67305.29999999999,6,1,0.1874,False,36.84,False,sl,-0.7067,-1.395,5
