sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
312,1781233200,Double Bottom,long,62582.2,63523.3,62186.22499999999,64166.100000000006,9,10,1.5038,True,48.46,True,tp,1.8,0.6,65
385,1781496000,Double Bottom,long,64012.3,65644.5,63455.075000000004,66241.2,9,7,2.5498,True,36.8,True,tp,1.8,0.6,10
405,1781568000,Ascending Triangle,long,65926.4,66246.9,65766.82833333332,66564.68666666668,8,20,0.4861,True,49.06,False,sl,-3.2,-1.067,42
448,1781722800,Rectangle,short,65536.7,64306.6,65952.75,63872.5,9,11,1.877,True,49.4,True,tp,1.8,0.6,19
469,1781798400,Triple Top,short,64254.5,62688.7,64672.920454545456,62580.818181818184,8,18,2.4369,True,40.43,False,sl,-3.2,-1.067,59
529,1782014400,Ascending Triangle,long,64241.8,64287.3,62953.86998542983,69393.5200582807,8,1,0.0708,True,48.05,False,tp,1.8,0.6,32
618,1782334800,Inv Cup & Handle,short,62617.2,61104.7,64004.24166666666,57069.03333333333,9,8,2.4155,True,32.79,True,tp,1.8,0.6,15
638,1782406800,Double Top,short,61240.8,59677.7,62643.675,55629.3,9,4,2.5524,True,41.09,True,tp,1.8,0.6,8
674,1782536400,Sym Triangle,long,59943.9,60240.7,58992.53020833334,63749.37916666666,6,3,0.4951,False,59.28,False,sl,-3.2,-1.067,78
754,1782824400,Bear Flag,short,59191.4,58734.5,59828.7875,56641.850000000006,9,1,0.7719,True,32.73,True,sl,-3.2,-1.067,25
803,1783000800,Ascending Triangle,long,61542.0,61692.5,60386.62151253919,66163.51394984324,9,1,0.2445,True,39.75,True,tp,1.8,0.6,30
876,1783263600,Bear Pennant,short,62797.7,62743.2,64181.57727272728,57262.19090909087,6,1,0.0868,False,61.27,False,tp,1.8,0.6,21
908,1783378800,Double Bottom,long,63824.2,64040.3,63251.34999999999,66115.6,9,2,0.3386,True,32.16,True,sl,-3.2,-1.067,32
942,1783501200,Double Top,short,62887.4,62059.4,63386.787500000006,60889.84999999999,9,1,1.3166,True,41.31,True,sl,-3.2,-1.067,39
