sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
312,1781233200,Double Bottom,long,62582.2,63523.3,62186.22499999999,64166.100000000006,9,10,1.5038,True,48.46,True,sl,-0.453,-1.791,1
351,1781373600,Triple Top,short,64026.9,64157.4,64496.87307692308,62147.007692307685,7,1,-0.2038,False,44.09,True,sl,-0.9834,-1.255,2
364,1781420400,Bear Pennant,short,64026.9,64428.4,64587.07307692308,61786.20769230768,7,14,-0.6271,False,50.16,True,sl,-1.2252,-1.195,13
385,1781496000,Double Bottom,long,64012.3,65644.5,63455.075000000004,66241.2,9,7,2.5498,True,36.8,True,tp,0.709,3.12,6
405,1781568000,Ascending Triangle,long,65926.4,66246.9,65766.82833333332,66564.68666666668,8,20,0.4861,True,49.06,False,sl,-0.3199,-2.668,1
420,1781622000,Bear Flag,short,66051.7,65865.1,66890.60833333334,62696.066666666666,7,1,0.2825,False,53.46,True,tp,4.6114,3.834,47
469,1781798400,Triple Top,short,64254.5,62688.7,64672.920454545456,62580.818181818184,8,18,2.4369,True,40.43,False,sl,-0.243,-5.649,0
529,1782014400,Ascending Triangle,long,64241.8,64287.3,62953.86998542983,69393.5200582807,8,1,0.0708,True,48.05,False,sl,-2.1857,-1.101,49
618,1782334800,Inv Cup & Handle,short,62617.2,61104.7,64004.24166666666,57069.03333333333,9,8,2.4155,True,32.79,True,sl,-1.8511,-1.121,184
803,1783000800,Ascending Triangle,long,61542.0,61692.5,60386.62151253919,66163.51394984324,9,1,0.2445,True,39.75,True,open,4.1132,2.27,215
