sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
235,1781290800,Bear Pennant,short,1.1574074029922483,1.1574074029922483,1.1594225083078653,1.14934698172978,6,7,-0.0,False,60.03,False,sl,-0.0527,-1.22,2
306,1781722800,Bear Pennant,short,1.1552680730819702,1.1500862836837769,1.1578292030355206,1.1450235532677688,8,1,0.4485,True,18.81,False,sl,-0.053,-1.22,0
327,1781798400,Double Top,short,1.1479737758636477,1.1467890739440918,1.1502718031406405,1.1387816667556763,8,6,0.1032,True,40.92,False,sl,-0.0532,-1.22,0
399,1782234000,Double Top,short,1.1415525674819946,1.1383039951324463,1.1430011689662933,1.1357581615447998,8,9,0.2846,True,35.32,False,sl,-0.0536,-1.22,3
411,1782277200,Inv Cup & Handle,short,1.1410315036773682,1.1371389627456665,1.1457336992025375,1.1222227215766907,8,20,0.3411,True,44.83,False,sl,-0.0536,-1.22,0
412,1782280800,Double Top,short,1.1415525674819946,1.1362345218658447,1.1430011689662933,1.1357581615447998,8,20,0.4659,True,45.63,False,tp,0.0783,1.78,1
446,1782403200,Bull Pennant,long,1.1379153728485107,1.1376564502716064,1.1327358053790197,1.1586336427264745,6,1,-0.0228,False,46.43,False,sl,-0.0536,-1.22,4
462,1782460800,Bull Flag,long,1.1377859115600586,1.140380859375,1.1339216402598788,1.1532429967607771,6,1,0.2281,False,37.25,False,tp,0.078,1.78,0
466,1782475200,Inv Head & Shoulders,long,1.1377859115600586,1.143118381500244,1.1358337423631122,1.1455945883478438,8,5,0.4687,True,30.77,False,sl,-0.0534,-1.22,0
503,1782784800,Triple Top,short,1.1420739889144895,1.1406410932540894,1.1447101513544715,1.1315293391545613,6,1,0.1255,False,43.53,False,tp,0.078,1.78,1
508,1782802800,Bear Pennant,short,1.1420739889144895,1.1399909257888794,1.1446119825045264,1.1319220145543416,6,6,0.1824,False,30.83,False,tp,0.0781,1.78,0
562,1782997200,Double Bottom,long,1.1406410932540894,1.1453442573547363,1.1379578411579132,1.151374101638794,8,1,0.4123,True,29.43,False,sl,-0.0533,-1.22,0
590,1783098000,Triple Top,short,1.1440337896347046,1.144426703453064,1.1465118195329393,1.1341216700417656,6,1,-0.0343,False,55.26,False,tp,0.0778,1.78,6
674,1783576800,Bull Pennant,long,1.142987847328186,1.1445575952529907,1.1413665182060666,1.149473163816664,6,1,0.1373,False,46.33,False,sl,-0.0533,-1.22,0
704,1783684800,Triple Top,short,1.1436413526535034,1.1432491540908811,1.1453168312708537,1.1369394381841018,6,1,0.0343,False,47.06,False,tp,0.0778,1.78,1
