sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
305,1781194500,Descending Triangle,short,1.1518083810806274,1.1512778997421265,1.154708298692849,1.1402087106317418,7,3,0.0461,True,30.74,False,sl,-0.2499,-1.04,14
479,1781246700,Bull Pennant,long,1.157139539718628,1.157139539718628,1.1564826141704214,1.1597672419114542,5,1,0.0,False,38.72,False,sl,-0.0663,-1.167,8
498,1781252400,Bull Pennant,long,1.157273530960083,1.1583458185195925,1.156516671180725,1.1603009700775146,7,1,0.0927,True,31.54,False,sl,-0.0517,-1.225,7
561,1781271300,Bull Pennant,long,1.1579434871673584,1.157809495925903,1.1572150513529778,1.1608572304248814,5,1,-0.0116,False,32.1,False,sl,-0.0753,-1.144,0
691,1781488500,Bull Pennant,long,1.16130530834198,1.1602274179458618,1.1609410531818867,1.162762328982353,7,20,-0.0928,True,41.62,False,sl,-0.0641,-1.174,204
920,1781557200,Bull Pennant,long,1.159151554107666,1.1594202518463137,1.1582618218201857,1.1627104832575872,5,1,0.0232,False,30.71,False,sl,-0.0804,-1.134,85
1102,1781611800,Bear Pennant,short,1.1599582433700562,1.1599582433700562,1.1608352273140314,1.1564503075941552,5,1,-0.0,False,24.65,False,sl,-0.0851,-1.125,32
1543,1781744100,Bull Pennant,long,1.1512778997421265,1.1519410610198977,1.1481457413048357,1.1638065334912893,6,1,0.0576,False,32.6,False,sl,-0.2671,-1.037,95
1711,1781794500,Bull Flag,long,1.1481056213378906,1.1490291357040403,1.1463227727833916,1.1552370155558866,6,1,0.0804,False,30.99,False,sl,-0.1446,-1.071,11
1794,1781819400,Bull Flag,long,1.1470520496368408,1.1465259790420532,1.1462707572513158,1.1501772191789412,5,1,-0.0459,False,46.57,False,sl,-0.0892,-1.121,48
1922,1781857800,Bull Pennant,long,1.1463946104049685,1.1462632417678833,1.1451225053180352,1.1514830307527022,5,1,-0.0115,False,38.59,False,sl,-0.1234,-1.084,258
2337,1782160500,Bull Pennant,long,1.1424654722213743,1.142987847328186,1.1413544618657654,1.1469095136438097,5,9,0.0457,False,30.73,False,sl,-0.0954,-1.112,132
2571,1782230700,Bull Pennant,long,1.1384334564208984,1.1383039951324463,1.1369242213274302,1.144470396794771,6,2,-0.0114,False,51.15,False,sl,-0.1451,-1.071,131
2795,1782297900,Bull Pennant,long,1.134429931640625,1.134429931640625,1.133440736681223,1.1383867114782333,5,1,0.0,False,51.15,False,sl,-0.0969,-1.111,20
2851,1782314700,Bull Pennant,long,1.1358473300933838,1.1358473300933838,1.1346777862026578,1.140525505656288,5,1,0.0,False,35.88,False,sl,-0.1127,-1.094,234
3185,1782414900,Bear Pennant,short,1.1375269889831543,1.1377859115600586,1.138848663993584,1.1322402889414351,5,1,-0.0228,False,51.15,False,sl,-0.1315,-1.079,150
3422,1782486000,Triple Top,short,1.1406410932540894,1.1401208639144895,1.1419395476579666,1.1354472756385803,5,1,0.0456,False,28.51,False,sl,-0.1121,-1.094,171
3741,1782759900,Bear Flag,short,1.1428571939468384,1.1428571939468384,1.143766409041835,1.1392203335668525,5,1,-0.0,False,49.22,False,sl,-0.0892,-1.121,22
3774,1782769800,Bear Pennant,short,1.142987847328186,1.142987847328186,1.1439295183209812,1.139221163357005,5,20,-0.0,False,37.63,False,tp,0.3199,3.883,85
3933,1782817500,Bull Pennant,long,1.1405109167099,1.1402509212493896,1.1393028769493103,1.1453430757522582,5,1,-0.0228,False,46.68,False,sl,-0.1213,-1.086,272
4288,1782924000,Descending Triangle,short,1.1385631561279297,1.1384334564208984,1.142845203479131,1.1214349667231245,8,1,0.0114,True,48.91,False,sl,-0.3829,-1.026,237
4563,1783006500,Bear Pennant,short,1.1445575952529907,1.145081877708435,1.1463012439864022,1.1375830003193446,6,1,-0.0458,False,43.68,False,open,0.2645,1.615,1779
