sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
326,1781283600,Cup & Handle,long,60.486,61.975,58.74028676470588,67.46885294117646,9,2,2.4617,True,41.64,True,sl,-1.2,-1.2,0
337,1781323200,Bear Pennant,short,59.247,57.979,61.67326515151515,49.541939393939394,6,1,2.1402,False,42.38,False,sl,-1.2,-1.2,1
379,1781474400,Ascending Triangle,long,60.507,63.036,58.83320121951219,67.20219512195123,8,1,4.1797,True,46.31,False,tp,3.8,3.8,5
437,1781683200,Bear Flag,short,74.513,72.401,78.70225,57.756000000000014,6,3,2.8344,False,60.91,False,sl,-1.2,-1.2,0
443,1781704800,Double Top,short,72.255,72.171,73.318625,68.00050000000002,7,3,0.1163,False,44.99,True,sl,-1.2,-1.2,0
469,1781798400,Double Top,short,69.354,67.513,70.71249999999999,63.920000000000016,9,1,2.6545,True,50.8,True,sl,-1.2,-1.2,1
512,1781953200,Bull Pennant,long,70.794,71.089,68.2842794117647,80.83288235294118,8,1,0.4167,True,55.63,False,sl,-1.2,-1.2,1
523,1781992800,Bear Pennant,short,69.607,70.647,70.96011363636364,64.19454545454545,7,8,-1.4941,False,57.67,True,tp,3.8,3.8,9
563,1782136800,Bull Pennant,long,68.517,67.995,67.07349324324323,74.29102702702701,7,1,-0.7619,False,46.71,True,sl,-1.2,-1.2,0
580,1782198000,Double Top,short,65.321,63.601,66.3295,61.287000000000006,9,1,2.6332,True,36.91,True,tp,3.8,3.8,19
645,1782432000,Bull Pennant,long,63.802,63.567,61.144060606060606,74.43375757575758,6,1,-0.3683,False,48.29,False,sl,-1.2,-1.2,0
688,1782586800,Bear Pennant,short,63.086,62.222,64.59394791666666,57.054208333333335,6,1,1.3696,False,51.1,False,sl,-1.2,-1.2,12
715,1782684000,Double Top,short,61.915,60.875,62.690875,58.81150000000001,9,1,1.6797,True,46.05,True,sl,-1.2,-1.2,0
730,1782738000,Double Bottom,long,63.376,63.901,62.693875,66.1045,7,1,0.8284,False,42.38,True,tp,3.8,3.8,3
822,1783069200,Ascending Triangle,long,67.309,67.685,65.51953260869564,74.4668695652174,8,1,0.5586,True,47.31,False,tp,3.8,3.8,4
895,1783332000,Bear Pennant,short,70.306,70.446,72.96565909090909,59.667363636363646,7,1,-0.1991,False,51.2,True,sl,-1.2,-1.2,5
922,1783429200,Ascending Triangle,long,71.946,71.283,70.75482608695651,76.71069565217391,9,1,-0.9215,True,49.96,True,sl,-1.2,-1.2,4
934,1783472400,Triple Top,short,70.189,68.145,71.22449999999999,66.047,9,4,2.9121,True,36.58,True,sl,-1.2,-1.2,9
985,1783656000,Bull Pennant,long,68.32,68.241,66.793375,74.42649999999999,6,1,-0.1156,False,52.59,False,sl,-1.2,-1.2,9
1010,1783746000,Bear Pennant,short,67.097,66.547,67.82137499999999,64.1995,8,1,0.8197,True,54.88,False,sl,-1.2,-1.2,8
