sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
326,1781283600,Cup & Handle,long,60.486,61.975,58.74028676470588,67.46885294117646,9,2,2.4617,True,41.64,True,sl,-2.4162,-1.09,1
337,1781323200,Bear Pennant,short,59.247,57.979,61.67326515151515,49.541939393939394,6,1,2.1402,False,42.38,False,sl,-3.838,-1.055,9
379,1781474400,Ascending Triangle,long,60.507,63.036,58.83320121951219,67.20219512195123,8,1,4.1797,True,46.31,False,tp,6.4092,3.879,11
437,1781683200,Bear Flag,short,74.513,72.401,78.70225,57.756000000000014,6,3,2.8344,False,60.91,False,sl,-5.2569,-1.04,7
469,1781798400,Double Top,short,69.354,67.513,70.71249999999999,63.920000000000016,9,1,2.6545,True,50.8,True,sl,-1.5305,-1.15,2
512,1781953200,Bull Pennant,long,70.794,71.089,68.2842794117647,80.83288235294118,8,1,0.4167,True,55.63,False,sl,-3.6266,-1.058,19
563,1782136800,Bull Pennant,long,68.517,67.995,67.07349324324323,74.29102702702701,7,1,-0.7619,False,46.71,True,sl,-2.5149,-1.086,6
580,1782198000,Double Top,short,65.321,63.601,66.3295,61.287000000000006,9,1,2.6332,True,36.91,True,tp,3.4383,3.78,19
645,1782432000,Bull Pennant,long,63.802,63.567,61.144060606060606,74.43375757575758,6,1,-0.3683,False,48.29,False,sl,-4.4737,-1.047,68
715,1782684000,Double Top,short,61.915,60.875,62.690875,58.81150000000001,9,1,1.6797,True,46.05,True,sl,-1.0474,-1.236,0
730,1782738000,Double Bottom,long,63.376,63.901,62.693875,66.1045,7,1,0.8284,False,42.38,True,sl,-1.0621,-1.232,0
822,1783069200,Ascending Triangle,long,67.309,67.685,65.51953260869564,74.4668695652174,8,1,0.5586,True,47.31,False,open,-0.5575,-0.223,196
