sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
318,1781198400,Double Top,short,55.993,56.16,56.231125000000006,55.0405,6,1,-0.2983,False,47.3,False,sl,-1.2,-1.2,0
327,1781201100,Double Bottom,long,56.997,57.631,56.609875,58.54549999999999,7,7,1.1123,False,35.02,True,tp,1.8,1.8,13
388,1781219400,Bear Pennant,short,58.935,58.749,59.817715116279075,55.404139534883726,6,9,0.3156,False,48.91,False,sl,-1.2,-1.2,3
422,1781229600,Bear Pennant,short,58.431,58.268,58.80059615384615,56.95261538461539,6,1,0.279,False,34.17,False,sl,-1.2,-1.2,3
473,1781244900,Double Top,short,58.088,57.713,58.400875,56.836499999999994,7,1,0.6456,False,40.23,True,sl,-1.2,-1.2,29
538,1781264400,Bear Pennant,short,59.22,59.364,59.862484375,56.65006249999999,6,1,-0.2432,False,47.79,False,sl,-1.2,-1.2,5
581,1781277300,Double Bottom,long,60.492,60.947,59.989124999999994,62.5035,8,1,0.7522,True,46.45,False,sl,-1.2,-1.2,3
598,1781282400,Rectangle,long,60.939,61.197,60.425125,62.9945,8,1,0.4234,True,47.21,False,tp,1.8,1.8,10
648,1781297400,Bear Pennant,short,61.104,60.746,61.91310714285714,57.86757142857143,7,1,0.5859,False,56.44,True,tp,1.8,1.8,29
678,1781306400,Descending Triangle,short,59.868,59.58,60.094106321839085,58.96357471264367,6,1,0.4811,False,37.38,False,tp,1.8,1.8,49
728,1781321400,Double Top,short,59.13,58.417,59.548500000000004,57.456,7,2,1.2058,False,29.95,True,sl,-1.2,-1.2,50
837,1781354100,Inv Head & Shoulders,long,58.991,59.101,58.454564285714284,61.13674285714285,6,1,0.1865,False,39.0,False,tp,1.8,1.8,25
938,1781384400,Ascending Triangle,long,59.932,59.972,59.163184210526325,63.00726315789473,8,1,0.0667,True,59.41,False,tp,1.8,1.8,62
1019,1781408700,Double Top,short,60.528,60.426,60.686749999999996,59.893,7,1,0.1685,False,37.89,True,sl,-1.2,-1.2,78
1126,1781440800,Bear Pennant,short,60.908,60.806,61.3698125,59.06075,7,1,0.1675,False,57.74,True,sl,-1.2,-1.2,102
1230,1781472000,Double Bottom,long,60.635,61.797,60.38725,61.62599999999999,9,1,1.9164,True,30.34,True,tp,1.8,1.8,3
1274,1781485200,Cup & Handle,long,63.913,63.244,62.57203225806451,69.27687096774193,8,15,-1.0467,True,53.39,False,tp,1.8,1.8,18
1294,1781491200,Double Bottom,long,64.336,64.983,64.12525,65.17899999999999,9,1,1.0057,True,33.8,True,tp,1.8,1.8,78
1373,1781514900,Ascending Triangle,long,66.081,66.121,65.47935256410257,68.48758974358972,8,1,0.0605,True,47.45,False,tp,1.8,1.8,17
1401,1781523300,Triple Bottom,long,66.444,68.436,65.91000000000001,68.57999999999998,8,20,2.998,True,42.41,False,sl,-1.2,-1.2,3
1407,1781525100,Double Bottom,long,67.236,67.814,67.100875,66.69549999999998,8,20,0.8597,True,58.93,False,sl,-1.2,-1.2,19
1428,1781531400,Double Top,short,67.207,67.233,67.41287499999999,66.38350000000001,7,1,-0.0387,False,45.51,True,sl,-1.2,-1.2,12
1525,1781560500,Ascending Triangle,long,67.795,68.122,67.14553571428573,70.39285714285712,9,1,0.4823,True,44.68,True,sl,-1.2,-1.2,5
1538,1781564400,Double Top,short,67.395,66.672,67.833625,65.6405,6,6,1.0728,False,31.45,False,sl,-1.2,-1.2,20
1587,1781579100,Ascending Triangle,long,67.493,67.968,66.83135227272726,70.13959090909091,9,1,0.7038,True,51.15,True,tp,1.8,1.8,6
1614,1781587200,Cup & Handle,long,69.856,71.757,68.78980769230769,74.12076923076923,8,5,2.7213,True,30.47,False,tp,1.8,1.8,37
1667,1781603100,Bear Pennant,short,72.8,73.628,74.50128260869565,65.99486956521739,7,20,-1.1374,False,60.99,True,sl,-1.2,-1.2,6
1690,1781610000,Bear Flag,short,73.459,75.039,75.40978260869565,65.6558695652174,6,20,-2.1509,False,52.88,False,sl,-1.2,-1.2,6
1715,1781617500,Bear Pennant,short,75.773,76.16,77.72538529411764,67.96345882352942,7,4,-0.5107,False,57.08,True,tp,1.8,1.8,5
1756,1781629800,Descending Triangle,short,73.505,73.424,74.33427272727272,70.18790909090909,6,1,0.1102,False,49.37,False,sl,-1.2,-1.2,7
1790,1781640000,Double Top,short,72.346,72.303,72.834375,70.39250000000001,7,1,0.0594,False,56.6,True,sl,-1.2,-1.2,2
1798,1781642400,Bull Pennant,long,72.863,73.232,72.1350125,75.77495,8,1,0.5064,True,54.31,False,tp,1.8,1.8,61
