sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
296,1781199900,Double Bottom,long,4122.60009765625,4173.2001953125,4101.3250732421875,4207.7001953125,7,1,1.2274,False,36.86,True,sl,-0.0228,-1.9,0
316,1781221500,Ascending Triangle,long,4188.39990234375,4240.10009765625,4180.39116023137,4220.4348707932695,7,20,1.2344,False,48.4,True,sl,-0.0224,-1.9,0
317,1781222400,Double Bottom,long,4173.2001953125,4237.0,4164.5751953125,4207.7001953125,6,20,1.5288,False,53.67,False,sl,-0.0224,-1.9,0
335,1781238600,Bear Flag,short,4216.2998046875,4215.5,4263.03603835333,4029.3548700241818,6,1,0.019,False,52.95,False,tp,0.0012,0.1,0
379,1781278200,Bull Pennant,long,4235.0,4232.10009765625,4214.450012207031,4317.199951171875,9,1,-0.0685,True,52.06,True,sl,-0.0224,-1.9,0
402,1781475300,Ascending Triangle,long,4325.60009765625,4306.89990234375,4324.924886067709,4322.899251302084,7,1,-0.4323,True,25.15,False,sl,-0.0221,-1.9,0
445,1781514000,Double Bottom,long,4348.7998046875,4361.0,4325.699890136719,4441.199462890625,9,2,0.2805,True,37.62,True,sl,-0.0218,-1.9,0
468,1781534700,Double Bottom,long,4371.2001953125,4378.2998046875,4364.312683105469,4398.750244140625,9,6,0.1624,True,44.06,True,sl,-0.0217,-1.9,0
478,1781543700,Triple Top,short,4360.5,4351.2001953125,4376.880519701087,4294.977921195652,6,1,0.2133,False,44.52,False,tp,0.0011,0.1,0
489,1781553600,Double Top,short,4341.2998046875,4337.60009765625,4348.674865722656,4311.799560546875,6,1,0.0852,False,46.37,False,sl,-0.0219,-1.9,0
531,1781595000,Bull Pennant,long,4347.2998046875,4348.60009765625,4332.204772949219,4407.679931640625,8,1,0.0299,True,57.21,False,sl,-0.0218,-1.9,0
535,1781598600,Double Bottom,long,4356.39990234375,4365.10009765625,4351.0623779296875,4377.75,8,2,0.1997,True,42.16,True,sl,-0.0218,-1.9,0
552,1781613900,Inv Head & Shoulders,long,4348.60009765625,4375.89990234375,4338.879125976562,4387.483984375,9,20,0.6278,True,54.48,True,sl,-0.0217,-1.9,0
556,1781617500,Double Bottom,long,4365.10009765625,4352.5,4361.9376220703125,4377.75,7,20,-0.2887,True,57.05,False,tp,0.0011,0.1,0
569,1781629200,Bull Pennant,long,4361.60009765625,4356.2998046875,4353.633129882813,4393.46796875,8,20,-0.1215,True,52.14,False,sl,-0.0218,-1.9,0
610,1781669700,Triple Top,short,4352.2001953125,4343.7998046875,4360.519215303309,4318.924115349265,6,1,0.193,False,47.61,False,sl,-0.0219,-1.9,0
631,1781688600,Bull Pennant,long,4345.0,4348.2998046875,4337.197490491365,4376.210038034539,7,1,0.0759,False,58.25,True,sl,-0.0218,-1.9,0
674,1781727300,Double Top,short,4399.60009765625,4277.5,4424.825012207031,4298.700439453125,7,9,2.7753,False,37.17,True,sl,-0.0222,-1.9,0
708,1781761500,Bull Pennant,long,4335.7998046875,4328.39990234375,4296.173786031789,4494.303879310345,6,3,-0.1707,False,60.38,False,sl,-0.0219,-1.9,0
805,1782090000,Bull Pennant,long,4193.2998046875,4228.89990234375,4142.7574462890625,4395.46923828125,7,1,0.849,False,42.83,True,sl,-0.0225,-1.9,0
935,1782210600,Rectangle,short,4122.7998046875,4144.39990234375,4144.812255859375,4034.75,9,11,-0.5239,True,43.64,True,tp,0.0012,0.1,0
