sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
231,1781478000,Double Bottom,long,4325.60009765625,4314.2998046875,4306.087738037109,4403.6495361328125,8,1,-0.2612,True,39.21,False,sl,-0.0174,-2.5,0
256,1781571600,Triple Top,short,4331.5,4334.60009765625,4405.609321594238,4035.062713623047,6,18,-0.0716,False,46.98,False,sl,-0.0173,-2.5,0
263,1781596800,Bear Flag,short,4343.39990234375,4368.10009765625,4391.26128655511,4151.954365498311,6,3,-0.5687,False,54.74,False,sl,-0.0172,-2.5,0
293,1781708400,Ascending Triangle,long,4359.60009765625,4383.2998046875,4342.2217351740055,4429.113547585227,9,1,0.5436,True,54.62,True,sl,-0.0171,-2.5,0
305,1781755200,Bear Pennant,short,4399.60009765625,4335.7998046875,4454.6719970703125,4179.3125,7,9,1.4501,False,39.25,True,sl,-0.0173,-2.5,0
429,1782457200,Bull Pennant,long,4023.199951171875,4046.10009765625,3916.33073832194,4450.676802571615,6,1,0.5692,False,54.21,False,sl,-0.0185,-2.5,0
436,1782482400,Double Bottom,long,4074.10009765625,4095.89990234375,4059.350128173828,4133.0999755859375,7,1,0.5351,False,37.75,True,sl,-0.0183,-2.5,0
469,1782781200,Bear Pennant,short,4028.60009765625,3982.39990234375,4067.0367350260417,3874.853548177083,9,1,1.1468,True,33.35,True,sl,-0.0188,-2.5,0
505,1782914400,Bull Pennant,long,4036.800048828125,4108.0,3986.65722249349,4237.371354166667,7,1,1.7638,False,28.4,True,sl,-0.0183,-2.5,0
508,1782925200,Double Bottom,long,4036.800048828125,4082.300048828125,3998.0,4192.000244140625,9,4,1.1271,True,27.27,True,sl,-0.0184,-2.5,0
585,1783450800,Bear Flag,short,4156.0,4125.2998046875,4216.812613709332,3912.749545162671,6,1,0.7387,False,38.81,False,sl,-0.0182,-2.5,0
589,1783468800,Double Top,short,4137.89990234375,4122.7998046875,4159.512268066406,4051.450439453125,7,4,0.3649,False,40.93,True,sl,-0.0182,-2.5,0
605,1783526400,Double Top,short,4132.0,4073.89990234375,4155.787414550781,4036.850341796875,9,8,1.4061,True,42.25,True,sl,-0.0184,-2.5,0
