sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
293,1781194500,Double Bottom,long,4113.5,4118.2001953125,4103.575103759766,4153.1995849609375,7,1,0.1143,False,45.83,True,sl,-0.2234,-1.051,0
312,1781200200,Double Bottom,long,4122.60009765625,4173.89990234375,4109.462615966797,4175.1500244140625,7,4,1.2444,False,23.13,True,sl,-0.0183,-2.44,0
360,1781218200,Bear Pennant,short,4229.7998046875,4256.10009765625,4269.691963195801,4070.231170654297,6,7,-0.6218,False,42.23,False,sl,-1.1024,-1.01,265
668,1781487600,Ascending Triangle,long,4333.7998046875,4338.60009765625,4303.694755859375,4454.22,9,1,0.1108,True,45.01,True,sl,-0.6766,-1.016,748
1437,1781725500,Bear Flag,short,4336.60009765625,4257.10009765625,4363.825067934782,4227.70021654212,7,20,1.8332,False,32.73,True,sl,-0.1832,-1.061,0
1440,1781726400,Bear Flag,short,4326.5,4259.5,4350.374936311141,4231.000254755435,6,20,1.5486,False,35.75,False,sl,-0.1778,-1.063,0
1445,1781727900,Bear Flag,short,4343.39990234375,4277.5,4370.124798318614,4236.500318444293,6,20,1.5172,False,46.77,False,sl,-0.2501,-1.044,9
1526,1781755800,Bear Pennant,short,4340.60009765625,4338.10009765625,4367.812390779194,4231.750925164473,6,1,0.0576,False,52.66,False,tp,2.4411,3.983,177
1716,1781812800,Bull Pennant,long,4236.0,4235.89990234375,4218.152329664964,4307.3906813401445,7,1,-0.0024,False,44.12,True,sl,-0.4326,-1.025,23
1743,1781824500,Double Top,short,4218.39990234375,4214.10009765625,4224.25,4194.99951171875,9,1,0.1019,True,41.76,True,tp,0.4426,3.906,35
1798,1781841000,Triple Top,short,4187.39990234375,4176.60009765625,4199.693595377605,4138.225130208333,9,9,0.2579,True,36.96,True,sl,-0.2405,-1.047,28
1828,1782087600,Bull Pennant,long,4178.2998046875,4180.60009765625,4164.1287133789065,4234.984169921875,7,1,0.0551,False,50.8,True,tp,1.2901,3.967,7
2127,1782180900,Bear Pennant,short,4168.89990234375,4175.7998046875,4184.228498186384,4107.585518973215,8,1,-0.1655,True,38.86,False,tp,1.6228,3.974,243
2404,1782267600,Descending Triangle,short,4114.89990234375,4092.89990234375,4123.028644195651,4082.3849349361453,9,16,0.5346,True,45.46,True,tp,0.2459,3.829,1
2432,1782276000,Bull Pennant,long,4080.800048828125,4080.0,4065.423215512876,4142.30738208912,6,1,-0.0196,False,52.87,False,sl,-0.3928,-1.029,77
2587,1782322500,Double Top,short,4007.800048828125,4002.699951171875,4015.7875061035156,3975.8502197265625,9,1,0.1273,True,30.55,True,tp,0.6595,3.933,4
2611,1782329700,Bull Pennant,long,4001.0,3999.300048828125,3985.9771861200747,4061.091255519701,6,1,-0.0425,False,48.1,False,sl,-0.3975,-1.029,65
2724,1782367200,Triple Top,short,4009.60009765625,4002.10009765625,4022.7139756944443,3957.144585503472,9,6,0.1871,True,56.93,True,sl,-0.2921,-1.04,27
2803,1782390900,Double Bottom,long,4000.300048828125,4013.699951171875,3988.3251342773438,4048.19970703125,7,1,0.335,False,38.72,True,tp,0.8483,3.948,4
2866,1782409800,Bear Pennant,short,4049.699951171875,4049.0,4060.6222277189554,4006.0108449835525,6,1,0.0173,False,58.46,False,sl,-0.2765,-1.042,6
2891,1782417300,Descending Triangle,short,4041.699951171875,4042.10009765625,4046.3639526367188,4023.0439453125,6,1,-0.0099,False,41.57,True,sl,-0.129,-1.094,0
